agent	item_count	total_bytes	item_ids	paths
agent_01	3	454402	ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-001,ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-031,ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-061	.; tests/test-finalize-phase.sh; prompt-template/block/work-summary-missing.md
agent_02	3	38871	ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-002,ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-032,ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-062	commands; tests/test-plan-file-hooks.sh; prompt-template/block/wrong-directory-path.md
agent_03	3	132979	ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-003,ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-033,ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-063	hooks; tests/test-plan-file-validation.sh; prompt-template/block/wrong-file-location.md
agent_04	3	33066	ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-004,ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-034,ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-064	prompt-template; tests/test-state-exit-naming.sh; prompt-template/block/wrong-round-file.md
agent_05	3	77914	ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-005,ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-035,ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-065	scripts; tests/test-template-loader.sh; prompt-template/block/wrong-round-number.md
agent_06	3	234354	ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-006,ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-036,ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-066	tests; tests/test-template-references.sh; prompt-template/block/wrong-summary-location.md
agent_07	3	31224	ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-007,ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-037,ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-067	README.md; tests/test-templates-comprehensive.sh; prompt-template/claude/finalize-phase-prompt.md
agent_08	3	36402	ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-008,ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-038,ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-068	hooks/lib; tests/test-todo-checker.sh; prompt-template/claude/goal-tracker-update-request.md
agent_09	3	29145	ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-009,ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-039,ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-069	prompt-template/block; hooks/lib/loop-common.sh; prompt-template/claude/next-round-footer.md
agent_10	3	12705	ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-010,ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-040,ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-070	prompt-template/claude; hooks/lib/template-loader.sh; prompt-template/claude/next-round-prompt.md
agent_11	3	9932	ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-011,ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-041,ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-071	prompt-template/codex; prompt-template/block/codex-review-failed.md; prompt-template/claude/post-alignment-action-items.md
agent_12	3	1978	ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-012,ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-042,ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-072	commands/cancel-rlcr-loop.md; prompt-template/block/finalized-state-file-modification.md; prompt-template/claude/push-every-round-note.md
agent_13	3	6803	ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-013,ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-043,ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-073	commands/start-rlcr-loop.md; prompt-template/block/git-not-clean-humanize-local.md; prompt-template/codex/full-alignment-review.md
agent_14	3	5994	ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-014,ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-044,ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-074	hooks/check-todos-from-transcript.py; prompt-template/block/git-not-clean-untracked.md; prompt-template/codex/goal-tracker-update-section.md
agent_15	3	6117	ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-015,ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-045,ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-075	hooks/hooks.json; prompt-template/block/git-not-clean.md; prompt-template/codex/regular-review.md
agent_16	2	12952	ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-016,ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-046	hooks/loop-bash-validator.sh; prompt-template/block/git-push.md
agent_17	2	41119	ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-017,ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-047	hooks/loop-codex-stop-hook.sh; prompt-template/block/git-status-failed.md
agent_18	2	5184	ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-018,ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-048	hooks/loop-edit-validator.sh; prompt-template/block/goal-tracker-bash-write.md
agent_19	2	8625	ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-019,ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-049	hooks/loop-plan-file-validator.sh; prompt-template/block/goal-tracker-modification.md
