item_id	path_type	path	included	assigned_agent	bytes	sha16	depth	core_descendant_files	reason
ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-001	directory	.	yes	agent_01	430780	-	0	65	directory contains included core algorithm descendant(s)
ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-SKIP-001	directory	.claude	no		0	-	1	0	directory only contains skipped non-core files
ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-SKIP-002	directory	.claude-plugin	no		0	-	1	0	directory only contains skipped non-core files
ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-SKIP-003	directory	.github	no		0	-	1	0	directory only contains skipped non-core files
ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-002	directory	commands	yes	agent_02	3941	-	1	2	directory contains included core algorithm descendant(s)
ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-003	directory	hooks	yes	agent_03	109930	-	1	10	directory contains included core algorithm descendant(s)
ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-004	directory	prompt-template	yes	agent_04	23764	-	1	35	directory contains included core algorithm descendant(s)
ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-005	directory	scripts	yes	agent_05	56399	-	1	3	directory contains included core algorithm descendant(s)
ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-006	directory	tests	yes	agent_06	227150	-	1	14	directory contains included core algorithm descendant(s)
ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-SKIP-004	file	.gitignore	no		120	ce8146019ad5a484	0		metadata only; not algorithm behavior
ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-007	file	README.md	yes	agent_07	9596	4d137c52f3aed66b	0		behavior-defining documentation for workflow/state-machine algorithms
ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-SKIP-005	directory	.github/workflows	no		0	-	2	0	directory only contains skipped non-core files
ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-008	directory	hooks/lib	yes	agent_08	25516	-	2	2	directory contains included core algorithm descendant(s)
ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-009	directory	prompt-template/block	yes	agent_09	10278	-	2	26	directory contains included core algorithm descendant(s)
ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-010	directory	prompt-template/claude	yes	agent_10	4385	-	2	6	directory contains included core algorithm descendant(s)
ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-011	directory	prompt-template/codex	yes	agent_11	9101	-	2	3	directory contains included core algorithm descendant(s)
ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-SKIP-006	file	.claude-plugin/marketplace.json	no		425	b228cd7254a404bf	2		plugin packaging metadata; not core algorithm runtime or specification
ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-SKIP-007	file	.claude-plugin/plugin.json	no		636	984bc4dc0840ba42	2		plugin packaging metadata; not core algorithm runtime or specification
ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-SKIP-008	file	.claude/CLAUDE.md	no		1094	ab7cba265c836798	2		local assistant instruction surface; not repository algorithm behavior
ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-012	file	commands/cancel-rlcr-loop.md	yes	agent_12	1531	2dc359b20e9cdaaf	2		command workflow definition for plan/RLCR algorithms
ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-013	file	commands/start-rlcr-loop.md	yes	agent_13	2410	005ee49d60ac9f36	2		command workflow definition for plan/RLCR algorithms
ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-014	file	hooks/check-todos-from-transcript.py	yes	agent_14	4496	ec13bdb525fa510b	2		hook or validator implementation for the RLCR state machine
ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-015	file	hooks/hooks.json	yes	agent_15	1402	acdbc9966d325548	2		hook or validator implementation for the RLCR state machine
ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-016	file	hooks/loop-bash-validator.sh	yes	agent_16	12682	704118e323837244	2		hook or validator implementation for the RLCR state machine
ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-017	file	hooks/loop-codex-stop-hook.sh	yes	agent_17	40793	5d99cf2a9ebc12da	2		hook or validator implementation for the RLCR state machine
