agent	item_count	total_bytes	item_ids	paths
agent_01	5	1455505	ADD_CAREFUL_MODE_V1_6_5-HZ-001,ADD_CAREFUL_MODE_V1_6_5-HZ-031,ADD_CAREFUL_MODE_V1_6_5-HZ-061,ADD_CAREFUL_MODE_V1_6_5-HZ-091,ADD_CAREFUL_MODE_V1_6_5-HZ-121	.; hooks/pr-loop-stop-hook.sh; tests/test-pr-loop-hooks.sh; prompt-template/block/plan-backup-protected.md; prompt-template/pr-loop/codex-goal-tracker-update.md
agent_02	5	10394	ADD_CAREFUL_MODE_V1_6_5-HZ-002,ADD_CAREFUL_MODE_V1_6_5-HZ-032,ADD_CAREFUL_MODE_V1_6_5-HZ-062,ADD_CAREFUL_MODE_V1_6_5-HZ-092,ADD_CAREFUL_MODE_V1_6_5-HZ-122	agents; scripts/cancel-pr-loop.sh; tests/test-pr-loop-lib.sh; prompt-template/block/plan-file-modified.md; prompt-template/pr-loop/critical-requirements-has-comments.md
agent_03	5	39290	ADD_CAREFUL_MODE_V1_6_5-HZ-003,ADD_CAREFUL_MODE_V1_6_5-HZ-033,ADD_CAREFUL_MODE_V1_6_5-HZ-063,ADD_CAREFUL_MODE_V1_6_5-HZ-093,ADD_CAREFUL_MODE_V1_6_5-HZ-123	commands; scripts/cancel-rlcr-loop.sh; tests/test-pr-loop-scripts.sh; prompt-template/block/pr-loop-prompt-write.md; prompt-template/pr-loop/critical-requirements-no-comments.md
agent_04	5	309872	ADD_CAREFUL_MODE_V1_6_5-HZ-004,ADD_CAREFUL_MODE_V1_6_5-HZ-034,ADD_CAREFUL_MODE_V1_6_5-HZ-064,ADD_CAREFUL_MODE_V1_6_5-HZ-094,ADD_CAREFUL_MODE_V1_6_5-HZ-124	hooks; scripts/check-bot-reactions.sh; tests/test-pr-loop-stophook.sh; prompt-template/block/pr-loop-state-modification.md; prompt-template/pr-loop/goal-tracker-initial.md
agent_05	5	118753	ADD_CAREFUL_MODE_V1_6_5-HZ-005,ADD_CAREFUL_MODE_V1_6_5-HZ-035,ADD_CAREFUL_MODE_V1_6_5-HZ-065,ADD_CAREFUL_MODE_V1_6_5-HZ-095,ADD_CAREFUL_MODE_V1_6_5-HZ-125	prompt-template; scripts/check-pr-reviewer-status.sh; tests/test-pr-loop-system.sh; prompt-template/block/prompt-file-write.md; prompt-template/pr-loop/round-0-header.md
agent_06	5	224353	ADD_CAREFUL_MODE_V1_6_5-HZ-006,ADD_CAREFUL_MODE_V1_6_5-HZ-036,ADD_CAREFUL_MODE_V1_6_5-HZ-066,ADD_CAREFUL_MODE_V1_6_5-HZ-096,ADD_CAREFUL_MODE_V1_6_5-HZ-126	scripts; scripts/fetch-pr-comments.sh; tests/test-pr-loop.sh; prompt-template/block/schema-outdated.md; prompt-template/pr-loop/round-0-task-has-comments.md
agent_07	5	878367	ADD_CAREFUL_MODE_V1_6_5-HZ-007,ADD_CAREFUL_MODE_V1_6_5-HZ-037,ADD_CAREFUL_MODE_V1_6_5-HZ-067,ADD_CAREFUL_MODE_V1_6_5-HZ-097,ADD_CAREFUL_MODE_V1_6_5-HZ-127	tests; scripts/humanize.sh; tests/test-state-exit-naming.sh; prompt-template/block/state-file-modification.md; prompt-template/pr-loop/round-0-task-no-comments.md
agent_08	5	55408	ADD_CAREFUL_MODE_V1_6_5-HZ-008,ADD_CAREFUL_MODE_V1_6_5-HZ-038,ADD_CAREFUL_MODE_V1_6_5-HZ-068,ADD_CAREFUL_MODE_V1_6_5-HZ-098,ADD_CAREFUL_MODE_V1_6_5-HZ-128	README.md; scripts/poll-pr-reviews.sh; tests/test-template-loader.sh; prompt-template/block/summary-bash-write.md; scripts/lib/monitor-common.sh
agent_09	5	72940	ADD_CAREFUL_MODE_V1_6_5-HZ-009,ADD_CAREFUL_MODE_V1_6_5-HZ-039,ADD_CAREFUL_MODE_V1_6_5-HZ-069,ADD_CAREFUL_MODE_V1_6_5-HZ-099,ADD_CAREFUL_MODE_V1_6_5-HZ-129	hooks/lib; scripts/portable-timeout.sh; tests/test-template-references.sh; prompt-template/block/todos-file-access.md; tests/robustness/test-base-branch-detection.sh
agent_10	5	83497	ADD_CAREFUL_MODE_V1_6_5-HZ-010,ADD_CAREFUL_MODE_V1_6_5-HZ-040,ADD_CAREFUL_MODE_V1_6_5-HZ-070,ADD_CAREFUL_MODE_V1_6_5-HZ-100,ADD_CAREFUL_MODE_V1_6_5-HZ-130	prompt-template/block; scripts/setup-pr-loop.sh; tests/test-templates-comprehensive.sh; prompt-template/block/unpushed-commits.md; tests/robustness/test-cancel-security-robustness.sh
agent_11	5	79431	ADD_CAREFUL_MODE_V1_6_5-HZ-011,ADD_CAREFUL_MODE_V1_6_5-HZ-041,ADD_CAREFUL_MODE_V1_6_5-HZ-071,ADD_CAREFUL_MODE_V1_6_5-HZ-101,ADD_CAREFUL_MODE_V1_6_5-HZ-131	prompt-template/claude; scripts/setup-rlcr-loop.sh; tests/test-todo-checker.sh; prompt-template/block/work-summary-missing.md; tests/robustness/test-concurrent-state-robustness.sh
agent_12	5	40291	ADD_CAREFUL_MODE_V1_6_5-HZ-012,ADD_CAREFUL_MODE_V1_6_5-HZ-042,ADD_CAREFUL_MODE_V1_6_5-HZ-072,ADD_CAREFUL_MODE_V1_6_5-HZ-102,ADD_CAREFUL_MODE_V1_6_5-HZ-132	prompt-template/codex; scripts/validate-gen-plan-io.sh; tests/test-zsh-monitor-safety.sh; prompt-template/block/wrong-directory-path.md; tests/robustness/test-git-operations-robustness.sh
agent_13	5	70060	ADD_CAREFUL_MODE_V1_6_5-HZ-013,ADD_CAREFUL_MODE_V1_6_5-HZ-043,ADD_CAREFUL_MODE_V1_6_5-HZ-073,ADD_CAREFUL_MODE_V1_6_5-HZ-103,ADD_CAREFUL_MODE_V1_6_5-HZ-133	prompt-template/plan; tests/manual-monitor-test.sh; hooks/lib/loop-common.sh; prompt-template/block/wrong-file-location.md; tests/robustness/test-goal-tracker-robustness.sh
agent_14	5	41305	ADD_CAREFUL_MODE_V1_6_5-HZ-014,ADD_CAREFUL_MODE_V1_6_5-HZ-044,ADD_CAREFUL_MODE_V1_6_5-HZ-074,ADD_CAREFUL_MODE_V1_6_5-HZ-104,ADD_CAREFUL_MODE_V1_6_5-HZ-134	prompt-template/pr-loop; tests/run-all-tests.sh; hooks/lib/template-loader.sh; prompt-template/block/wrong-round-file.md; tests/robustness/test-hook-input-robustness.sh
