item_id	path_type	path	included	assigned_agent	bytes	sha16	depth	core_descendant_files	reason
ADD_COMMIT_PLAN_FILE_CLI-HZ-001	directory	.	yes	agent_01	254954	-	0	55	directory contains included core algorithm descendant(s)
ADD_COMMIT_PLAN_FILE_CLI-SKIP-001	directory	.claude	no		0	-	1	0	directory only contains skipped non-core files
ADD_COMMIT_PLAN_FILE_CLI-SKIP-002	directory	.claude-plugin	no		0	-	1	0	directory only contains skipped non-core files
ADD_COMMIT_PLAN_FILE_CLI-SKIP-003	directory	.github	no		0	-	1	0	directory only contains skipped non-core files
ADD_COMMIT_PLAN_FILE_CLI-HZ-002	directory	commands	yes	agent_02	3751	-	1	2	directory contains included core algorithm descendant(s)
ADD_COMMIT_PLAN_FILE_CLI-HZ-003	directory	hooks	yes	agent_03	77255	-	1	10	directory contains included core algorithm descendant(s)
ADD_COMMIT_PLAN_FILE_CLI-HZ-004	directory	prompt-template	yes	agent_04	21484	-	1	32	directory contains included core algorithm descendant(s)
ADD_COMMIT_PLAN_FILE_CLI-HZ-005	directory	scripts	yes	agent_05	45919	-	1	3	directory contains included core algorithm descendant(s)
ADD_COMMIT_PLAN_FILE_CLI-HZ-006	directory	tests	yes	agent_06	96907	-	1	7	directory contains included core algorithm descendant(s)
ADD_COMMIT_PLAN_FILE_CLI-SKIP-004	file	.gitignore	no		134	fa9a4c264d11f984	0		metadata only; not algorithm behavior
ADD_COMMIT_PLAN_FILE_CLI-HZ-007	file	README.md	yes	agent_07	9638	5cc2f758ca34753e	0		behavior-defining documentation for workflow/state-machine algorithms
ADD_COMMIT_PLAN_FILE_CLI-SKIP-005	directory	.github/workflows	no		0	-	2	0	directory only contains skipped non-core files
ADD_COMMIT_PLAN_FILE_CLI-HZ-008	directory	hooks/lib	yes	agent_08	14378	-	2	2	directory contains included core algorithm descendant(s)
ADD_COMMIT_PLAN_FILE_CLI-HZ-009	directory	prompt-template/block	yes	agent_09	9624	-	2	24	directory contains included core algorithm descendant(s)
ADD_COMMIT_PLAN_FILE_CLI-HZ-010	directory	prompt-template/claude	yes	agent_10	2735	-	2	5	directory contains included core algorithm descendant(s)
ADD_COMMIT_PLAN_FILE_CLI-HZ-011	directory	prompt-template/codex	yes	agent_11	9125	-	2	3	directory contains included core algorithm descendant(s)
ADD_COMMIT_PLAN_FILE_CLI-SKIP-006	file	.claude-plugin/marketplace.json	no		425	66b28a0db69c68fc	2		plugin packaging metadata; not core algorithm runtime or specification
ADD_COMMIT_PLAN_FILE_CLI-SKIP-007	file	.claude-plugin/plugin.json	no		636	88be3973f0cb59dd	2		plugin packaging metadata; not core algorithm runtime or specification
ADD_COMMIT_PLAN_FILE_CLI-SKIP-008	file	.claude/CLAUDE.md	no		1123	1a3f9d9f0d0ef850	2		local assistant instruction surface; not repository algorithm behavior
ADD_COMMIT_PLAN_FILE_CLI-HZ-012	file	commands/cancel-rlcr-loop.md	yes	agent_12	1341	400fc8d29c4144ea	2		command workflow definition for plan/RLCR algorithms
ADD_COMMIT_PLAN_FILE_CLI-HZ-013	file	commands/start-rlcr-loop.md	yes	agent_13	2410	005ee49d60ac9f36	2		command workflow definition for plan/RLCR algorithms
ADD_COMMIT_PLAN_FILE_CLI-HZ-014	file	hooks/check-todos-from-transcript.py	yes	agent_14	4425	44d0d28cf2dab213	2		hook or validator implementation for the RLCR state machine
ADD_COMMIT_PLAN_FILE_CLI-HZ-015	file	hooks/hooks.json	yes	agent_15	1402	acdbc9966d325548	2		hook or validator implementation for the RLCR state machine
ADD_COMMIT_PLAN_FILE_CLI-HZ-016	file	hooks/loop-bash-validator.sh	yes	agent_16	4546	16b1f6364fa75621	2		hook or validator implementation for the RLCR state machine
ADD_COMMIT_PLAN_FILE_CLI-HZ-017	file	hooks/loop-codex-stop-hook.sh	yes	agent_17	33692	e3ad9b7ff5264b49	2		hook or validator implementation for the RLCR state machine
ADD_COMMIT_PLAN_FILE_CLI-HZ-018	file	hooks/loop-edit-validator.sh	yes	agent_18	4035	a90c078af3784425	2		hook or validator implementation for the RLCR state machine
ADD_COMMIT_PLAN_FILE_CLI-HZ-019	file	hooks/loop-plan-file-validator.sh	yes	agent_19	4812	47884f8b511bd0b2	2		hook or validator implementation for the RLCR state machine
ADD_COMMIT_PLAN_FILE_CLI-HZ-020	file	hooks/loop-read-validator.sh	yes	agent_20	4005	c7961ccb60569f66	2		hook or validator implementation for the RLCR state machine
ADD_COMMIT_PLAN_FILE_CLI-HZ-021	file	hooks/loop-write-validator.sh	yes	agent_21	5960	e414dcff98e2d748	2		hook or validator implementation for the RLCR state machine
ADD_COMMIT_PLAN_FILE_CLI-HZ-022	file	scripts/humanize.sh	yes	agent_22	22548	d55a2e13c661d314	2		runtime script implementing workflow, routing, monitor, validation, or state behavior
ADD_COMMIT_PLAN_FILE_CLI-HZ-023	file	scripts/portable-timeout.sh	yes	agent_23	2116	0e35de1118d19699	2		runtime script implementing workflow, routing, monitor, validation, or state behavior
ADD_COMMIT_PLAN_FILE_CLI-HZ-024	file	scripts/setup-rlcr-loop.sh	yes	agent_24	21255	0488c2cd99c02dd2	2		runtime script implementing workflow, routing, monitor, validation, or state behavior
ADD_COMMIT_PLAN_FILE_CLI-HZ-025	file	tests/test-error-scenarios.sh	yes	agent_25	3652	8c6badba785c33c4	2		executable specification for core algorithm behavior
ADD_COMMIT_PLAN_FILE_CLI-HZ-026	file	tests/test-plan-file-hooks.sh	yes	agent_26	23428	f2456eeb2ed5e55c	2		executable specification for core algorithm behavior
ADD_COMMIT_PLAN_FILE_CLI-HZ-027	file	tests/test-plan-file-validation.sh	yes	agent_27	17638	b44daa371e49bc02	2		executable specification for core algorithm behavior
ADD_COMMIT_PLAN_FILE_CLI-HZ-028	file	tests/test-state-exit-naming.sh	yes	agent_28	7027	7dc48f7694f099f5	2		executable specification for core algorithm behavior
