agent	item_count	total_bytes	item_ids	paths
agent_01	4	590796	ADD_GEN_PLAN_COMMAND-HZ-001,ADD_GEN_PLAN_COMMAND-HZ-031,ADD_GEN_PLAN_COMMAND-HZ-061,ADD_GEN_PLAN_COMMAND-HZ-091	.; scripts/setup-rlcr-loop.sh; prompt-template/block/git-not-clean-untracked.md; prompt-template/codex/goal-tracker-update-section.md
agent_02	4	10225	ADD_GEN_PLAN_COMMAND-HZ-002,ADD_GEN_PLAN_COMMAND-HZ-032,ADD_GEN_PLAN_COMMAND-HZ-062,ADD_GEN_PLAN_COMMAND-HZ-092	agents; scripts/validate-gen-plan-io.sh; prompt-template/block/git-not-clean.md; prompt-template/codex/regular-review.md
agent_03	4	7548	ADD_GEN_PLAN_COMMAND-HZ-003,ADD_GEN_PLAN_COMMAND-HZ-033,ADD_GEN_PLAN_COMMAND-HZ-063,ADD_GEN_PLAN_COMMAND-HZ-093	commands; tests/manual-monitor-test.sh; prompt-template/block/git-push.md; skills/cancel-rlcr-loop/SKILL.md
agent_04	4	129239	ADD_GEN_PLAN_COMMAND-HZ-004,ADD_GEN_PLAN_COMMAND-HZ-034,ADD_GEN_PLAN_COMMAND-HZ-064,ADD_GEN_PLAN_COMMAND-HZ-094	hooks; tests/run-all-tests.sh; prompt-template/block/git-status-failed.md; skills/gen-plan/SKILL.md
agent_05	4	41824	ADD_GEN_PLAN_COMMAND-HZ-005,ADD_GEN_PLAN_COMMAND-HZ-035,ADD_GEN_PLAN_COMMAND-HZ-065,ADD_GEN_PLAN_COMMAND-HZ-095	prompt-template; tests/test-allowlist-validators.sh; prompt-template/block/goal-tracker-bash-write.md; skills/start-rlcr-loop/SKILL.md
agent_06	3	72897	ADD_GEN_PLAN_COMMAND-HZ-006,ADD_GEN_PLAN_COMMAND-HZ-036,ADD_GEN_PLAN_COMMAND-HZ-066	scripts; tests/test-ansi-parsing.sh; prompt-template/block/goal-tracker-modification.md
agent_07	3	21583	ADD_GEN_PLAN_COMMAND-HZ-007,ADD_GEN_PLAN_COMMAND-HZ-037,ADD_GEN_PLAN_COMMAND-HZ-067	skills; tests/test-bash-validator-patterns.sh; prompt-template/block/goal-tracker-not-initialized.md
agent_08	3	377385	ADD_GEN_PLAN_COMMAND-HZ-008,ADD_GEN_PLAN_COMMAND-HZ-038,ADD_GEN_PLAN_COMMAND-HZ-068	tests; tests/test-cancel-signal-file.sh; prompt-template/block/incomplete-todos.md
agent_09	3	12805	ADD_GEN_PLAN_COMMAND-HZ-009,ADD_GEN_PLAN_COMMAND-HZ-039,ADD_GEN_PLAN_COMMAND-HZ-069	README.md; tests/test-error-scenarios.sh; prompt-template/block/large-files.md
agent_10	3	54790	ADD_GEN_PLAN_COMMAND-HZ-010,ADD_GEN_PLAN_COMMAND-HZ-040,ADD_GEN_PLAN_COMMAND-HZ-070	hooks/lib; tests/test-finalize-phase.sh; prompt-template/block/plan-backup-protected.md
