item_id	path_type	path	assigned_agent	bytes	sha16	depth	core_descendant_files	reason
ADD_GEN_PLAN_COMMAND-HZ-001	directory	.	agent_01	564659	-	0	80	directory contains included core algorithm descendant(s)
ADD_GEN_PLAN_COMMAND-HZ-002	directory	agents	agent_02	1788	-	1	1	directory contains included core algorithm descendant(s)
ADD_GEN_PLAN_COMMAND-HZ-003	directory	commands	agent_03	1509	-	1	3	directory contains included core algorithm descendant(s)
ADD_GEN_PLAN_COMMAND-HZ-004	directory	hooks	agent_04	116570	-	1	10	directory contains included core algorithm descendant(s)
ADD_GEN_PLAN_COMMAND-HZ-005	directory	prompt-template	agent_05	24525	-	1	36	directory contains included core algorithm descendant(s)
ADD_GEN_PLAN_COMMAND-HZ-006	directory	scripts	agent_06	66304	-	1	4	directory contains included core algorithm descendant(s)
ADD_GEN_PLAN_COMMAND-HZ-007	directory	skills	agent_07	14218	-	1	3	directory contains included core algorithm descendant(s)
ADD_GEN_PLAN_COMMAND-HZ-008	directory	tests	agent_08	335719	-	1	22	directory contains included core algorithm descendant(s)
ADD_GEN_PLAN_COMMAND-HZ-009	file	README.md	agent_09	4026	7a1a794ad137ac14	0		behavior-defining documentation for workflow/state-machine algorithms
ADD_GEN_PLAN_COMMAND-HZ-010	directory	hooks/lib	agent_10	31331	-	2	2	directory contains included core algorithm descendant(s)
ADD_GEN_PLAN_COMMAND-HZ-011	directory	prompt-template/block	agent_11	11039	-	2	27	directory contains included core algorithm descendant(s)
ADD_GEN_PLAN_COMMAND-HZ-012	directory	prompt-template/claude	agent_12	4385	-	2	6	directory contains included core algorithm descendant(s)
ADD_GEN_PLAN_COMMAND-HZ-013	directory	prompt-template/codex	agent_13	9101	-	2	3	directory contains included core algorithm descendant(s)
ADD_GEN_PLAN_COMMAND-HZ-014	directory	skills/cancel-rlcr-loop	agent_14	3196	-	2	1	directory contains included core algorithm descendant(s)
ADD_GEN_PLAN_COMMAND-HZ-015	directory	skills/gen-plan	agent_15	8585	-	2	1	directory contains included core algorithm descendant(s)
ADD_GEN_PLAN_COMMAND-HZ-016	directory	skills/start-rlcr-loop	agent_16	2437	-	2	1	directory contains included core algorithm descendant(s)
