item_id	path_type	path	assigned_agent	status	master_state	output_rel	item_id_mentions	has_item_heading	bytes	sha16	depth	core_descendant_files	reason	master_evidence
ADD_SHELL_SYNTAX_CHECK_CICD-HZ-001	directory	.	agent_01	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_01/output.md	2	yes	117163	-	0	14	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
ADD_SHELL_SYNTAX_CHECK_CICD-HZ-002	directory	commands	agent_02	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_02/output.md	1	yes	3196	-	1	2	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
ADD_SHELL_SYNTAX_CHECK_CICD-HZ-003	directory	hooks	agent_03	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_03/output.md	1	yes	65932	-	1	8	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
ADD_SHELL_SYNTAX_CHECK_CICD-HZ-004	directory	scripts	agent_04	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_04/output.md	1	yes	39112	-	1	3	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
ADD_SHELL_SYNTAX_CHECK_CICD-HZ-005	file	README.md	agent_05	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_05/output.md	1	yes	8923	c56c46f0c5522f53	0		behavior-defining documentation for workflow/state-machine algorithms	status complete; output exists; item_id present in assigned output
ADD_SHELL_SYNTAX_CHECK_CICD-HZ-006	directory	hooks/lib	agent_06	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_06/output.md	1	yes	6982	-	2	1	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
ADD_SHELL_SYNTAX_CHECK_CICD-HZ-007	file	commands/cancel-rlcr-loop.md	agent_07	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_07/output.md	2	yes	789	9766a3ab1bef36ad	2		command workflow definition for plan/RLCR algorithms	status complete; output exists; item_id present in assigned output
ADD_SHELL_SYNTAX_CHECK_CICD-HZ-008	file	commands/start-rlcr-loop.md	agent_08	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_08/output.md	1	yes	2407	2878e20e74f3b2af	2		command workflow definition for plan/RLCR algorithms	status complete; output exists; item_id present in assigned output
ADD_SHELL_SYNTAX_CHECK_CICD-HZ-009	file	hooks/check-todos-from-transcript.py	agent_09	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_09/output.md	1	yes	4425	44d0d28cf2dab213	2		hook or validator implementation for the RLCR state machine	status complete; output exists; item_id present in assigned output
ADD_SHELL_SYNTAX_CHECK_CICD-HZ-010	file	hooks/hooks.json	agent_10	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_10/output.md	1	yes	1188	352e0ff02f86be76	2		hook or validator implementation for the RLCR state machine	status complete; output exists; item_id present in assigned output
ADD_SHELL_SYNTAX_CHECK_CICD-HZ-011	file	hooks/loop-bash-validator.sh	agent_11	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_11/output.md	1	yes	4158	b24756d05946b26c	2		hook or validator implementation for the RLCR state machine	status complete; output exists; item_id present in assigned output
ADD_SHELL_SYNTAX_CHECK_CICD-HZ-012	file	hooks/loop-codex-stop-hook.sh	agent_12	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_12/output.md	1	yes	37028	48e126aec8ffd88d	2		hook or validator implementation for the RLCR state machine	status complete; output exists; item_id present in assigned output
ADD_SHELL_SYNTAX_CHECK_CICD-HZ-013	file	hooks/loop-edit-validator.sh	agent_13	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_13/output.md	1	yes	3316	7f781581ddf2565f	2		hook or validator implementation for the RLCR state machine	status complete; output exists; item_id present in assigned output
