item_id	checkbox_state	claim_state	assigned_agent	tmux_session	slot	path_type	path	dependencies	owned_path_scope	worker_output	master_status
ADD_SHELL_SYNTAX_CHECK_CICD-HZ-001	[ ]	unclaimed	agent_01	humanize_add-shell-syntax-check-c_1to1_20260619	01	directory	.		.	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_01/output.md	pending
ADD_SHELL_SYNTAX_CHECK_CICD-HZ-002	[ ]	unclaimed	agent_02	humanize_add-shell-syntax-check-c_1to1_20260619	02	directory	commands		commands	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_02/output.md	pending
ADD_SHELL_SYNTAX_CHECK_CICD-HZ-003	[ ]	unclaimed	agent_03	humanize_add-shell-syntax-check-c_1to1_20260619	03	directory	hooks		hooks	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_03/output.md	pending
ADD_SHELL_SYNTAX_CHECK_CICD-HZ-004	[ ]	unclaimed	agent_04	humanize_add-shell-syntax-check-c_1to1_20260619	04	directory	scripts		scripts	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_04/output.md	pending
ADD_SHELL_SYNTAX_CHECK_CICD-HZ-005	[ ]	unclaimed	agent_05	humanize_add-shell-syntax-check-c_1to1_20260619	05	file	README.md		README.md	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_05/output.md	pending
ADD_SHELL_SYNTAX_CHECK_CICD-HZ-006	[ ]	unclaimed	agent_06	humanize_add-shell-syntax-check-c_1to1_20260619	06	directory	hooks/lib		hooks/lib	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_06/output.md	pending
ADD_SHELL_SYNTAX_CHECK_CICD-HZ-007	[ ]	unclaimed	agent_07	humanize_add-shell-syntax-check-c_1to1_20260619	07	file	commands/cancel-rlcr-loop.md		commands/cancel-rlcr-loop.md	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_07/output.md	pending
ADD_SHELL_SYNTAX_CHECK_CICD-HZ-008	[ ]	unclaimed	agent_08	humanize_add-shell-syntax-check-c_1to1_20260619	08	file	commands/start-rlcr-loop.md		commands/start-rlcr-loop.md	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_08/output.md	pending
ADD_SHELL_SYNTAX_CHECK_CICD-HZ-009	[ ]	unclaimed	agent_09	humanize_add-shell-syntax-check-c_1to1_20260619	09	file	hooks/check-todos-from-transcript.py		hooks/check-todos-from-transcript.py	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_09/output.md	pending
ADD_SHELL_SYNTAX_CHECK_CICD-HZ-010	[ ]	unclaimed	agent_10	humanize_add-shell-syntax-check-c_1to1_20260619	10	file	hooks/hooks.json		hooks/hooks.json	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_10/output.md	pending
ADD_SHELL_SYNTAX_CHECK_CICD-HZ-011	[ ]	unclaimed	agent_11	humanize_add-shell-syntax-check-c_1to1_20260619	11	file	hooks/loop-bash-validator.sh		hooks/loop-bash-validator.sh	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_11/output.md	pending
ADD_SHELL_SYNTAX_CHECK_CICD-HZ-012	[ ]	unclaimed	agent_12	humanize_add-shell-syntax-check-c_1to1_20260619	12	file	hooks/loop-codex-stop-hook.sh		hooks/loop-codex-stop-hook.sh	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_12/output.md	pending
ADD_SHELL_SYNTAX_CHECK_CICD-HZ-013	[ ]	unclaimed	agent_13	humanize_add-shell-syntax-check-c_1to1_20260619	13	file	hooks/loop-edit-validator.sh		hooks/loop-edit-validator.sh	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_13/output.md	pending
ADD_SHELL_SYNTAX_CHECK_CICD-HZ-014	[ ]	unclaimed	agent_14	humanize_add-shell-syntax-check-c_1to1_20260619	14	file	hooks/loop-read-validator.sh		hooks/loop-read-validator.sh	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_14/output.md	pending
ADD_SHELL_SYNTAX_CHECK_CICD-HZ-015	[ ]	unclaimed	agent_15	humanize_add-shell-syntax-check-c_1to1_20260619	15	file	hooks/loop-write-validator.sh		hooks/loop-write-validator.sh	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_15/output.md	pending
ADD_SHELL_SYNTAX_CHECK_CICD-HZ-016	[ ]	unclaimed	agent_16	humanize_add-shell-syntax-check-c_1to1_20260619	16	file	scripts/humanize.sh		scripts/humanize.sh	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_16/output.md	pending
ADD_SHELL_SYNTAX_CHECK_CICD-HZ-017	[ ]	unclaimed	agent_17	humanize_add-shell-syntax-check-c_1to1_20260619	17	file	scripts/portable-timeout.sh		scripts/portable-timeout.sh	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_17/output.md	pending
ADD_SHELL_SYNTAX_CHECK_CICD-HZ-018	[ ]	unclaimed	agent_18	humanize_add-shell-syntax-check-c_1to1_20260619	18	file	scripts/setup-rlcr-loop.sh		scripts/setup-rlcr-loop.sh	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_18/output.md	pending
ADD_SHELL_SYNTAX_CHECK_CICD-HZ-019	[ ]	unclaimed	agent_19	humanize_add-shell-syntax-check-c_1to1_20260619	19	file	hooks/lib/loop-common.sh		hooks/lib/loop-common.sh	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_19/output.md	pending
