item_id	path_type	path	assigned_agent	bytes	sha16	depth	core_descendant_files	reason
ADD_SHELL_SYNTAX_CHECK_CICD-HZ-001	directory	.	agent_01	117163	-	0	14	directory contains included core algorithm descendant(s)
ADD_SHELL_SYNTAX_CHECK_CICD-HZ-002	directory	commands	agent_02	3196	-	1	2	directory contains included core algorithm descendant(s)
ADD_SHELL_SYNTAX_CHECK_CICD-HZ-003	directory	hooks	agent_03	65932	-	1	8	directory contains included core algorithm descendant(s)
ADD_SHELL_SYNTAX_CHECK_CICD-HZ-004	directory	scripts	agent_04	39112	-	1	3	directory contains included core algorithm descendant(s)
ADD_SHELL_SYNTAX_CHECK_CICD-HZ-005	file	README.md	agent_05	8923	c56c46f0c5522f53	0		behavior-defining documentation for workflow/state-machine algorithms
ADD_SHELL_SYNTAX_CHECK_CICD-HZ-006	directory	hooks/lib	agent_06	6982	-	2	1	directory contains included core algorithm descendant(s)
ADD_SHELL_SYNTAX_CHECK_CICD-HZ-007	file	commands/cancel-rlcr-loop.md	agent_07	789	9766a3ab1bef36ad	2		command workflow definition for plan/RLCR algorithms
ADD_SHELL_SYNTAX_CHECK_CICD-HZ-008	file	commands/start-rlcr-loop.md	agent_08	2407	2878e20e74f3b2af	2		command workflow definition for plan/RLCR algorithms
ADD_SHELL_SYNTAX_CHECK_CICD-HZ-009	file	hooks/check-todos-from-transcript.py	agent_09	4425	44d0d28cf2dab213	2		hook or validator implementation for the RLCR state machine
ADD_SHELL_SYNTAX_CHECK_CICD-HZ-010	file	hooks/hooks.json	agent_10	1188	352e0ff02f86be76	2		hook or validator implementation for the RLCR state machine
ADD_SHELL_SYNTAX_CHECK_CICD-HZ-011	file	hooks/loop-bash-validator.sh	agent_11	4158	b24756d05946b26c	2		hook or validator implementation for the RLCR state machine
ADD_SHELL_SYNTAX_CHECK_CICD-HZ-012	file	hooks/loop-codex-stop-hook.sh	agent_12	37028	48e126aec8ffd88d	2		hook or validator implementation for the RLCR state machine
ADD_SHELL_SYNTAX_CHECK_CICD-HZ-013	file	hooks/loop-edit-validator.sh	agent_13	3316	7f781581ddf2565f	2		hook or validator implementation for the RLCR state machine
ADD_SHELL_SYNTAX_CHECK_CICD-HZ-014	file	hooks/loop-read-validator.sh	agent_14	3961	e8e9658684114f5f	2		hook or validator implementation for the RLCR state machine
ADD_SHELL_SYNTAX_CHECK_CICD-HZ-015	file	hooks/loop-write-validator.sh	agent_15	4874	bd790a4baed8515f	2		hook or validator implementation for the RLCR state machine
ADD_SHELL_SYNTAX_CHECK_CICD-HZ-016	file	scripts/humanize.sh	agent_16	22548	d55a2e13c661d314	2		runtime script implementing workflow, routing, monitor, validation, or state behavior
ADD_SHELL_SYNTAX_CHECK_CICD-HZ-017	file	scripts/portable-timeout.sh	agent_17	2116	0e35de1118d19699	2		runtime script implementing workflow, routing, monitor, validation, or state behavior
ADD_SHELL_SYNTAX_CHECK_CICD-HZ-018	file	scripts/setup-rlcr-loop.sh	agent_18	14448	e60e6ccceade79d3	2		runtime script implementing workflow, routing, monitor, validation, or state behavior
ADD_SHELL_SYNTAX_CHECK_CICD-HZ-019	file	hooks/lib/loop-common.sh	agent_19	6982	1ee28407b257903c	3		hook or validator implementation for the RLCR state machine
