item_id	path_type	path	bytes	sha16	depth	reason
ADD_SHELL_SYNTAX_CHECK_CICD-SKIP-001	directory	.claude	0	-	1	directory only contains skipped non-core files
ADD_SHELL_SYNTAX_CHECK_CICD-SKIP-002	directory	.claude-plugin	0	-	1	directory only contains skipped non-core files
ADD_SHELL_SYNTAX_CHECK_CICD-SKIP-003	directory	.github	0	-	1	directory only contains skipped non-core files
ADD_SHELL_SYNTAX_CHECK_CICD-SKIP-004	file	.gitignore	120	14e0f2b2a3759fc4	0	metadata only; not algorithm behavior
ADD_SHELL_SYNTAX_CHECK_CICD-SKIP-005	directory	.github/workflows	0	-	2	directory only contains skipped non-core files
ADD_SHELL_SYNTAX_CHECK_CICD-SKIP-006	file	.claude-plugin/marketplace.json	425	cfa8c07f92efef08	2	plugin packaging metadata; not core algorithm runtime or specification
ADD_SHELL_SYNTAX_CHECK_CICD-SKIP-007	file	.claude-plugin/plugin.json	636	ece61343a22da4d0	2	plugin packaging metadata; not core algorithm runtime or specification
ADD_SHELL_SYNTAX_CHECK_CICD-SKIP-008	file	.claude/CLAUDE.md	1123	1a3f9d9f0d0ef850	2	local assistant instruction surface; not repository algorithm behavior
ADD_SHELL_SYNTAX_CHECK_CICD-SKIP-009	file	.github/workflows/claude-code-review.yml	1433	ce8fe14a843b7409	3	CI workflow; not core algorithm runtime or specification
ADD_SHELL_SYNTAX_CHECK_CICD-SKIP-010	file	.github/workflows/claude.yml	1886	87337a6a879160b8	3	CI workflow; not core algorithm runtime or specification
ADD_SHELL_SYNTAX_CHECK_CICD-SKIP-011	file	.github/workflows/shell-syntax-check.yml	1700	37727577fefbef88	3	CI workflow; not core algorithm runtime or specification
ADD_SHELL_SYNTAX_CHECK_CICD-SKIP-012	file	.github/workflows/version-bump-check.yml	4242	cad2229ba1abc7c1	3	CI workflow; not core algorithm runtime or specification
