item_id	path_type	path	included	assigned_agent	bytes	sha16	depth	core_descendant_files	reason
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-001	directory	.	yes	agent_01	397421	-	0	62	directory contains included core algorithm descendant(s)
ALLOW_ONLY_CANCEL_TO_MV_STATE-SKIP-001	directory	.claude	no		0	-	1	0	directory only contains skipped non-core files
ALLOW_ONLY_CANCEL_TO_MV_STATE-SKIP-002	directory	.claude-plugin	no		0	-	1	0	directory only contains skipped non-core files
ALLOW_ONLY_CANCEL_TO_MV_STATE-SKIP-003	directory	.github	no		0	-	1	0	directory only contains skipped non-core files
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-002	directory	commands	yes	agent_02	3941	-	1	2	directory contains included core algorithm descendant(s)
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-003	directory	hooks	yes	agent_03	101883	-	1	10	directory contains included core algorithm descendant(s)
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-004	directory	prompt-template	yes	agent_04	21768	-	1	33	directory contains included core algorithm descendant(s)
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-005	directory	scripts	yes	agent_05	56399	-	1	3	directory contains included core algorithm descendant(s)
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-006	directory	tests	yes	agent_06	203834	-	1	13	directory contains included core algorithm descendant(s)
ALLOW_ONLY_CANCEL_TO_MV_STATE-SKIP-004	file	.gitignore	no		120	ce8146019ad5a484	0		metadata only; not algorithm behavior
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-007	file	README.md	yes	agent_07	9596	91506de2de2d9a93	0		behavior-defining documentation for workflow/state-machine algorithms
ALLOW_ONLY_CANCEL_TO_MV_STATE-SKIP-005	directory	.github/workflows	no		0	-	2	0	directory only contains skipped non-core files
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-008	directory	hooks/lib	yes	agent_08	24554	-	2	2	directory contains included core algorithm descendant(s)
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-009	directory	prompt-template/block	yes	agent_09	9932	-	2	25	directory contains included core algorithm descendant(s)
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-010	directory	prompt-template/claude	yes	agent_10	2735	-	2	5	directory contains included core algorithm descendant(s)
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-011	directory	prompt-template/codex	yes	agent_11	9101	-	2	3	directory contains included core algorithm descendant(s)
ALLOW_ONLY_CANCEL_TO_MV_STATE-SKIP-006	file	.claude-plugin/marketplace.json	no		425	610e682958641f6f	2		plugin packaging metadata; not core algorithm runtime or specification
ALLOW_ONLY_CANCEL_TO_MV_STATE-SKIP-007	file	.claude-plugin/plugin.json	no		636	17579e31cb070117	2		plugin packaging metadata; not core algorithm runtime or specification
ALLOW_ONLY_CANCEL_TO_MV_STATE-SKIP-008	file	.claude/CLAUDE.md	no		1094	ab7cba265c836798	2		local assistant instruction surface; not repository algorithm behavior
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-012	file	commands/cancel-rlcr-loop.md	yes	agent_12	1531	2dc359b20e9cdaaf	2		command workflow definition for plan/RLCR algorithms
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-013	file	commands/start-rlcr-loop.md	yes	agent_13	2410	005ee49d60ac9f36	2		command workflow definition for plan/RLCR algorithms
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-014	file	hooks/check-todos-from-transcript.py	yes	agent_14	4496	ec13bdb525fa510b	2		hook or validator implementation for the RLCR state machine
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-015	file	hooks/hooks.json	yes	agent_15	1402	acdbc9966d325548	2		hook or validator implementation for the RLCR state machine
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-016	file	hooks/loop-bash-validator.sh	yes	agent_16	11460	1fad3833ef7d9171	2		hook or validator implementation for the RLCR state machine
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-017	file	hooks/loop-codex-stop-hook.sh	yes	agent_17	37108	bc8fb4b61f24671c	2		hook or validator implementation for the RLCR state machine
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-018	file	hooks/loop-edit-validator.sh	yes	agent_18	4417	c143205611213c00	2		hook or validator implementation for the RLCR state machine
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-019	file	hooks/loop-plan-file-validator.sh	yes	agent_19	7671	a731feed2a8cfc43	2		hook or validator implementation for the RLCR state machine
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-020	file	hooks/loop-read-validator.sh	yes	agent_20	4407	1f3b4a1922c0fa29	2		hook or validator implementation for the RLCR state machine
