item_id	path_type	path	assigned_agent	bytes	sha16	depth	core_descendant_files	reason
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-001	directory	.	agent_01	397421	-	0	62	directory contains included core algorithm descendant(s)
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-002	directory	commands	agent_02	3941	-	1	2	directory contains included core algorithm descendant(s)
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-003	directory	hooks	agent_03	101883	-	1	10	directory contains included core algorithm descendant(s)
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-004	directory	prompt-template	agent_04	21768	-	1	33	directory contains included core algorithm descendant(s)
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-005	directory	scripts	agent_05	56399	-	1	3	directory contains included core algorithm descendant(s)
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-006	directory	tests	agent_06	203834	-	1	13	directory contains included core algorithm descendant(s)
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-007	file	README.md	agent_07	9596	91506de2de2d9a93	0		behavior-defining documentation for workflow/state-machine algorithms
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-008	directory	hooks/lib	agent_08	24554	-	2	2	directory contains included core algorithm descendant(s)
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-009	directory	prompt-template/block	agent_09	9932	-	2	25	directory contains included core algorithm descendant(s)
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-010	directory	prompt-template/claude	agent_10	2735	-	2	5	directory contains included core algorithm descendant(s)
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-011	directory	prompt-template/codex	agent_11	9101	-	2	3	directory contains included core algorithm descendant(s)
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-012	file	commands/cancel-rlcr-loop.md	agent_12	1531	2dc359b20e9cdaaf	2		command workflow definition for plan/RLCR algorithms
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-013	file	commands/start-rlcr-loop.md	agent_13	2410	005ee49d60ac9f36	2		command workflow definition for plan/RLCR algorithms
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-014	file	hooks/check-todos-from-transcript.py	agent_14	4496	ec13bdb525fa510b	2		hook or validator implementation for the RLCR state machine
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-015	file	hooks/hooks.json	agent_15	1402	acdbc9966d325548	2		hook or validator implementation for the RLCR state machine
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-016	file	hooks/loop-bash-validator.sh	agent_16	11460	1fad3833ef7d9171	2		hook or validator implementation for the RLCR state machine
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-017	file	hooks/loop-codex-stop-hook.sh	agent_17	37108	bc8fb4b61f24671c	2		hook or validator implementation for the RLCR state machine
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-018	file	hooks/loop-edit-validator.sh	agent_18	4417	c143205611213c00	2		hook or validator implementation for the RLCR state machine
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-019	file	hooks/loop-plan-file-validator.sh	agent_19	7671	a731feed2a8cfc43	2		hook or validator implementation for the RLCR state machine
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-020	file	hooks/loop-read-validator.sh	agent_20	4407	1f3b4a1922c0fa29	2		hook or validator implementation for the RLCR state machine
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-021	file	hooks/loop-write-validator.sh	agent_21	6368	e38d01e58338fa5d	2		hook or validator implementation for the RLCR state machine
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-022	file	scripts/humanize.sh	agent_22	29644	84f4ba9939003554	2		runtime script implementing workflow, routing, monitor, validation, or state behavior
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-023	file	scripts/portable-timeout.sh	agent_23	2116	0e35de1118d19699	2		runtime script implementing workflow, routing, monitor, validation, or state behavior
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-024	file	scripts/setup-rlcr-loop.sh	agent_24	24639	fbb50664e29713a1	2		runtime script implementing workflow, routing, monitor, validation, or state behavior
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-025	file	tests/run-all-tests.sh	agent_25	2743	ca61a61fd3d16bb0	2		executable specification for core algorithm behavior
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-026	file	tests/test-allowlist-validators.sh	agent_26	14573	96c979129fa57121	2		executable specification for core algorithm behavior
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-027	file	tests/test-ansi-parsing.sh	agent_27	5801	1ce1261d36446df1	2		executable specification for core algorithm behavior
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-028	file	tests/test-bash-validator-patterns.sh	agent_28	6658	8a01aab8994ab5f7	2		executable specification for core algorithm behavior
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-029	file	tests/test-cancel-signal-file.sh	agent_29	41224	bf3d0fd3da678b05	2		executable specification for core algorithm behavior
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-030	file	tests/test-error-scenarios.sh	agent_30	7691	a3d02e87805da569	2		executable specification for core algorithm behavior
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-031	file	tests/test-plan-file-hooks.sh	agent_01	34778	64c0668a3783ee0e	2		executable specification for core algorithm behavior
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-032	file	tests/test-plan-file-validation.sh	agent_02	22731	e83ca826ec9a4554	2		executable specification for core algorithm behavior
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-033	file	tests/test-state-exit-naming.sh	agent_03	8959	49e6e8153751d7b2	2		executable specification for core algorithm behavior
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-034	file	tests/test-template-loader.sh	agent_04	21290	a2219c383c2a1de7	2		executable specification for core algorithm behavior
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-035	file	tests/test-template-references.sh	agent_05	7095	8472a7490cad3071	2		executable specification for core algorithm behavior
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-036	file	tests/test-templates-comprehensive.sh	agent_06	19978	6886fbefd58a6798	2		executable specification for core algorithm behavior
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-037	file	tests/test-todo-checker.sh	agent_07	10313	538a4cf151995ea8	2		executable specification for core algorithm behavior
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-038	file	hooks/lib/loop-common.sh	agent_08	17440	3336785878c70030	3		hook or validator implementation for the RLCR state machine
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-039	file	hooks/lib/template-loader.sh	agent_09	7114	5b3f234b6593e793	3		hook or validator implementation for the RLCR state machine
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-040	file	prompt-template/block/codex-review-failed.md	agent_10	441	da0e92480e856991	3		prompt/block template defining algorithmic transitions, gates, or review contracts
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-041	file	prompt-template/block/git-not-clean-humanize-local.md	agent_11	237	3560783ce38f0173	3		prompt/block template defining algorithmic transitions, gates, or review contracts
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-042	file	prompt-template/block/git-not-clean-untracked.md	agent_12	451	f43695d9bf683067	3		prompt/block template defining algorithmic transitions, gates, or review contracts
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-043	file	prompt-template/block/git-not-clean.md	agent_13	817	27fdbf4b61e9c3e8	3		prompt/block template defining algorithmic transitions, gates, or review contracts
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-044	file	prompt-template/block/git-push.md	agent_14	270	6f6a914581c44bf4	3		prompt/block template defining algorithmic transitions, gates, or review contracts
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-045	file	prompt-template/block/git-status-failed.md	agent_15	326	148c7f2135627ce2	3		prompt/block template defining algorithmic transitions, gates, or review contracts
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-046	file	prompt-template/block/goal-tracker-bash-write.md	agent_16	289	10bd3180103232ab	3		prompt/block template defining algorithmic transitions, gates, or review contracts
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-047	file	prompt-template/block/goal-tracker-modification.md	agent_17	792	f1ba1e1d57f10f0e	3		prompt/block template defining algorithmic transitions, gates, or review contracts
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-048	file	prompt-template/block/goal-tracker-not-initialized.md	agent_18	707	8e0704adfd34a85f	3		prompt/block template defining algorithmic transitions, gates, or review contracts
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-049	file	prompt-template/block/incomplete-todos.md	agent_19	442	6f11cb221b60ef09	3		prompt/block template defining algorithmic transitions, gates, or review contracts
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-050	file	prompt-template/block/large-files.md	agent_20	1088	4959ab05fe8db151	3		prompt/block template defining algorithmic transitions, gates, or review contracts
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-051	file	prompt-template/block/plan-backup-protected.md	agent_21	259	dd28f560f117299c	3		prompt/block template defining algorithmic transitions, gates, or review contracts
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-052	file	prompt-template/block/plan-file-modified.md	agent_22	383	7d2771f111a51284	3		prompt/block template defining algorithmic transitions, gates, or review contracts
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-053	file	prompt-template/block/prompt-file-write.md	agent_23	413	646f5d69c23ad448	3		prompt/block template defining algorithmic transitions, gates, or review contracts
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-054	file	prompt-template/block/schema-outdated.md	agent_24	394	4703babc4c09b3a2	3		prompt/block template defining algorithmic transitions, gates, or review contracts
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-055	file	prompt-template/block/state-file-modification.md	agent_25	238	6bb8b47b54741bbc	3		prompt/block template defining algorithmic transitions, gates, or review contracts
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-056	file	prompt-template/block/summary-bash-write.md	agent_26	302	bd85ffadfbb99a46	3		prompt/block template defining algorithmic transitions, gates, or review contracts
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-057	file	prompt-template/block/todos-file-access.md	agent_27	253	73ab064257615c4d	3		prompt/block template defining algorithmic transitions, gates, or review contracts
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-058	file	prompt-template/block/unpushed-commits.md	agent_28	348	0551bb132865f477	3		prompt/block template defining algorithmic transitions, gates, or review contracts
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-059	file	prompt-template/block/work-summary-missing.md	agent_29	335	b436e5c7da62fb36	3		prompt/block template defining algorithmic transitions, gates, or review contracts
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-060	file	prompt-template/block/wrong-directory-path.md	agent_30	152	f5ef742284113e9f	3		prompt/block template defining algorithmic transitions, gates, or review contracts
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-061	file	prompt-template/block/wrong-file-location.md	agent_01	318	7694ce22d3e717d5	3		prompt/block template defining algorithmic transitions, gates, or review contracts
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-062	file	prompt-template/block/wrong-round-file.md	agent_02	343	95e644ffc2acb524	3		prompt/block template defining algorithmic transitions, gates, or review contracts
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-063	file	prompt-template/block/wrong-round-number.md	agent_03	225	b0cda8096b43ed73	3		prompt/block template defining algorithmic transitions, gates, or review contracts
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-064	file	prompt-template/block/wrong-summary-location.md	agent_04	109	631a6877e9b14def	3		prompt/block template defining algorithmic transitions, gates, or review contracts
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-065	file	prompt-template/claude/goal-tracker-update-request.md	agent_05	573	7562a836815c4e71	3		prompt/block template defining algorithmic transitions, gates, or review contracts
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-066	file	prompt-template/claude/next-round-footer.md	agent_06	465	8022d464c481fe85	3		prompt/block template defining algorithmic transitions, gates, or review contracts
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-067	file	prompt-template/claude/next-round-prompt.md	agent_07	1206	02e772f1156bd385	3		prompt/block template defining algorithmic transitions, gates, or review contracts
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-068	file	prompt-template/claude/post-alignment-action-items.md	agent_08	390	997a65e7b8b813f7	3		prompt/block template defining algorithmic transitions, gates, or review contracts
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-069	file	prompt-template/claude/push-every-round-note.md	agent_09	101	786793c424471d77	3		prompt/block template defining algorithmic transitions, gates, or review contracts
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-070	file	prompt-template/codex/full-alignment-review.md	agent_10	4156	8de0155896227930	3		prompt/block template defining algorithmic transitions, gates, or review contracts
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-071	file	prompt-template/codex/goal-tracker-update-section.md	agent_11	1047	b65806939b91d326	3		prompt/block template defining algorithmic transitions, gates, or review contracts
ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-072	file	prompt-template/codex/regular-review.md	agent_12	3898	0e1832561c8c6381	3		prompt/block template defining algorithmic transitions, gates, or review contracts
