agent	item_count	total_bytes	item_ids	paths
agent_01	3	432517	ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-001,ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-031,ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-061	.; tests/test-plan-file-hooks.sh; prompt-template/block/wrong-file-location.md
agent_02	3	27015	ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-002,ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-032,ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-062	commands; tests/test-plan-file-validation.sh; prompt-template/block/wrong-round-file.md
agent_03	3	111067	ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-003,ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-033,ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-063	hooks; tests/test-state-exit-naming.sh; prompt-template/block/wrong-round-number.md
agent_04	3	43167	ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-004,ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-034,ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-064	prompt-template; tests/test-template-loader.sh; prompt-template/block/wrong-summary-location.md
agent_05	3	64067	ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-005,ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-035,ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-065	scripts; tests/test-template-references.sh; prompt-template/claude/goal-tracker-update-request.md
agent_06	3	224277	ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-006,ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-036,ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-066	tests; tests/test-templates-comprehensive.sh; prompt-template/claude/next-round-footer.md
agent_07	3	21115	ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-007,ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-037,ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-067	README.md; tests/test-todo-checker.sh; prompt-template/claude/next-round-prompt.md
agent_08	3	42384	ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-008,ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-038,ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-068	hooks/lib; hooks/lib/loop-common.sh; prompt-template/claude/post-alignment-action-items.md
agent_09	3	17147	ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-009,ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-039,ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-069	prompt-template/block; hooks/lib/template-loader.sh; prompt-template/claude/push-every-round-note.md
agent_10	3	7332	ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-010,ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-040,ALLOW_ONLY_CANCEL_TO_MV_STATE-HZ-070	prompt-template/claude; prompt-template/block/codex-review-failed.md; prompt-template/codex/full-alignment-review.md
