agent	item_count	total_bytes	item_ids	paths
agent_01	6	1498266	ASK_CODEX_SKILL-HZ-001,ASK_CODEX_SKILL-HZ-031,ASK_CODEX_SKILL-HZ-061,ASK_CODEX_SKILL-HZ-091,ASK_CODEX_SKILL-HZ-121,ASK_CODEX_SKILL-HZ-151	.; hooks/loop-post-bash-hook.sh; tests/test-helpers.sh; prompt-template/block/git-add-humanize.md; prompt-template/claude/agent-teams-instructions.md; tests/robustness/test-hook-system-robustness.sh
agent_02	6	34623	ASK_CODEX_SKILL-HZ-002,ASK_CODEX_SKILL-HZ-032,ASK_CODEX_SKILL-HZ-062,ASK_CODEX_SKILL-HZ-092,ASK_CODEX_SKILL-HZ-122,ASK_CODEX_SKILL-HZ-152	agents; hooks/loop-read-validator.sh; tests/test-humanize-escape.sh; prompt-template/block/git-not-clean-humanize-local.md; prompt-template/claude/finalize-phase-prompt.md; tests/robustness/test-path-validation-robustness.sh
agent_03	6	48923	ASK_CODEX_SKILL-HZ-003,ASK_CODEX_SKILL-HZ-033,ASK_CODEX_SKILL-HZ-063,ASK_CODEX_SKILL-HZ-093,ASK_CODEX_SKILL-HZ-123,ASK_CODEX_SKILL-HZ-153	commands; hooks/loop-write-validator.sh; tests/test-monitor-e2e-deletion.sh; prompt-template/block/git-not-clean-untracked.md; prompt-template/claude/finalize-phase-skipped-prompt.md; tests/robustness/test-plan-file-robustness.sh
agent_04	6	358276	ASK_CODEX_SKILL-HZ-004,ASK_CODEX_SKILL-HZ-034,ASK_CODEX_SKILL-HZ-064,ASK_CODEX_SKILL-HZ-094,ASK_CODEX_SKILL-HZ-124,ASK_CODEX_SKILL-HZ-154	hooks; hooks/pr-loop-stop-hook.sh; tests/test-monitor-e2e-real.sh; prompt-template/block/git-not-clean.md; prompt-template/claude/goal-tracker-update-request.md; tests/robustness/test-pr-loop-api-fetch.sh
agent_05	6	60456	ASK_CODEX_SKILL-HZ-005,ASK_CODEX_SKILL-HZ-035,ASK_CODEX_SKILL-HZ-065,ASK_CODEX_SKILL-HZ-095,ASK_CODEX_SKILL-HZ-125,ASK_CODEX_SKILL-HZ-155	prompt-template; scripts/ask-codex.sh; tests/test-monitor-e2e-sigint.sh; prompt-template/block/git-push.md; prompt-template/claude/next-round-footer.md; tests/robustness/test-pr-loop-api-poll.sh
agent_06	6	280861	ASK_CODEX_SKILL-HZ-006,ASK_CODEX_SKILL-HZ-036,ASK_CODEX_SKILL-HZ-066,ASK_CODEX_SKILL-HZ-096,ASK_CODEX_SKILL-HZ-126,ASK_CODEX_SKILL-HZ-156	scripts; scripts/cancel-pr-loop.sh; tests/test-monitor-runtime.sh; prompt-template/block/git-status-failed.md; prompt-template/claude/next-round-prompt.md; tests/robustness/test-pr-loop-api-robustness.sh
agent_07	6	53431	ASK_CODEX_SKILL-HZ-007,ASK_CODEX_SKILL-HZ-037,ASK_CODEX_SKILL-HZ-067,ASK_CODEX_SKILL-HZ-097,ASK_CODEX_SKILL-HZ-127,ASK_CODEX_SKILL-HZ-157	skills; scripts/cancel-rlcr-loop.sh; tests/test-plan-file-hooks.sh; prompt-template/block/goal-tracker-bash-write.md; prompt-template/claude/open-question-notice.md; tests/robustness/test-session-robustness.sh
agent_08	6	970780	ASK_CODEX_SKILL-HZ-008,ASK_CODEX_SKILL-HZ-038,ASK_CODEX_SKILL-HZ-068,ASK_CODEX_SKILL-HZ-098,ASK_CODEX_SKILL-HZ-128,ASK_CODEX_SKILL-HZ-158	tests; scripts/check-bot-reactions.sh; tests/test-plan-file-validation.sh; prompt-template/block/goal-tracker-modification.md; prompt-template/claude/post-alignment-action-items.md; tests/robustness/test-setup-scripts-robustness.sh
agent_09	6	33993	ASK_CODEX_SKILL-HZ-009,ASK_CODEX_SKILL-HZ-039,ASK_CODEX_SKILL-HZ-069,ASK_CODEX_SKILL-HZ-099,ASK_CODEX_SKILL-HZ-129,ASK_CODEX_SKILL-HZ-159	README.md; scripts/check-pr-reviewer-status.sh; tests/test-pr-loop-1-scripts.sh; prompt-template/block/goal-tracker-not-initialized.md; prompt-template/claude/push-every-round-note.md; tests/robustness/test-state-file-robustness.sh
agent_10	6	89428	ASK_CODEX_SKILL-HZ-010,ASK_CODEX_SKILL-HZ-040,ASK_CODEX_SKILL-HZ-070,ASK_CODEX_SKILL-HZ-100,ASK_CODEX_SKILL-HZ-130,ASK_CODEX_SKILL-HZ-160	hooks/lib; scripts/fetch-pr-comments.sh; tests/test-pr-loop-2-hooks.sh; prompt-template/block/incomplete-todos.md; prompt-template/claude/review-phase-prompt.md; tests/robustness/test-state-transition-robustness.sh
