item_id	path_type	path	assigned_agent	bytes	sha16	depth	core_descendant_files	reason
CANCEL_WHEN_FINALIZE-HZ-001	directory	.	agent_01	432861	-	0	65	directory contains included core algorithm descendant(s)
CANCEL_WHEN_FINALIZE-HZ-002	directory	commands	agent_02	5465	-	1	2	directory contains included core algorithm descendant(s)
CANCEL_WHEN_FINALIZE-HZ-003	directory	hooks	agent_03	110576	-	1	10	directory contains included core algorithm descendant(s)
CANCEL_WHEN_FINALIZE-HZ-004	directory	prompt-template	agent_04	23762	-	1	35	directory contains included core algorithm descendant(s)
CANCEL_WHEN_FINALIZE-HZ-005	directory	scripts	agent_05	56399	-	1	3	directory contains included core algorithm descendant(s)
CANCEL_WHEN_FINALIZE-HZ-006	directory	tests	agent_06	227063	-	1	14	directory contains included core algorithm descendant(s)
CANCEL_WHEN_FINALIZE-HZ-007	file	README.md	agent_07	9596	a7add8c7f91356cd	0		behavior-defining documentation for workflow/state-machine algorithms
CANCEL_WHEN_FINALIZE-HZ-008	directory	hooks/lib	agent_08	25691	-	2	2	directory contains included core algorithm descendant(s)
CANCEL_WHEN_FINALIZE-HZ-009	directory	prompt-template/block	agent_09	10276	-	2	26	directory contains included core algorithm descendant(s)
CANCEL_WHEN_FINALIZE-HZ-010	directory	prompt-template/claude	agent_10	4385	-	2	6	directory contains included core algorithm descendant(s)
CANCEL_WHEN_FINALIZE-HZ-011	directory	prompt-template/codex	agent_11	9101	-	2	3	directory contains included core algorithm descendant(s)
CANCEL_WHEN_FINALIZE-HZ-012	file	commands/cancel-rlcr-loop.md	agent_12	3055	d8188ad221a2e198	2		command workflow definition for plan/RLCR algorithms
CANCEL_WHEN_FINALIZE-HZ-013	file	commands/start-rlcr-loop.md	agent_13	2410	005ee49d60ac9f36	2		command workflow definition for plan/RLCR algorithms
CANCEL_WHEN_FINALIZE-HZ-014	file	hooks/check-todos-from-transcript.py	agent_14	4496	ec13bdb525fa510b	2		hook or validator implementation for the RLCR state machine
CANCEL_WHEN_FINALIZE-HZ-015	file	hooks/hooks.json	agent_15	1402	acdbc9966d325548	2		hook or validator implementation for the RLCR state machine
CANCEL_WHEN_FINALIZE-HZ-016	file	hooks/loop-bash-validator.sh	agent_16	13186	da665a0850ef8f93	2		hook or validator implementation for the RLCR state machine
CANCEL_WHEN_FINALIZE-HZ-017	file	hooks/loop-codex-stop-hook.sh	agent_17	40784	809e94efdbdbbff3	2		hook or validator implementation for the RLCR state machine
CANCEL_WHEN_FINALIZE-HZ-018	file	hooks/loop-edit-validator.sh	agent_18	4887	393df68fe4a6ade2	2		hook or validator implementation for the RLCR state machine
CANCEL_WHEN_FINALIZE-HZ-019	file	hooks/loop-plan-file-validator.sh	agent_19	7830	ed732c606434bff6	2		hook or validator implementation for the RLCR state machine
CANCEL_WHEN_FINALIZE-HZ-020	file	hooks/loop-read-validator.sh	agent_20	4633	9209a1d32a2543dc	2		hook or validator implementation for the RLCR state machine
