item_id	path_type	path	included	assigned_agent	bytes	sha16	depth	core_descendant_files	reason
CANCEL_WHEN_FINALIZE-HZ-001	directory	.	yes	agent_01	432861	-	0	65	directory contains included core algorithm descendant(s)
CANCEL_WHEN_FINALIZE-SKIP-001	directory	.claude	no		0	-	1	0	directory only contains skipped non-core files
CANCEL_WHEN_FINALIZE-SKIP-002	directory	.claude-plugin	no		0	-	1	0	directory only contains skipped non-core files
CANCEL_WHEN_FINALIZE-SKIP-003	directory	.github	no		0	-	1	0	directory only contains skipped non-core files
CANCEL_WHEN_FINALIZE-HZ-002	directory	commands	yes	agent_02	5465	-	1	2	directory contains included core algorithm descendant(s)
CANCEL_WHEN_FINALIZE-HZ-003	directory	hooks	yes	agent_03	110576	-	1	10	directory contains included core algorithm descendant(s)
CANCEL_WHEN_FINALIZE-HZ-004	directory	prompt-template	yes	agent_04	23762	-	1	35	directory contains included core algorithm descendant(s)
CANCEL_WHEN_FINALIZE-HZ-005	directory	scripts	yes	agent_05	56399	-	1	3	directory contains included core algorithm descendant(s)
CANCEL_WHEN_FINALIZE-HZ-006	directory	tests	yes	agent_06	227063	-	1	14	directory contains included core algorithm descendant(s)
CANCEL_WHEN_FINALIZE-SKIP-004	file	.gitignore	no		120	ce8146019ad5a484	0		metadata only; not algorithm behavior
CANCEL_WHEN_FINALIZE-HZ-007	file	README.md	yes	agent_07	9596	a7add8c7f91356cd	0		behavior-defining documentation for workflow/state-machine algorithms
CANCEL_WHEN_FINALIZE-SKIP-005	directory	.github/workflows	no		0	-	2	0	directory only contains skipped non-core files
CANCEL_WHEN_FINALIZE-HZ-008	directory	hooks/lib	yes	agent_08	25691	-	2	2	directory contains included core algorithm descendant(s)
CANCEL_WHEN_FINALIZE-HZ-009	directory	prompt-template/block	yes	agent_09	10276	-	2	26	directory contains included core algorithm descendant(s)
CANCEL_WHEN_FINALIZE-HZ-010	directory	prompt-template/claude	yes	agent_10	4385	-	2	6	directory contains included core algorithm descendant(s)
CANCEL_WHEN_FINALIZE-HZ-011	directory	prompt-template/codex	yes	agent_11	9101	-	2	3	directory contains included core algorithm descendant(s)
CANCEL_WHEN_FINALIZE-SKIP-006	file	.claude-plugin/marketplace.json	no		425	5d9b67ca67efe8ef	2		plugin packaging metadata; not core algorithm runtime or specification
CANCEL_WHEN_FINALIZE-SKIP-007	file	.claude-plugin/plugin.json	no		636	b2e78cd8c5620939	2		plugin packaging metadata; not core algorithm runtime or specification
CANCEL_WHEN_FINALIZE-SKIP-008	file	.claude/CLAUDE.md	no		1094	ab7cba265c836798	2		local assistant instruction surface; not repository algorithm behavior
CANCEL_WHEN_FINALIZE-HZ-012	file	commands/cancel-rlcr-loop.md	yes	agent_12	3055	d8188ad221a2e198	2		command workflow definition for plan/RLCR algorithms
CANCEL_WHEN_FINALIZE-HZ-013	file	commands/start-rlcr-loop.md	yes	agent_13	2410	005ee49d60ac9f36	2		command workflow definition for plan/RLCR algorithms
CANCEL_WHEN_FINALIZE-HZ-014	file	hooks/check-todos-from-transcript.py	yes	agent_14	4496	ec13bdb525fa510b	2		hook or validator implementation for the RLCR state machine
CANCEL_WHEN_FINALIZE-HZ-015	file	hooks/hooks.json	yes	agent_15	1402	acdbc9966d325548	2		hook or validator implementation for the RLCR state machine
CANCEL_WHEN_FINALIZE-HZ-016	file	hooks/loop-bash-validator.sh	yes	agent_16	13186	da665a0850ef8f93	2		hook or validator implementation for the RLCR state machine
CANCEL_WHEN_FINALIZE-HZ-017	file	hooks/loop-codex-stop-hook.sh	yes	agent_17	40784	809e94efdbdbbff3	2		hook or validator implementation for the RLCR state machine
CANCEL_WHEN_FINALIZE-HZ-018	file	hooks/loop-edit-validator.sh	yes	agent_18	4887	393df68fe4a6ade2	2		hook or validator implementation for the RLCR state machine
CANCEL_WHEN_FINALIZE-HZ-019	file	hooks/loop-plan-file-validator.sh	yes	agent_19	7830	ed732c606434bff6	2		hook or validator implementation for the RLCR state machine
CANCEL_WHEN_FINALIZE-HZ-020	file	hooks/loop-read-validator.sh	yes	agent_20	4633	9209a1d32a2543dc	2		hook or validator implementation for the RLCR state machine
CANCEL_WHEN_FINALIZE-HZ-021	file	hooks/loop-write-validator.sh	yes	agent_21	7667	a8d78371cdfac0b9	2		hook or validator implementation for the RLCR state machine
CANCEL_WHEN_FINALIZE-HZ-022	file	scripts/humanize.sh	yes	agent_22	29644	84f4ba9939003554	2		runtime script implementing workflow, routing, monitor, validation, or state behavior
CANCEL_WHEN_FINALIZE-HZ-023	file	scripts/portable-timeout.sh	yes	agent_23	2116	0e35de1118d19699	2		runtime script implementing workflow, routing, monitor, validation, or state behavior
CANCEL_WHEN_FINALIZE-HZ-024	file	scripts/setup-rlcr-loop.sh	yes	agent_24	24639	fbb50664e29713a1	2		runtime script implementing workflow, routing, monitor, validation, or state behavior
CANCEL_WHEN_FINALIZE-HZ-025	file	tests/run-all-tests.sh	yes	agent_25	2772	3e99c808bbab1aba	2		executable specification for core algorithm behavior
CANCEL_WHEN_FINALIZE-HZ-026	file	tests/test-allowlist-validators.sh	yes	agent_26	14573	96c979129fa57121	2		executable specification for core algorithm behavior
CANCEL_WHEN_FINALIZE-HZ-027	file	tests/test-ansi-parsing.sh	yes	agent_27	5801	1ce1261d36446df1	2		executable specification for core algorithm behavior
CANCEL_WHEN_FINALIZE-HZ-028	file	tests/test-bash-validator-patterns.sh	yes	agent_28	6658	8a01aab8994ab5f7	2		executable specification for core algorithm behavior
