agent	item_count	total_bytes	item_ids	paths
agent_01	5	1451373	CHANGE_TODOS_TO_TASKS-HZ-001,CHANGE_TODOS_TO_TASKS-HZ-031,CHANGE_TODOS_TO_TASKS-HZ-061,CHANGE_TODOS_TO_TASKS-HZ-091,CHANGE_TODOS_TO_TASKS-HZ-121	.; hooks/pr-loop-stop-hook.sh; tests/test-pr-loop-hooks.sh; prompt-template/block/plan-backup-protected.md; prompt-template/pr-loop/critical-requirements-has-comments.md
agent_02	5	10325	CHANGE_TODOS_TO_TASKS-HZ-002,CHANGE_TODOS_TO_TASKS-HZ-032,CHANGE_TODOS_TO_TASKS-HZ-062,CHANGE_TODOS_TO_TASKS-HZ-092,CHANGE_TODOS_TO_TASKS-HZ-122	agents; scripts/cancel-pr-loop.sh; tests/test-pr-loop-lib.sh; prompt-template/block/plan-file-modified.md; prompt-template/pr-loop/critical-requirements-no-comments.md
agent_03	5	39407	CHANGE_TODOS_TO_TASKS-HZ-003,CHANGE_TODOS_TO_TASKS-HZ-033,CHANGE_TODOS_TO_TASKS-HZ-063,CHANGE_TODOS_TO_TASKS-HZ-093,CHANGE_TODOS_TO_TASKS-HZ-123	commands; scripts/cancel-rlcr-loop.sh; tests/test-pr-loop-scripts.sh; prompt-template/block/pr-loop-prompt-write.md; prompt-template/pr-loop/goal-tracker-initial.md
agent_04	5	308363	CHANGE_TODOS_TO_TASKS-HZ-004,CHANGE_TODOS_TO_TASKS-HZ-034,CHANGE_TODOS_TO_TASKS-HZ-064,CHANGE_TODOS_TO_TASKS-HZ-094,CHANGE_TODOS_TO_TASKS-HZ-124	hooks; scripts/check-bot-reactions.sh; tests/test-pr-loop-stophook.sh; prompt-template/block/pr-loop-state-modification.md; prompt-template/pr-loop/round-0-header.md
agent_05	5	119629	CHANGE_TODOS_TO_TASKS-HZ-005,CHANGE_TODOS_TO_TASKS-HZ-035,CHANGE_TODOS_TO_TASKS-HZ-065,CHANGE_TODOS_TO_TASKS-HZ-095,CHANGE_TODOS_TO_TASKS-HZ-125	prompt-template; scripts/check-pr-reviewer-status.sh; tests/test-pr-loop-system.sh; prompt-template/block/prompt-file-write.md; prompt-template/pr-loop/round-0-task-has-comments.md
agent_06	5	222572	CHANGE_TODOS_TO_TASKS-HZ-006,CHANGE_TODOS_TO_TASKS-HZ-036,CHANGE_TODOS_TO_TASKS-HZ-066,CHANGE_TODOS_TO_TASKS-HZ-096,CHANGE_TODOS_TO_TASKS-HZ-126	scripts; scripts/fetch-pr-comments.sh; tests/test-pr-loop.sh; prompt-template/block/schema-outdated.md; prompt-template/pr-loop/round-0-task-no-comments.md
agent_07	5	893648	CHANGE_TODOS_TO_TASKS-HZ-007,CHANGE_TODOS_TO_TASKS-HZ-037,CHANGE_TODOS_TO_TASKS-HZ-067,CHANGE_TODOS_TO_TASKS-HZ-097,CHANGE_TODOS_TO_TASKS-HZ-127	tests; scripts/humanize.sh; tests/test-state-exit-naming.sh; prompt-template/block/state-file-modification.md; scripts/lib/monitor-common.sh
agent_08	5	44014	CHANGE_TODOS_TO_TASKS-HZ-008,CHANGE_TODOS_TO_TASKS-HZ-038,CHANGE_TODOS_TO_TASKS-HZ-068,CHANGE_TODOS_TO_TASKS-HZ-098,CHANGE_TODOS_TO_TASKS-HZ-128	README.md; scripts/poll-pr-reviews.sh; tests/test-template-loader.sh; prompt-template/block/summary-bash-write.md; tests/robustness/test-base-branch-detection.sh
agent_09	5	81070	CHANGE_TODOS_TO_TASKS-HZ-009,CHANGE_TODOS_TO_TASKS-HZ-039,CHANGE_TODOS_TO_TASKS-HZ-069,CHANGE_TODOS_TO_TASKS-HZ-099,CHANGE_TODOS_TO_TASKS-HZ-129	hooks/lib; scripts/portable-timeout.sh; tests/test-template-references.sh; prompt-template/block/todos-file-access.md; tests/robustness/test-cancel-security-robustness.sh
agent_10	5	84775	CHANGE_TODOS_TO_TASKS-HZ-010,CHANGE_TODOS_TO_TASKS-HZ-040,CHANGE_TODOS_TO_TASKS-HZ-070,CHANGE_TODOS_TO_TASKS-HZ-100,CHANGE_TODOS_TO_TASKS-HZ-130	prompt-template/block; scripts/setup-pr-loop.sh; tests/test-templates-comprehensive.sh; prompt-template/block/unpushed-commits.md; tests/robustness/test-concurrent-state-robustness.sh
agent_11	5	77133	CHANGE_TODOS_TO_TASKS-HZ-011,CHANGE_TODOS_TO_TASKS-HZ-041,CHANGE_TODOS_TO_TASKS-HZ-071,CHANGE_TODOS_TO_TASKS-HZ-101,CHANGE_TODOS_TO_TASKS-HZ-131	prompt-template/claude; scripts/setup-rlcr-loop.sh; tests/test-todo-checker.sh; prompt-template/block/work-summary-missing.md; tests/robustness/test-git-operations-robustness.sh
agent_12	5	39991	CHANGE_TODOS_TO_TASKS-HZ-012,CHANGE_TODOS_TO_TASKS-HZ-042,CHANGE_TODOS_TO_TASKS-HZ-072,CHANGE_TODOS_TO_TASKS-HZ-102,CHANGE_TODOS_TO_TASKS-HZ-132	prompt-template/codex; scripts/validate-gen-plan-io.sh; tests/test-zsh-monitor-safety.sh; prompt-template/block/wrong-directory-path.md; tests/robustness/test-goal-tracker-robustness.sh
agent_13	5	77985	CHANGE_TODOS_TO_TASKS-HZ-013,CHANGE_TODOS_TO_TASKS-HZ-043,CHANGE_TODOS_TO_TASKS-HZ-073,CHANGE_TODOS_TO_TASKS-HZ-103,CHANGE_TODOS_TO_TASKS-HZ-133	prompt-template/plan; tests/manual-monitor-test.sh; hooks/lib/loop-common.sh; prompt-template/block/wrong-file-location.md; tests/robustness/test-hook-input-robustness.sh
agent_14	5	42597	CHANGE_TODOS_TO_TASKS-HZ-014,CHANGE_TODOS_TO_TASKS-HZ-044,CHANGE_TODOS_TO_TASKS-HZ-074,CHANGE_TODOS_TO_TASKS-HZ-104,CHANGE_TODOS_TO_TASKS-HZ-134	prompt-template/pr-loop; tests/run-all-tests.sh; hooks/lib/template-loader.sh; prompt-template/block/wrong-round-file.md; tests/robustness/test-hook-system-robustness.sh
agent_15	5	34544	CHANGE_TODOS_TO_TASKS-HZ-015,CHANGE_TODOS_TO_TASKS-HZ-045,CHANGE_TODOS_TO_TASKS-HZ-075,CHANGE_TODOS_TO_TASKS-HZ-105,CHANGE_TODOS_TO_TASKS-HZ-135	scripts/lib; tests/setup-fixture-mock-gh.sh; prompt-template/block/claude-eyes-timeout.md; prompt-template/block/wrong-round-number.md; tests/robustness/test-path-validation-robustness.sh
agent_16	5	286319	CHANGE_TODOS_TO_TASKS-HZ-016,CHANGE_TODOS_TO_TASKS-HZ-046,CHANGE_TODOS_TO_TASKS-HZ-076,CHANGE_TODOS_TO_TASKS-HZ-106,CHANGE_TODOS_TO_TASKS-HZ-136	tests/robustness; tests/setup-monitor-test-env.sh; prompt-template/block/codex-review-failed.md; prompt-template/block/wrong-summary-location.md; tests/robustness/test-plan-file-robustness.sh
agent_17	5	45036	CHANGE_TODOS_TO_TASKS-HZ-017,CHANGE_TODOS_TO_TASKS-HZ-047,CHANGE_TODOS_TO_TASKS-HZ-077,CHANGE_TODOS_TO_TASKS-HZ-107,CHANGE_TODOS_TO_TASKS-HZ-137	agents/draft-relevance-checker.md; tests/test-allowlist-validators.sh; prompt-template/block/finalize-state-file-modification.md; prompt-template/claude/finalize-phase-prompt.md; tests/robustness/test-pr-loop-api-robustness.sh
agent_18	5	19022	CHANGE_TODOS_TO_TASKS-HZ-018,CHANGE_TODOS_TO_TASKS-HZ-048,CHANGE_TODOS_TO_TASKS-HZ-078,CHANGE_TODOS_TO_TASKS-HZ-108,CHANGE_TODOS_TO_TASKS-HZ-138	commands/cancel-pr-loop.md; tests/test-ansi-parsing.sh; prompt-template/block/force-push-detected.md; prompt-template/claude/finalize-phase-skipped-prompt.md; tests/robustness/test-session-robustness.sh
