item_id	path_type	path	assigned_agent	bytes	sha16	depth	core_descendant_files	reason
CHANGE_TODOS_TO_TASKS-HZ-001	directory	.	agent_01	1329309	-	0	129	directory contains included core algorithm descendant(s)
CHANGE_TODOS_TO_TASKS-HZ-002	directory	agents	agent_02	1788	-	1	1	directory contains included core algorithm descendant(s)
CHANGE_TODOS_TO_TASKS-HZ-003	directory	commands	agent_03	21603	-	1	5	directory contains included core algorithm descendant(s)
CHANGE_TODOS_TO_TASKS-HZ-004	directory	hooks	agent_04	240927	-	1	11	directory contains included core algorithm descendant(s)
CHANGE_TODOS_TO_TASKS-HZ-005	directory	prompt-template	agent_05	41104	-	1	52	directory contains included core algorithm descendant(s)
CHANGE_TODOS_TO_TASKS-HZ-006	directory	scripts	agent_06	205463	-	1	12	directory contains included core algorithm descendant(s)
CHANGE_TODOS_TO_TASKS-HZ-007	directory	tests	agent_07	811576	-	1	47	directory contains included core algorithm descendant(s)
CHANGE_TODOS_TO_TASKS-HZ-008	file	README.md	agent_08	6848	07eab4f70f6b7581	0		behavior-defining documentation for workflow/state-machine algorithms
CHANGE_TODOS_TO_TASKS-HZ-009	directory	hooks/lib	agent_09	56837	-	2	2	directory contains included core algorithm descendant(s)
CHANGE_TODOS_TO_TASKS-HZ-010	directory	prompt-template/block	agent_10	14056	-	2	32	directory contains included core algorithm descendant(s)
CHANGE_TODOS_TO_TASKS-HZ-011	directory	prompt-template/claude	agent_11	6943	-	2	8	directory contains included core algorithm descendant(s)
CHANGE_TODOS_TO_TASKS-HZ-012	directory	prompt-template/codex	agent_12	10385	-	2	4	directory contains included core algorithm descendant(s)
CHANGE_TODOS_TO_TASKS-HZ-013	directory	prompt-template/plan	agent_13	2959	-	2	1	directory contains included core algorithm descendant(s)
CHANGE_TODOS_TO_TASKS-HZ-014	directory	prompt-template/pr-loop	agent_14	6761	-	2	7	directory contains included core algorithm descendant(s)
CHANGE_TODOS_TO_TASKS-HZ-015	directory	scripts/lib	agent_15	17436	-	2	1	directory contains included core algorithm descendant(s)
CHANGE_TODOS_TO_TASKS-HZ-016	directory	tests/robustness	agent_16	268483	-	2	17	directory contains included core algorithm descendant(s)
CHANGE_TODOS_TO_TASKS-HZ-017	file	agents/draft-relevance-checker.md	agent_17	1788	98f5a6a069791828	2		agent prompt/policy file defining review or planning behavior
CHANGE_TODOS_TO_TASKS-HZ-018	file	commands/cancel-pr-loop.md	agent_18	953	41a045601d93d8d6	2		command workflow definition for plan/RLCR algorithms
CHANGE_TODOS_TO_TASKS-HZ-019	file	commands/cancel-rlcr-loop.md	agent_19	1914	2a8faafa5889ed98	2		command workflow definition for plan/RLCR algorithms
CHANGE_TODOS_TO_TASKS-HZ-020	file	commands/gen-plan.md	agent_20	12548	ca2089d3b01c53da	2		command workflow definition for plan/RLCR algorithms
CHANGE_TODOS_TO_TASKS-HZ-021	file	commands/start-pr-loop.md	agent_21	2349	f1323861df02ee34	2		command workflow definition for plan/RLCR algorithms
CHANGE_TODOS_TO_TASKS-HZ-022	file	commands/start-rlcr-loop.md	agent_22	3839	fb1fbf520d96b75d	2		command workflow definition for plan/RLCR algorithms
CHANGE_TODOS_TO_TASKS-HZ-023	file	hooks/check-todos-from-transcript.py	agent_23	7830	78435a88b04029d0	2		hook or validator implementation for the RLCR state machine
CHANGE_TODOS_TO_TASKS-HZ-024	file	hooks/hooks.json	agent_24	1580	5912ec1581ea1300	2		hook or validator implementation for the RLCR state machine
CHANGE_TODOS_TO_TASKS-HZ-025	file	hooks/loop-bash-validator.sh	agent_25	16755	80308f37175151ec	2		hook or validator implementation for the RLCR state machine
