item_id	path_type	path	assigned_agent	status	master_state	output_rel	item_id_mentions	has_item_heading	bytes	sha16	depth	core_descendant_files	reason	master_evidence
CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-001	directory	.	agent_01	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_01/output.md	1	yes	1529376	-	0	153	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-002	directory	agents	agent_02	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_02/output.md	2	yes	1788	-	1	1	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-003	directory	commands	agent_03	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_03/output.md	2	yes	21643	-	1	5	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-004	directory	hooks	agent_04	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_04/output.md	1	yes	255664	-	1	12	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-005	directory	prompt-template	agent_05	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_05/output.md	1	yes	46703	-	1	56	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-006	directory	scripts	agent_06	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_06/output.md	2	yes	257750	-	1	15	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-007	directory	skills	agent_07	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_07/output.md	1	yes	17793	-	1	4	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-008	directory	tests	agent_08	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_08/output.md	1	yes	918306	-	1	59	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-009	file	README.md	agent_09	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_09/output.md	1	yes	9729	20629eae6753214a	0		behavior-defining documentation for workflow/state-machine algorithms	status complete; output exists; item_id present in assigned output
CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-010	directory	hooks/lib	agent_10	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_10/output.md	1	yes	61476	-	2	2	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-011	directory	prompt-template/block	agent_11	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_11/output.md	1	yes	14065	-	2	32	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-012	directory	prompt-template/claude	agent_12	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_12/output.md	1	yes	12533	-	2	12	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
