agent	item_count	total_bytes	item_ids	paths
agent_01	6	1662036	CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-001,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-031,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-061,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-091,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-121,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-151	.; hooks/loop-codex-stop-hook.sh; tests/test-codex-review-merge.sh; hooks/lib/loop-common.sh; prompt-template/block/wrong-file-location.md; skills/ask-codex/SKILL.md
agent_02	6	26886	CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-002,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-032,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-062,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-092,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-122,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-152	agents; hooks/loop-edit-validator.sh; tests/test-error-scenarios.sh; hooks/lib/template-loader.sh; prompt-template/block/wrong-round-file.md; skills/humanize-gen-plan/SKILL.md
agent_03	6	65947	CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-003,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-033,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-063,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-093,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-123,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-153	commands; hooks/loop-plan-file-validator.sh; tests/test-finalize-phase.sh; prompt-template/block/claude-eyes-timeout.md; prompt-template/block/wrong-round-number.md; skills/humanize-rlcr/SKILL.md
agent_04	6	288273	CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-004,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-034,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-064,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-094,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-124,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-154	hooks; hooks/loop-post-bash-hook.sh; tests/test-gen-plan.sh; prompt-template/block/codex-review-failed.md; prompt-template/block/wrong-summary-location.md; skills/humanize/SKILL.md
agent_05	6	62723	CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-005,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-035,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-065,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-095,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-125,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-155	prompt-template; hooks/loop-read-validator.sh; tests/test-helpers.sh; prompt-template/block/finalize-state-file-modification.md; prompt-template/claude/agent-teams-continue.md; tests/robustness/test-base-branch-detection.sh
agent_06	6	297290	CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-006,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-036,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-066,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-096,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-126,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-156	scripts; hooks/loop-write-validator.sh; tests/test-humanize-escape.sh; prompt-template/block/force-push-detected.md; prompt-template/claude/agent-teams-core.md; tests/robustness/test-cancel-security-robustness.sh
agent_07	6	106035	CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-007,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-037,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-067,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-097,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-127,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-157	skills; hooks/pr-loop-stop-hook.sh; tests/test-monitor-e2e-deletion.sh; prompt-template/block/git-add-humanize.md; prompt-template/claude/agent-teams-instructions.md; tests/robustness/test-concurrent-state-robustness.sh
agent_08	6	978696	CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-008,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-038,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-068,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-098,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-128,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-158	tests; scripts/ask-codex.sh; tests/test-monitor-e2e-real.sh; prompt-template/block/git-not-clean-humanize-local.md; prompt-template/claude/finalize-phase-prompt.md; tests/robustness/test-git-operations-robustness.sh
agent_09	6	29963	CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-009,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-039,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-069,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-099,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-129,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-159	README.md; scripts/cancel-pr-loop.sh; tests/test-monitor-e2e-sigint.sh; prompt-template/block/git-not-clean-untracked.md; prompt-template/claude/finalize-phase-skipped-prompt.md; tests/robustness/test-goal-tracker-robustness.sh
agent_10	6	103689	CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-010,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-040,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-070,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-100,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-130,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-160	hooks/lib; scripts/cancel-rlcr-loop.sh; tests/test-monitor-runtime.sh; prompt-template/block/git-not-clean.md; prompt-template/claude/goal-tracker-update-request.md; tests/robustness/test-hook-input-robustness.sh
agent_11	6	86314	CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-011,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-041,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-071,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-101,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-131,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-161	prompt-template/block; scripts/check-bot-reactions.sh; tests/test-plan-file-hooks.sh; prompt-template/block/git-push.md; prompt-template/claude/next-round-footer.md; tests/robustness/test-hook-system-robustness.sh
agent_12	6	60372	CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-012,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-042,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-072,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-102,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-132,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-162	prompt-template/claude; scripts/check-pr-reviewer-status.sh; tests/test-plan-file-validation.sh; prompt-template/block/git-status-failed.md; prompt-template/claude/next-round-prompt.md; tests/robustness/test-path-validation-robustness.sh
agent_13	6	41112	CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-013,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-043,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-073,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-103,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-133,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-163	prompt-template/codex; scripts/fetch-pr-comments.sh; tests/test-pr-loop-1-scripts.sh; prompt-template/block/goal-tracker-bash-write.md; prompt-template/claude/open-question-notice.md; tests/robustness/test-plan-file-robustness.sh
agent_14	6	72111	CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-014,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-044,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-074,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-104,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-134,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-164	prompt-template/plan; scripts/humanize.sh; tests/test-pr-loop-2-hooks.sh; prompt-template/block/goal-tracker-modification.md; prompt-template/claude/post-alignment-action-items.md; tests/robustness/test-pr-loop-api-fetch.sh
agent_15	6	18155	CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-015,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-045,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-075,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-105,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-135,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-165	prompt-template/pr-loop; scripts/poll-pr-reviews.sh; tests/test-pr-loop-3-stophook.sh; prompt-template/block/goal-tracker-not-initialized.md; prompt-template/claude/push-every-round-note.md; tests/robustness/test-pr-loop-api-poll.sh
agent_16	6	119500	CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-016,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-046,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-076,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-106,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-136,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-166	scripts/lib; scripts/portable-timeout.sh; tests/test-pr-loop-hooks.sh; prompt-template/block/incomplete-todos.md; prompt-template/claude/review-phase-prompt.md; tests/robustness/test-pr-loop-api-robustness.sh
agent_17	6	22080	CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-017,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-047,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-077,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-107,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-137,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-167	skills/ask-codex; scripts/rlcr-stop-gate.sh; tests/test-pr-loop-lib.sh; prompt-template/block/large-files.md; prompt-template/codex/code-review-phase.md; tests/robustness/test-session-robustness.sh
agent_18	6	104377	CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-018,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-048,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-078,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-108,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-138,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-168	skills/humanize; scripts/setup-pr-loop.sh; tests/test-pr-loop-scripts.sh; prompt-template/block/no-trigger-comment.md; prompt-template/codex/full-alignment-review.md; tests/robustness/test-setup-scripts-robustness.sh
agent_19	6	118193	CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-019,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-049,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-079,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-109,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-139,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-169	skills/humanize-gen-plan; scripts/setup-rlcr-loop.sh; tests/test-pr-loop-stophook.sh; prompt-template/block/plan-backup-protected.md; prompt-template/codex/goal-tracker-update-section.md; tests/robustness/test-state-file-robustness.sh
agent_20	6	92522	CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-020,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-050,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-080,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-110,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-140,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-170	skills/humanize-rlcr; scripts/validate-gen-plan-io.sh; tests/test-pr-loop-system.sh; prompt-template/block/plan-file-modified.md; prompt-template/codex/regular-review.md; tests/robustness/test-state-transition-robustness.sh
agent_21	6	295969	CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-021,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-051,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-081,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-111,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-141,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-171	tests/robustness; tests/manual-monitor-test.sh; tests/test-pr-loop.sh; prompt-template/block/pr-loop-prompt-write.md; prompt-template/plan/gen-plan-template.md; tests/robustness/test-template-error-robustness.sh
agent_22	6	59113	CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-022,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-052,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-082,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-112,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-142,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-172	agents/draft-relevance-checker.md; tests/run-all-tests.sh; tests/test-session-id.sh; prompt-template/block/pr-loop-state-modification.md; prompt-template/pr-loop/codex-goal-tracker-update.md; tests/robustness/test-template-stress-robustness.sh
agent_23	6	24239	CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-023,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-053,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-083,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-113,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-143,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-173	commands/cancel-pr-loop.md; tests/setup-fixture-mock-gh.sh; tests/test-skill-monitor.sh; prompt-template/block/prompt-file-write.md; prompt-template/pr-loop/critical-requirements-has-comments.md; tests/robustness/test-timeout-robustness.sh
agent_24	5	13983	CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-024,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-054,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-084,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-114,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-144	commands/cancel-rlcr-loop.md; tests/setup-monitor-test-env.sh; tests/test-state-exit-naming.sh; prompt-template/block/schema-outdated.md; prompt-template/pr-loop/critical-requirements-no-comments.md
agent_25	5	38432	CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-025,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-055,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-085,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-115,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-145	commands/gen-plan.md; tests/test-agent-teams.sh; tests/test-stop-gate.sh; prompt-template/block/state-file-modification.md; prompt-template/pr-loop/goal-tracker-initial.md
agent_26	5	38887	CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-026,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-056,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-086,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-116,CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-146	commands/start-pr-loop.md; tests/test-allowlist-validators.sh; tests/test-template-loader.sh; prompt-template/block/summary-bash-write.md; prompt-template/pr-loop/round-0-header.md
