item_id	path_type	path	included	assigned_agent	bytes	sha16	depth	core_descendant_files	reason
CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-001	directory	.	yes	agent_01	1529376	-	0	153	directory contains included core algorithm descendant(s)
CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-SKIP-001	directory	.claude	no		0	-	1	0	directory only contains skipped non-core files
CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-SKIP-002	directory	.claude-plugin	no		0	-	1	0	directory only contains skipped non-core files
CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-SKIP-003	directory	.github	no		0	-	1	0	directory only contains skipped non-core files
CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-002	directory	agents	yes	agent_02	1788	-	1	1	directory contains included core algorithm descendant(s)
CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-003	directory	commands	yes	agent_03	21643	-	1	5	directory contains included core algorithm descendant(s)
CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-SKIP-004	directory	docs	no		0	-	1	0	no included core algorithm descendants
CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-004	directory	hooks	yes	agent_04	255664	-	1	12	directory contains included core algorithm descendant(s)
CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-005	directory	prompt-template	yes	agent_05	46703	-	1	56	directory contains included core algorithm descendant(s)
CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-006	directory	scripts	yes	agent_06	257750	-	1	15	directory contains included core algorithm descendant(s)
CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-007	directory	skills	yes	agent_07	17793	-	1	4	directory contains included core algorithm descendant(s)
CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-008	directory	tests	yes	agent_08	918306	-	1	59	directory contains included core algorithm descendant(s)
CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-SKIP-005	file	.gitignore	no		120	ce8146019ad5a484	0		metadata only; not algorithm behavior
CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-009	file	README.md	yes	agent_09	9729	20629eae6753214a	0		behavior-defining documentation for workflow/state-machine algorithms
CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-SKIP-006	directory	.github/workflows	no		0	-	2	0	directory only contains skipped non-core files
CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-010	directory	hooks/lib	yes	agent_10	61476	-	2	2	directory contains included core algorithm descendant(s)
CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-011	directory	prompt-template/block	yes	agent_11	14065	-	2	32	directory contains included core algorithm descendant(s)
CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-012	directory	prompt-template/claude	yes	agent_12	12533	-	2	12	directory contains included core algorithm descendant(s)
CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-013	directory	prompt-template/codex	yes	agent_13	10385	-	2	4	directory contains included core algorithm descendant(s)
CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-014	directory	prompt-template/plan	yes	agent_14	2959	-	2	1	directory contains included core algorithm descendant(s)
CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-015	directory	prompt-template/pr-loop	yes	agent_15	6761	-	2	7	directory contains included core algorithm descendant(s)
CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-HZ-016	directory	scripts/lib	yes	agent_16	35584	-	2	2	directory contains included core algorithm descendant(s)
