item_id	path_type	path	bytes	sha16	depth	reason
CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-SKIP-001	directory	.claude	0	-	1	directory only contains skipped non-core files
CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-SKIP-002	directory	.claude-plugin	0	-	1	directory only contains skipped non-core files
CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-SKIP-003	directory	.github	0	-	1	directory only contains skipped non-core files
CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-SKIP-004	directory	docs	0	-	1	no included core algorithm descendants
CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-SKIP-005	file	.gitignore	120	ce8146019ad5a484	0	metadata only; not algorithm behavior
CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-SKIP-006	directory	.github/workflows	0	-	2	directory only contains skipped non-core files
CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-SKIP-007	directory	tests/fixtures	0	-	2	directory only contains skipped non-core files
CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-SKIP-008	directory	tests/mocks	0	-	2	directory only contains skipped non-core files
CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-SKIP-009	file	.claude-plugin/marketplace.json	426	7f0aaaf356021760	2	plugin packaging metadata; not core algorithm runtime or specification
CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-SKIP-010	file	.claude-plugin/plugin.json	637	16114b66d058484f	2	plugin packaging metadata; not core algorithm runtime or specification
CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-SKIP-011	file	.claude/CLAUDE.md	1479	39aedaa403b617e6	2	local assistant instruction surface; not repository algorithm behavior
CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-SKIP-012	file	docs/install-for-codex.md	1872	edfd8de90e809494	2	installation guide; skipped as non-core algorithm content
CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-SKIP-013	file	docs/install-for-kimi.md	5286	4ee54591565ceb18	2	installation guide; skipped as non-core algorithm content
CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-SKIP-014	file	scripts/install-skill.sh	7521	9d4e7fa2a4d4b372	2	installer utility; skipped as non-core algorithm content
CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-SKIP-015	file	scripts/install-skills-codex.sh	215	23eb8215d007e80c	2	installer utility; skipped as non-core algorithm content
CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-SKIP-016	file	scripts/install-skills-kimi.sh	213	e2e97dffdd7f8854	2	installer utility; skipped as non-core algorithm content
CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-SKIP-017	file	.github/workflows/claude-code-review.yml	1224	b2d23fb442d9d977	3	CI workflow; not core algorithm runtime or specification
CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-SKIP-018	file	.github/workflows/claude.yml	1943	61d9d6dda52e4b1b	3	CI workflow; not core algorithm runtime or specification
CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-SKIP-019	file	.github/workflows/plan-file-test.yml	1774	abbdbc88c4cc909f	3	CI workflow; not core algorithm runtime or specification
CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-SKIP-020	file	.github/workflows/run-all-tests.yml	445	f69083814fe0d2ff	3	CI workflow; not core algorithm runtime or specification
CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-SKIP-021	file	.github/workflows/shell-syntax-check.yml	1700	37727577fefbef88	3	CI workflow; not core algorithm runtime or specification
CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-SKIP-022	file	.github/workflows/template-test.yml	2150	f7bcd9ce40bf1809	3	CI workflow; not core algorithm runtime or specification
CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-SKIP-023	file	.github/workflows/version-bump-check.yml	5615	5d58351e053c0df7	3	CI workflow; not core algorithm runtime or specification
CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-SKIP-024	file	tests/fixtures/comment-reactions.json	142	f7d65ec67f648747	3	fixture/mock data; not a core algorithm file
CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-SKIP-025	file	tests/fixtures/issue-comments.json	102	5cd95080cf7416c2	3	fixture/mock data; not a core algorithm file
CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-SKIP-026	file	tests/fixtures/issue_comments.json	658	ced611db7e54cefc	3	fixture/mock data; not a core algorithm file
CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-SKIP-027	file	tests/fixtures/pr-reviews.json	134	8d0dfa2305063094	3	fixture/mock data; not a core algorithm file
CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-SKIP-028	file	tests/fixtures/pr_reviews.json	827	ff87c6739a885694	3	fixture/mock data; not a core algorithm file
CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-SKIP-029	file	tests/fixtures/reactions.json	113	4e52cd2296f73ada	3	fixture/mock data; not a core algorithm file
CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-SKIP-030	file	tests/fixtures/review-comments.json	3	37517e5f3dc66819	3	fixture/mock data; not a core algorithm file
CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-SKIP-031	file	tests/fixtures/review_comments.json	512	eb230b1311e2a44c	3	fixture/mock data; not a core algorithm file
CLAUDE__ADD_DEPENDENCY_CHECK_TA0P8-SKIP-032	file	tests/mocks/gh	8527	1323275975b9d866	3	fixture/mock data; not a core algorithm file
