item_id	path_type	path	included	assigned_agent	bytes	sha16	depth	core_descendant_files	reason
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-001	directory	.	yes	agent_01	1667024	-	0	172	directory contains included core algorithm descendant(s)
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-SKIP-001	directory	.claude	no		0	-	1	0	directory only contains skipped non-core files
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-SKIP-002	directory	.claude-plugin	no		0	-	1	0	directory only contains skipped non-core files
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-SKIP-003	directory	.github	no		0	-	1	0	directory only contains skipped non-core files
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-002	directory	agents	yes	agent_02	12261	-	1	4	directory contains included core algorithm descendant(s)
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-003	directory	commands	yes	agent_03	69944	-	1	4	directory contains included core algorithm descendant(s)
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-004	directory	config	yes	agent_04	562	-	1	2	directory contains included core algorithm descendant(s)
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-005	directory	docs	yes	agent_05	17553	-	1	2	directory contains included core algorithm descendant(s)
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-006	directory	hooks	yes	agent_06	257976	-	1	13	directory contains included core algorithm descendant(s)
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-007	directory	prompt-template	yes	agent_07	60538	-	1	63	directory contains included core algorithm descendant(s)
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-008	directory	scripts	yes	agent_08	253052	-	1	17	directory contains included core algorithm descendant(s)
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-009	directory	skills	yes	agent_09	25778	-	1	6	directory contains included core algorithm descendant(s)
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-010	directory	templates	yes	agent_10	687	-	1	1	directory contains included core algorithm descendant(s)
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-011	directory	tests	yes	agent_11	964928	-	1	59	directory contains included core algorithm descendant(s)
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-SKIP-004	file	.gitignore	no		236	69982286626b7820	0		metadata only; not algorithm behavior
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-012	file	README.md	yes	agent_12	3745	846293349f0a5db8	0		behavior-defining documentation for workflow/state-machine algorithms
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-SKIP-005	directory	.github/workflows	no		0	-	2	0	directory only contains skipped non-core files
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-SKIP-006	directory	docs/images	no		0	-	2	0	directory only contains skipped non-core files
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-013	directory	hooks/lib	yes	agent_13	91282	-	2	4	directory contains included core algorithm descendant(s)
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-014	directory	prompt-template/block	yes	agent_14	16588	-	2	42	directory contains included core algorithm descendant(s)
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-015	directory	prompt-template/claude	yes	agent_15	22925	-	2	14	directory contains included core algorithm descendant(s)
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-016	directory	prompt-template/codex	yes	agent_16	12759	-	2	5	directory contains included core algorithm descendant(s)
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-017	directory	prompt-template/plan	yes	agent_17	8266	-	2	2	directory contains included core algorithm descendant(s)
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-018	directory	scripts/lib	yes	agent_18	42166	-	2	4	directory contains included core algorithm descendant(s)
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-019	directory	skills/ask-codex	yes	agent_19	1983	-	2	1	directory contains included core algorithm descendant(s)
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-020	directory	skills/ask-gemini	yes	agent_20	2410	-	2	1	directory contains included core algorithm descendant(s)
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-021	directory	skills/humanize	yes	agent_21	7446	-	2	1	directory contains included core algorithm descendant(s)
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-022	directory	skills/humanize-gen-plan	yes	agent_22	3958	-	2	1	directory contains included core algorithm descendant(s)
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-023	directory	skills/humanize-refine-plan	yes	agent_23	6293	-	2	1	directory contains included core algorithm descendant(s)
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-024	directory	skills/humanize-rlcr	yes	agent_24	3688	-	2	1	directory contains included core algorithm descendant(s)
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-SKIP-007	directory	tests/fixtures	no		0	-	2	0	directory only contains skipped non-core files
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-SKIP-008	directory	tests/mocks	no		0	-	2	0	directory only contains skipped non-core files
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-025	directory	tests/robustness	yes	agent_25	256955	-	2	16	directory contains included core algorithm descendant(s)
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-SKIP-009	file	.claude-plugin/marketplace.json	no		424	1c4bd61dec95ea1e	2		plugin packaging metadata; not core algorithm runtime or specification
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-SKIP-010	file	.claude-plugin/plugin.json	no		628	b804d24c783c2459	2		plugin packaging metadata; not core algorithm runtime or specification
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-SKIP-011	file	.claude/CLAUDE.md	no		1479	39aedaa403b617e6	2		local assistant instruction surface; not repository algorithm behavior
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-026	file	agents/bitlesson-selector.md	yes	agent_26	1444	d047d095022bef7a	2		agent prompt/policy file defining review or planning behavior
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-027	file	agents/draft-relevance-checker.md	yes	agent_27	1788	98f5a6a069791828	2		agent prompt/policy file defining review or planning behavior
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-028	file	agents/plan-compliance-checker.md	yes	agent_28	3619	f0bd96dcc65b6130	2		agent prompt/policy file defining review or planning behavior
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-029	file	agents/plan-understanding-quiz.md	yes	agent_29	5410	94c1d37780effdd0	2		agent prompt/policy file defining review or planning behavior
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-030	file	commands/cancel-rlcr-loop.md	yes	agent_30	2060	3346e34ef785b02c	2		command workflow definition for plan/RLCR algorithms
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-031	file	commands/gen-plan.md	yes	agent_01	33068	764e6d690a4f2f25	2		command workflow definition for plan/RLCR algorithms
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-032	file	commands/refine-plan.md	yes	agent_02	23115	cb55fada000f8ae4	2		command workflow definition for plan/RLCR algorithms
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-033	file	commands/start-rlcr-loop.md	yes	agent_03	11701	8811785765cdb487	2		command workflow definition for plan/RLCR algorithms
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-034	file	config/codex-hooks.json	yes	agent_04	383	5876dc9d0d6f89a6	2		runtime configuration or hook schema participating in gates/routing
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-035	file	config/default_config.json	yes	agent_05	179	37a67b0b19edeaed	2		runtime configuration or hook schema participating in gates/routing
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-036	file	docs/bitlesson.md	yes	agent_06	1896	5e0accc0ae90aae0	2		behavior-defining documentation for workflow/state-machine algorithms
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-SKIP-012	file	docs/install-for-claude.md	no		1854	55cc3217faa766b8	2		installation guide; skipped as non-core algorithm content
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-SKIP-013	file	docs/install-for-codex.md	no		3600	cab3c20e7d7f845a	2		installation guide; skipped as non-core algorithm content
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-SKIP-014	file	docs/install-for-kimi.md	no		6441	63ddb4343a9f4f33	2		installation guide; skipped as non-core algorithm content
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-037	file	docs/usage.md	yes	agent_07	15657	a07ea030acba71df	2		behavior-defining documentation for workflow/state-machine algorithms
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-038	file	hooks/check-todos-from-transcript.py	yes	agent_08	7509	8cabe046e7a6cfda	2		hook or validator implementation for the RLCR state machine
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-039	file	hooks/hooks.json	yes	agent_09	1633	cdf5736bc5c9a19e	2		hook or validator implementation for the RLCR state machine
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-040	file	hooks/loop-bash-validator.sh	yes	agent_10	23513	4c0b29931481a1e9	2		hook or validator implementation for the RLCR state machine
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-041	file	hooks/loop-codex-stop-hook.sh	yes	agent_11	85631	a8b8bb45683178c0	2		hook or validator implementation for the RLCR state machine
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-042	file	hooks/loop-edit-validator.sh	yes	agent_12	9818	113b08d386fc3603	2		hook or validator implementation for the RLCR state machine
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-043	file	hooks/loop-plan-file-validator.sh	yes	agent_13	8077	51c9f0d74880db4b	2		hook or validator implementation for the RLCR state machine
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-044	file	hooks/loop-post-bash-hook.sh	yes	agent_14	5463	d037406e5bf1ca1b	2		hook or validator implementation for the RLCR state machine
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-045	file	hooks/loop-read-validator.sh	yes	agent_15	12032	e21473051b87062b	2		hook or validator implementation for the RLCR state machine
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-046	file	hooks/loop-write-validator.sh	yes	agent_16	13018	831e7e1403e3d0ba	2		hook or validator implementation for the RLCR state machine
