agent	item_count	total_bytes	item_ids	paths
agent_01	7	1750510	DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-001,DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-031,DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-061,DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-091,DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-121,DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-151,DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-181	.; commands/gen-plan.md; tests/manual-monitor-test.sh; tests/test-session-id.sh; prompt-template/block/git-push.md; prompt-template/claude/agent-teams-core.md; tests/robustness/test-base-branch-detection.sh
agent_02	7	72211	DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-002,DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-032,DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-062,DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-092,DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-122,DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-152,DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-182	agents; commands/refine-plan.md; tests/run-all-tests.sh; tests/test-skill-monitor.sh; prompt-template/block/git-status-failed.md; prompt-template/claude/agent-teams-instructions.md; tests/robustness/test-cancel-security-robustness.sh
agent_03	7	109135	DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-003,DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-033,DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-063,DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-093,DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-123,DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-153,DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-183	commands; commands/start-rlcr-loop.md; tests/setup-monitor-test-env.sh; tests/test-state-exit-naming.sh; prompt-template/block/git-tracked-humanize.md; prompt-template/claude/drift-replan-prompt.md; tests/robustness/test-concurrent-state-robustness.sh
agent_04	7	51842	DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-004,DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-034,DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-064,DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-094,DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-124,DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-154,DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-184	config; config/codex-hooks.json; tests/test-agent-teams.sh; tests/test-stop-gate.sh; prompt-template/block/goal-tracker-bash-write.md; prompt-template/claude/finalize-phase-prompt.md; tests/robustness/test-git-operations-robustness.sh
agent_05	7	115320	DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-005,DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-035,DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-065,DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-095,DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-125,DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-155,DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-185	docs; config/default_config.json; tests/test-allowlist-validators.sh; tests/test-stop-hook-bg-allow.sh; prompt-template/block/goal-tracker-modification.md; prompt-template/claude/finalize-phase-skipped-prompt.md; tests/robustness/test-goal-tracker-robustness.sh
agent_06	7	295794	DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-006,DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-036,DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-066,DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-096,DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-126,DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-156,DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-186	hooks; docs/bitlesson.md; tests/test-ansi-parsing.sh; tests/test-stop-hook-legacy-compat.sh; prompt-template/block/goal-tracker-not-initialized.md; prompt-template/claude/goal-tracker-update-request.md; tests/robustness/test-hook-input-robustness.sh
agent_07	7	133244	DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-007,DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-037,DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-067,DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-097,DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-127,DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-157,DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-187	prompt-template; docs/usage.md; tests/test-ask-codex.sh; tests/test-task-tag-routing.sh; prompt-template/block/incomplete-todos.md; prompt-template/claude/methodology-analysis-prompt.md; tests/robustness/test-hook-system-robustness.sh
agent_08	7	303645	DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-008,DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-038,DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-068,DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-098,DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-128,DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-158,DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-188	scripts; hooks/check-todos-from-transcript.py; tests/test-bash-validator-patterns.sh; tests/test-template-loader.sh; prompt-template/block/large-files.md; prompt-template/claude/next-round-footer.md; tests/robustness/test-path-validation-robustness.sh
agent_09	7	70379	DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-009,DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-039,DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-069,DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-099,DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-129,DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-159,DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-189	skills; hooks/hooks.json; tests/test-bitlesson-select-routing.sh; tests/test-template-references.sh; prompt-template/block/mainline-drift-stop.md; prompt-template/claude/next-round-prompt.md; tests/robustness/test-plan-file-robustness.sh
agent_10	7	59298	DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-010,DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-040,DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-070,DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-100,DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-130,DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-160,DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-190	templates; hooks/loop-bash-validator.sh; tests/test-bitlesson-validate-delta.sh; tests/test-templates-comprehensive.sh; prompt-template/block/mainline-verdict-missing.md; prompt-template/claude/open-question-notice.md; tests/robustness/test-session-robustness.sh
