agent	item_count	total_bytes	item_ids	paths
agent_01	7	1812102	DO_NOT_WISH_CODING-HZ-001,DO_NOT_WISH_CODING-HZ-031,DO_NOT_WISH_CODING-HZ-061,DO_NOT_WISH_CODING-HZ-091,DO_NOT_WISH_CODING-HZ-121,DO_NOT_WISH_CODING-HZ-151,DO_NOT_WISH_CODING-HZ-181	.; commands/gen-plan.md; scripts/setup-rlcr-loop.sh; tests/test-pr-loop-1-scripts.sh; prompt-template/block/git-add-humanize.md; prompt-template/claude/agent-teams-core.md; skills/humanize/SKILL.md
agent_02	7	35248	DO_NOT_WISH_CODING-HZ-002,DO_NOT_WISH_CODING-HZ-032,DO_NOT_WISH_CODING-HZ-062,DO_NOT_WISH_CODING-HZ-092,DO_NOT_WISH_CODING-HZ-122,DO_NOT_WISH_CODING-HZ-152,DO_NOT_WISH_CODING-HZ-182	agents; commands/start-pr-loop.md; scripts/statusline.sh; tests/test-pr-loop-2-hooks.sh; prompt-template/block/git-not-clean-humanize-local.md; prompt-template/claude/agent-teams-instructions.md; tests/robustness/test-base-branch-detection.sh
agent_03	7	82812	DO_NOT_WISH_CODING-HZ-003,DO_NOT_WISH_CODING-HZ-033,DO_NOT_WISH_CODING-HZ-063,DO_NOT_WISH_CODING-HZ-093,DO_NOT_WISH_CODING-HZ-123,DO_NOT_WISH_CODING-HZ-153,DO_NOT_WISH_CODING-HZ-183	commands; commands/start-rlcr-loop.md; scripts/validate-gen-plan-io.sh; tests/test-pr-loop-3-stophook.sh; prompt-template/block/git-not-clean-untracked.md; prompt-template/claude/finalize-phase-prompt.md; tests/robustness/test-cancel-security-robustness.sh
agent_04	7	71317	DO_NOT_WISH_CODING-HZ-004,DO_NOT_WISH_CODING-HZ-034,DO_NOT_WISH_CODING-HZ-064,DO_NOT_WISH_CODING-HZ-094,DO_NOT_WISH_CODING-HZ-124,DO_NOT_WISH_CODING-HZ-154,DO_NOT_WISH_CODING-HZ-184	config; config/default_config.json; templates/bitlesson.md; tests/test-pr-loop-hooks.sh; prompt-template/block/git-not-clean.md; prompt-template/claude/finalize-phase-skipped-prompt.md; tests/robustness/test-concurrent-state-robustness.sh
agent_05	7	36910	DO_NOT_WISH_CODING-HZ-005,DO_NOT_WISH_CODING-HZ-035,DO_NOT_WISH_CODING-HZ-065,DO_NOT_WISH_CODING-HZ-095,DO_NOT_WISH_CODING-HZ-125,DO_NOT_WISH_CODING-HZ-155,DO_NOT_WISH_CODING-HZ-185	docs; docs/bitlesson.md; tests/manual-monitor-test.sh; tests/test-pr-loop-lib.sh; prompt-template/block/git-push.md; prompt-template/claude/goal-tracker-update-request.md; tests/robustness/test-git-operations-robustness.sh
agent_06	7	311903	DO_NOT_WISH_CODING-HZ-006,DO_NOT_WISH_CODING-HZ-036,DO_NOT_WISH_CODING-HZ-066,DO_NOT_WISH_CODING-HZ-096,DO_NOT_WISH_CODING-HZ-126,DO_NOT_WISH_CODING-HZ-156,DO_NOT_WISH_CODING-HZ-186	hooks; docs/usage.md; tests/run-all-tests.sh; tests/test-pr-loop-scripts.sh; prompt-template/block/git-status-failed.md; prompt-template/claude/next-round-footer.md; tests/robustness/test-goal-tracker-robustness.sh
agent_07	7	139337	DO_NOT_WISH_CODING-HZ-007,DO_NOT_WISH_CODING-HZ-037,DO_NOT_WISH_CODING-HZ-067,DO_NOT_WISH_CODING-HZ-097,DO_NOT_WISH_CODING-HZ-127,DO_NOT_WISH_CODING-HZ-157,DO_NOT_WISH_CODING-HZ-187	prompt-template; hooks/check-todos-from-transcript.py; tests/setup-fixture-mock-gh.sh; tests/test-pr-loop-stophook.sh; prompt-template/block/goal-tracker-bash-write.md; prompt-template/claude/next-round-prompt.md; tests/robustness/test-hook-input-robustness.sh
agent_08	7	397605	DO_NOT_WISH_CODING-HZ-008,DO_NOT_WISH_CODING-HZ-038,DO_NOT_WISH_CODING-HZ-068,DO_NOT_WISH_CODING-HZ-098,DO_NOT_WISH_CODING-HZ-128,DO_NOT_WISH_CODING-HZ-158,DO_NOT_WISH_CODING-HZ-188	scripts; hooks/hooks.json; tests/setup-monitor-test-env.sh; tests/test-pr-loop-system.sh; prompt-template/block/goal-tracker-modification.md; prompt-template/claude/open-question-notice.md; tests/robustness/test-hook-system-robustness.sh
agent_09	7	73135	DO_NOT_WISH_CODING-HZ-009,DO_NOT_WISH_CODING-HZ-039,DO_NOT_WISH_CODING-HZ-069,DO_NOT_WISH_CODING-HZ-099,DO_NOT_WISH_CODING-HZ-129,DO_NOT_WISH_CODING-HZ-159,DO_NOT_WISH_CODING-HZ-189	skills; hooks/loop-bash-validator.sh; tests/test-agent-teams.sh; tests/test-pr-loop.sh; prompt-template/block/goal-tracker-not-initialized.md; prompt-template/claude/post-alignment-action-items.md; tests/robustness/test-path-validation-robustness.sh
agent_10	7	139894	DO_NOT_WISH_CODING-HZ-010,DO_NOT_WISH_CODING-HZ-040,DO_NOT_WISH_CODING-HZ-070,DO_NOT_WISH_CODING-HZ-100,DO_NOT_WISH_CODING-HZ-130,DO_NOT_WISH_CODING-HZ-160,DO_NOT_WISH_CODING-HZ-190	templates; hooks/loop-codex-stop-hook.sh; tests/test-allowlist-validators.sh; tests/test-session-id.sh; prompt-template/block/incomplete-todos.md; prompt-template/claude/push-every-round-note.md; tests/robustness/test-plan-file-robustness.sh
agent_11	7	1031698	DO_NOT_WISH_CODING-HZ-011,DO_NOT_WISH_CODING-HZ-041,DO_NOT_WISH_CODING-HZ-071,DO_NOT_WISH_CODING-HZ-101,DO_NOT_WISH_CODING-HZ-131,DO_NOT_WISH_CODING-HZ-161,DO_NOT_WISH_CODING-HZ-191	tests; hooks/loop-edit-validator.sh; tests/test-ansi-parsing.sh; tests/test-skill-monitor.sh; prompt-template/block/large-files.md; prompt-template/claude/review-phase-prompt.md; tests/robustness/test-pr-loop-api-fetch.sh
agent_12	7	38389	DO_NOT_WISH_CODING-HZ-012,DO_NOT_WISH_CODING-HZ-042,DO_NOT_WISH_CODING-HZ-072,DO_NOT_WISH_CODING-HZ-102,DO_NOT_WISH_CODING-HZ-132,DO_NOT_WISH_CODING-HZ-162,DO_NOT_WISH_CODING-HZ-192	README.md; hooks/loop-plan-file-validator.sh; tests/test-ask-codex.sh; tests/test-state-exit-naming.sh; prompt-template/block/no-trigger-comment.md; prompt-template/codex/code-review-phase.md; tests/robustness/test-pr-loop-api-poll.sh
agent_13	7	112161	DO_NOT_WISH_CODING-HZ-013,DO_NOT_WISH_CODING-HZ-043,DO_NOT_WISH_CODING-HZ-073,DO_NOT_WISH_CODING-HZ-103,DO_NOT_WISH_CODING-HZ-133,DO_NOT_WISH_CODING-HZ-163,DO_NOT_WISH_CODING-HZ-193	hooks/lib; hooks/loop-post-bash-hook.sh; tests/test-bash-validator-patterns.sh; tests/test-stop-gate.sh; prompt-template/block/plan-backup-protected.md; prompt-template/codex/full-alignment-review.md; tests/robustness/test-pr-loop-api-robustness.sh
