item_id	path_type	path	included	assigned_agent	bytes	sha16	depth	core_descendant_files	reason
DO_NOT_WISH_CODING-HZ-001	directory	.	yes	agent_01	1718248	-	0	177	directory contains included core algorithm descendant(s)
DO_NOT_WISH_CODING-SKIP-001	directory	.claude	no		0	-	1	0	directory only contains skipped non-core files
DO_NOT_WISH_CODING-SKIP-002	directory	.claude-plugin	no		0	-	1	0	directory only contains skipped non-core files
DO_NOT_WISH_CODING-SKIP-003	directory	.github	no		0	-	1	0	directory only contains skipped non-core files
DO_NOT_WISH_CODING-HZ-002	directory	agents	yes	agent_02	12155	-	1	4	directory contains included core algorithm descendant(s)
DO_NOT_WISH_CODING-HZ-003	directory	commands	yes	agent_03	48319	-	1	5	directory contains included core algorithm descendant(s)
DO_NOT_WISH_CODING-HZ-004	directory	config	yes	agent_04	169	-	1	1	directory contains included core algorithm descendant(s)
DO_NOT_WISH_CODING-HZ-005	directory	docs	yes	agent_05	13597	-	1	2	directory contains included core algorithm descendant(s)
DO_NOT_WISH_CODING-HZ-006	directory	hooks	yes	agent_06	263046	-	1	12	directory contains included core algorithm descendant(s)
DO_NOT_WISH_CODING-HZ-007	directory	prompt-template	yes	agent_07	50532	-	1	61	directory contains included core algorithm descendant(s)
DO_NOT_WISH_CODING-HZ-008	directory	scripts	yes	agent_08	302096	-	1	21	directory contains included core algorithm descendant(s)
DO_NOT_WISH_CODING-HZ-009	directory	skills	yes	agent_09	18839	-	1	4	directory contains included core algorithm descendant(s)
DO_NOT_WISH_CODING-HZ-010	directory	templates	yes	agent_10	687	-	1	1	directory contains included core algorithm descendant(s)
DO_NOT_WISH_CODING-HZ-011	directory	tests	yes	agent_11	1005731	-	1	65	directory contains included core algorithm descendant(s)
DO_NOT_WISH_CODING-SKIP-004	file	.gitignore	no		184	b028b5b840c7b993	0		metadata only; not algorithm behavior
DO_NOT_WISH_CODING-HZ-012	file	README.md	yes	agent_12	3077	66f1fc0d4fd5940f	0		behavior-defining documentation for workflow/state-machine algorithms
DO_NOT_WISH_CODING-SKIP-005	directory	.github/workflows	no		0	-	2	0	directory only contains skipped non-core files
DO_NOT_WISH_CODING-SKIP-006	directory	docs/images	no		0	-	2	0	directory only contains skipped non-core files
DO_NOT_WISH_CODING-HZ-013	directory	hooks/lib	yes	agent_13	63751	-	2	2	directory contains included core algorithm descendant(s)
DO_NOT_WISH_CODING-HZ-014	directory	prompt-template/block	yes	agent_14	15440	-	2	37	directory contains included core algorithm descendant(s)
DO_NOT_WISH_CODING-HZ-015	directory	prompt-template/claude	yes	agent_15	12966	-	2	12	directory contains included core algorithm descendant(s)
DO_NOT_WISH_CODING-HZ-016	directory	prompt-template/codex	yes	agent_16	10385	-	2	4	directory contains included core algorithm descendant(s)
DO_NOT_WISH_CODING-HZ-017	directory	prompt-template/plan	yes	agent_17	4980	-	2	1	directory contains included core algorithm descendant(s)
DO_NOT_WISH_CODING-HZ-018	directory	prompt-template/pr-loop	yes	agent_18	6761	-	2	7	directory contains included core algorithm descendant(s)
DO_NOT_WISH_CODING-HZ-019	directory	scripts/lib	yes	agent_19	42814	-	2	4	directory contains included core algorithm descendant(s)
DO_NOT_WISH_CODING-HZ-020	directory	skills/ask-codex	yes	agent_20	1983	-	2	1	directory contains included core algorithm descendant(s)
DO_NOT_WISH_CODING-HZ-021	directory	skills/humanize	yes	agent_21	8565	-	2	1	directory contains included core algorithm descendant(s)
DO_NOT_WISH_CODING-HZ-022	directory	skills/humanize-gen-plan	yes	agent_22	3927	-	2	1	directory contains included core algorithm descendant(s)
DO_NOT_WISH_CODING-HZ-023	directory	skills/humanize-rlcr	yes	agent_23	4364	-	2	1	directory contains included core algorithm descendant(s)
DO_NOT_WISH_CODING-SKIP-007	directory	tests/fixtures	no		0	-	2	0	directory only contains skipped non-core files
DO_NOT_WISH_CODING-SKIP-008	directory	tests/mocks	no		0	-	2	0	directory only contains skipped non-core files
DO_NOT_WISH_CODING-HZ-024	directory	tests/robustness	yes	agent_24	277848	-	2	19	directory contains included core algorithm descendant(s)
DO_NOT_WISH_CODING-SKIP-009	file	.claude-plugin/marketplace.json	no		426	ed74b33f9b014e55	2		plugin packaging metadata; not core algorithm runtime or specification
DO_NOT_WISH_CODING-SKIP-010	file	.claude-plugin/plugin.json	no		637	90e4ede74c60b267	2		plugin packaging metadata; not core algorithm runtime or specification
DO_NOT_WISH_CODING-SKIP-011	file	.claude/CLAUDE.md	no		1479	39aedaa403b617e6	2		local assistant instruction surface; not repository algorithm behavior
DO_NOT_WISH_CODING-HZ-025	file	agents/bitlesson-selector.md	yes	agent_25	1338	493a95814bb2537b	2		agent prompt/policy file defining review or planning behavior
DO_NOT_WISH_CODING-HZ-026	file	agents/draft-relevance-checker.md	yes	agent_26	1788	98f5a6a069791828	2		agent prompt/policy file defining review or planning behavior
DO_NOT_WISH_CODING-HZ-027	file	agents/plan-compliance-checker.md	yes	agent_27	3619	f0bd96dcc65b6130	2		agent prompt/policy file defining review or planning behavior
DO_NOT_WISH_CODING-HZ-028	file	agents/plan-understanding-quiz.md	yes	agent_28	5410	94c1d37780effdd0	2		agent prompt/policy file defining review or planning behavior
DO_NOT_WISH_CODING-HZ-029	file	commands/cancel-pr-loop.md	yes	agent_29	953	41a045601d93d8d6	2		command workflow definition for plan/RLCR algorithms
DO_NOT_WISH_CODING-HZ-030	file	commands/cancel-rlcr-loop.md	yes	agent_30	1914	2a8faafa5889ed98	2		command workflow definition for plan/RLCR algorithms
DO_NOT_WISH_CODING-HZ-031	file	commands/gen-plan.md	yes	agent_01	32047	7c0d07dc255d4c04	2		command workflow definition for plan/RLCR algorithms
DO_NOT_WISH_CODING-HZ-032	file	commands/start-pr-loop.md	yes	agent_02	2349	f1323861df02ee34	2		command workflow definition for plan/RLCR algorithms
DO_NOT_WISH_CODING-HZ-033	file	commands/start-rlcr-loop.md	yes	agent_03	11056	bfd8840f872d6cb0	2		command workflow definition for plan/RLCR algorithms
DO_NOT_WISH_CODING-HZ-034	file	config/default_config.json	yes	agent_04	169	183a14be2477c0b5	2		runtime configuration or hook schema participating in gates/routing
DO_NOT_WISH_CODING-HZ-035	file	docs/bitlesson.md	yes	agent_05	1607	035e18909d8c0721	2		behavior-defining documentation for workflow/state-machine algorithms
DO_NOT_WISH_CODING-SKIP-012	file	docs/install-for-claude.md	no		1878	fc7ec9081fa6ff0c	2		installation guide; skipped as non-core algorithm content
DO_NOT_WISH_CODING-SKIP-013	file	docs/install-for-codex.md	no		1871	4109e9060af58438	2		installation guide; skipped as non-core algorithm content
DO_NOT_WISH_CODING-SKIP-014	file	docs/install-for-kimi.md	no		5284	aeb0ba2ad697ef5e	2		installation guide; skipped as non-core algorithm content
DO_NOT_WISH_CODING-HZ-036	file	docs/usage.md	yes	agent_06	11990	ada4de21e2c349f5	2		behavior-defining documentation for workflow/state-machine algorithms
DO_NOT_WISH_CODING-HZ-037	file	hooks/check-todos-from-transcript.py	yes	agent_07	6692	d4d00025c38a74e2	2		hook or validator implementation for the RLCR state machine
DO_NOT_WISH_CODING-HZ-038	file	hooks/hooks.json	yes	agent_08	1811	23f5ba00eef172e0	2		hook or validator implementation for the RLCR state machine
