item_id	path_type	path	assigned_agent	bytes	sha16	depth	core_descendant_files	reason
DO_NOT_WISH_CODING-HZ-001	directory	.	agent_01	1718248	-	0	177	directory contains included core algorithm descendant(s)
DO_NOT_WISH_CODING-HZ-002	directory	agents	agent_02	12155	-	1	4	directory contains included core algorithm descendant(s)
DO_NOT_WISH_CODING-HZ-003	directory	commands	agent_03	48319	-	1	5	directory contains included core algorithm descendant(s)
DO_NOT_WISH_CODING-HZ-004	directory	config	agent_04	169	-	1	1	directory contains included core algorithm descendant(s)
DO_NOT_WISH_CODING-HZ-005	directory	docs	agent_05	13597	-	1	2	directory contains included core algorithm descendant(s)
DO_NOT_WISH_CODING-HZ-006	directory	hooks	agent_06	263046	-	1	12	directory contains included core algorithm descendant(s)
DO_NOT_WISH_CODING-HZ-007	directory	prompt-template	agent_07	50532	-	1	61	directory contains included core algorithm descendant(s)
DO_NOT_WISH_CODING-HZ-008	directory	scripts	agent_08	302096	-	1	21	directory contains included core algorithm descendant(s)
DO_NOT_WISH_CODING-HZ-009	directory	skills	agent_09	18839	-	1	4	directory contains included core algorithm descendant(s)
DO_NOT_WISH_CODING-HZ-010	directory	templates	agent_10	687	-	1	1	directory contains included core algorithm descendant(s)
DO_NOT_WISH_CODING-HZ-011	directory	tests	agent_11	1005731	-	1	65	directory contains included core algorithm descendant(s)
DO_NOT_WISH_CODING-HZ-012	file	README.md	agent_12	3077	66f1fc0d4fd5940f	0		behavior-defining documentation for workflow/state-machine algorithms
DO_NOT_WISH_CODING-HZ-013	directory	hooks/lib	agent_13	63751	-	2	2	directory contains included core algorithm descendant(s)
DO_NOT_WISH_CODING-HZ-014	directory	prompt-template/block	agent_14	15440	-	2	37	directory contains included core algorithm descendant(s)
DO_NOT_WISH_CODING-HZ-015	directory	prompt-template/claude	agent_15	12966	-	2	12	directory contains included core algorithm descendant(s)
DO_NOT_WISH_CODING-HZ-016	directory	prompt-template/codex	agent_16	10385	-	2	4	directory contains included core algorithm descendant(s)
DO_NOT_WISH_CODING-HZ-017	directory	prompt-template/plan	agent_17	4980	-	2	1	directory contains included core algorithm descendant(s)
DO_NOT_WISH_CODING-HZ-018	directory	prompt-template/pr-loop	agent_18	6761	-	2	7	directory contains included core algorithm descendant(s)
DO_NOT_WISH_CODING-HZ-019	directory	scripts/lib	agent_19	42814	-	2	4	directory contains included core algorithm descendant(s)
DO_NOT_WISH_CODING-HZ-020	directory	skills/ask-codex	agent_20	1983	-	2	1	directory contains included core algorithm descendant(s)
DO_NOT_WISH_CODING-HZ-021	directory	skills/humanize	agent_21	8565	-	2	1	directory contains included core algorithm descendant(s)
DO_NOT_WISH_CODING-HZ-022	directory	skills/humanize-gen-plan	agent_22	3927	-	2	1	directory contains included core algorithm descendant(s)
DO_NOT_WISH_CODING-HZ-023	directory	skills/humanize-rlcr	agent_23	4364	-	2	1	directory contains included core algorithm descendant(s)
DO_NOT_WISH_CODING-HZ-024	directory	tests/robustness	agent_24	277848	-	2	19	directory contains included core algorithm descendant(s)
DO_NOT_WISH_CODING-HZ-025	file	agents/bitlesson-selector.md	agent_25	1338	493a95814bb2537b	2		agent prompt/policy file defining review or planning behavior
DO_NOT_WISH_CODING-HZ-026	file	agents/draft-relevance-checker.md	agent_26	1788	98f5a6a069791828	2		agent prompt/policy file defining review or planning behavior
DO_NOT_WISH_CODING-HZ-027	file	agents/plan-compliance-checker.md	agent_27	3619	f0bd96dcc65b6130	2		agent prompt/policy file defining review or planning behavior
DO_NOT_WISH_CODING-HZ-028	file	agents/plan-understanding-quiz.md	agent_28	5410	94c1d37780effdd0	2		agent prompt/policy file defining review or planning behavior
DO_NOT_WISH_CODING-HZ-029	file	commands/cancel-pr-loop.md	agent_29	953	41a045601d93d8d6	2		command workflow definition for plan/RLCR algorithms
DO_NOT_WISH_CODING-HZ-030	file	commands/cancel-rlcr-loop.md	agent_30	1914	2a8faafa5889ed98	2		command workflow definition for plan/RLCR algorithms
DO_NOT_WISH_CODING-HZ-031	file	commands/gen-plan.md	agent_01	32047	7c0d07dc255d4c04	2		command workflow definition for plan/RLCR algorithms
DO_NOT_WISH_CODING-HZ-032	file	commands/start-pr-loop.md	agent_02	2349	f1323861df02ee34	2		command workflow definition for plan/RLCR algorithms
DO_NOT_WISH_CODING-HZ-033	file	commands/start-rlcr-loop.md	agent_03	11056	bfd8840f872d6cb0	2		command workflow definition for plan/RLCR algorithms
DO_NOT_WISH_CODING-HZ-034	file	config/default_config.json	agent_04	169	183a14be2477c0b5	2		runtime configuration or hook schema participating in gates/routing
DO_NOT_WISH_CODING-HZ-035	file	docs/bitlesson.md	agent_05	1607	035e18909d8c0721	2		behavior-defining documentation for workflow/state-machine algorithms
DO_NOT_WISH_CODING-HZ-036	file	docs/usage.md	agent_06	11990	ada4de21e2c349f5	2		behavior-defining documentation for workflow/state-machine algorithms
DO_NOT_WISH_CODING-HZ-037	file	hooks/check-todos-from-transcript.py	agent_07	6692	d4d00025c38a74e2	2		hook or validator implementation for the RLCR state machine
DO_NOT_WISH_CODING-HZ-038	file	hooks/hooks.json	agent_08	1811	23f5ba00eef172e0	2		hook or validator implementation for the RLCR state machine
DO_NOT_WISH_CODING-HZ-039	file	hooks/loop-bash-validator.sh	agent_09	17390	e78e7e68ab52d8d4	2		hook or validator implementation for the RLCR state machine
DO_NOT_WISH_CODING-HZ-040	file	hooks/loop-codex-stop-hook.sh	agent_10	70210	a622ba373158810b	2		hook or validator implementation for the RLCR state machine
DO_NOT_WISH_CODING-HZ-041	file	hooks/loop-edit-validator.sh	agent_11	6045	7bb9205713016ebc	2		hook or validator implementation for the RLCR state machine
DO_NOT_WISH_CODING-HZ-042	file	hooks/loop-plan-file-validator.sh	agent_12	8069	c8ef9801c59806b4	2		hook or validator implementation for the RLCR state machine
DO_NOT_WISH_CODING-HZ-043	file	hooks/loop-post-bash-hook.sh	agent_13	4782	440ee15daab27f95	2		hook or validator implementation for the RLCR state machine
DO_NOT_WISH_CODING-HZ-044	file	hooks/loop-read-validator.sh	agent_14	5273	52b517b734f4165e	2		hook or validator implementation for the RLCR state machine
DO_NOT_WISH_CODING-HZ-045	file	hooks/loop-write-validator.sh	agent_15	9173	73817d746bae69a3	2		hook or validator implementation for the RLCR state machine
DO_NOT_WISH_CODING-HZ-046	file	hooks/pr-loop-stop-hook.sh	agent_16	69850	8166566886247df0	2		hook or validator implementation for the RLCR state machine
DO_NOT_WISH_CODING-HZ-047	file	scripts/ask-codex.sh	agent_17	11948	ed27ad6eeac1d7f1	2		runtime script implementing workflow, routing, monitor, validation, or state behavior
DO_NOT_WISH_CODING-HZ-048	file	scripts/bitlesson-init.sh	agent_18	2128	1f1f75128ed68ca8	2		runtime script implementing workflow, routing, monitor, validation, or state behavior
DO_NOT_WISH_CODING-HZ-049	file	scripts/bitlesson-select.sh	agent_19	6348	4fc17051d404a1cb	2		runtime script implementing workflow, routing, monitor, validation, or state behavior
DO_NOT_WISH_CODING-HZ-050	file	scripts/bitlesson-validate-delta.sh	agent_20	9438	42da41daee4fdb51	2		runtime script implementing workflow, routing, monitor, validation, or state behavior
DO_NOT_WISH_CODING-HZ-051	file	scripts/cancel-pr-loop.sh	agent_21	3498	2ce12a3a92f45fb6	2		runtime script implementing workflow, routing, monitor, validation, or state behavior
DO_NOT_WISH_CODING-HZ-052	file	scripts/cancel-rlcr-loop.sh	agent_22	5123	932c40db06843089	2		runtime script implementing workflow, routing, monitor, validation, or state behavior
DO_NOT_WISH_CODING-HZ-053	file	scripts/check-bot-reactions.sh	agent_23	11447	a5f372dfe88b0f1a	2		runtime script implementing workflow, routing, monitor, validation, or state behavior
DO_NOT_WISH_CODING-HZ-054	file	scripts/check-pr-reviewer-status.sh	agent_24	9789	e4020f98c815cc92	2		runtime script implementing workflow, routing, monitor, validation, or state behavior
DO_NOT_WISH_CODING-HZ-055	file	scripts/fetch-pr-comments.sh	agent_25	14362	9d9b92ea81bb188b	2		runtime script implementing workflow, routing, monitor, validation, or state behavior
DO_NOT_WISH_CODING-HZ-056	file	scripts/humanize.sh	agent_26	67246	eab881263530cd90	2		runtime script implementing workflow, routing, monitor, validation, or state behavior
DO_NOT_WISH_CODING-HZ-057	file	scripts/poll-pr-reviews.sh	agent_27	9532	0fb293f3797d4104	2		runtime script implementing workflow, routing, monitor, validation, or state behavior
DO_NOT_WISH_CODING-HZ-058	file	scripts/portable-timeout.sh	agent_28	2116	0e35de1118d19699	2		runtime script implementing workflow, routing, monitor, validation, or state behavior
DO_NOT_WISH_CODING-HZ-059	file	scripts/rlcr-stop-gate.sh	agent_29	4261	66bb55430c3e56e1	2		runtime script implementing workflow, routing, monitor, validation, or state behavior
DO_NOT_WISH_CODING-HZ-060	file	scripts/setup-pr-loop.sh	agent_30	34509	13007ae80da0636c	2		runtime script implementing workflow, routing, monitor, validation, or state behavior
