agent	item_count	total_bytes	item_ids	paths
agent_01	5	1444070	FEATURE__CODEX_BYPASS_SANDBOX_ENV-HZ-001,FEATURE__CODEX_BYPASS_SANDBOX_ENV-HZ-031,FEATURE__CODEX_BYPASS_SANDBOX_ENV-HZ-061,FEATURE__CODEX_BYPASS_SANDBOX_ENV-HZ-091,FEATURE__CODEX_BYPASS_SANDBOX_ENV-HZ-121	.; hooks/pr-loop-stop-hook.sh; tests/test-pr-loop-hooks.sh; prompt-template/block/plan-backup-protected.md; prompt-template/pr-loop/critical-requirements-has-comments.md
agent_02	5	10325	FEATURE__CODEX_BYPASS_SANDBOX_ENV-HZ-002,FEATURE__CODEX_BYPASS_SANDBOX_ENV-HZ-032,FEATURE__CODEX_BYPASS_SANDBOX_ENV-HZ-062,FEATURE__CODEX_BYPASS_SANDBOX_ENV-HZ-092,FEATURE__CODEX_BYPASS_SANDBOX_ENV-HZ-122	agents; scripts/cancel-pr-loop.sh; tests/test-pr-loop-lib.sh; prompt-template/block/plan-file-modified.md; prompt-template/pr-loop/critical-requirements-no-comments.md
agent_03	5	39407	FEATURE__CODEX_BYPASS_SANDBOX_ENV-HZ-003,FEATURE__CODEX_BYPASS_SANDBOX_ENV-HZ-033,FEATURE__CODEX_BYPASS_SANDBOX_ENV-HZ-063,FEATURE__CODEX_BYPASS_SANDBOX_ENV-HZ-093,FEATURE__CODEX_BYPASS_SANDBOX_ENV-HZ-123	commands; scripts/cancel-rlcr-loop.sh; tests/test-pr-loop-scripts.sh; prompt-template/block/pr-loop-prompt-write.md; prompt-template/pr-loop/goal-tracker-initial.md
agent_04	5	306083	FEATURE__CODEX_BYPASS_SANDBOX_ENV-HZ-004,FEATURE__CODEX_BYPASS_SANDBOX_ENV-HZ-034,FEATURE__CODEX_BYPASS_SANDBOX_ENV-HZ-064,FEATURE__CODEX_BYPASS_SANDBOX_ENV-HZ-094,FEATURE__CODEX_BYPASS_SANDBOX_ENV-HZ-124	hooks; scripts/check-bot-reactions.sh; tests/test-pr-loop-stophook.sh; prompt-template/block/pr-loop-state-modification.md; prompt-template/pr-loop/round-0-header.md
agent_05	5	119519	FEATURE__CODEX_BYPASS_SANDBOX_ENV-HZ-005,FEATURE__CODEX_BYPASS_SANDBOX_ENV-HZ-035,FEATURE__CODEX_BYPASS_SANDBOX_ENV-HZ-065,FEATURE__CODEX_BYPASS_SANDBOX_ENV-HZ-095,FEATURE__CODEX_BYPASS_SANDBOX_ENV-HZ-125	prompt-template; scripts/check-pr-reviewer-status.sh; tests/test-pr-loop-system.sh; prompt-template/block/prompt-file-write.md; prompt-template/pr-loop/round-0-task-has-comments.md
agent_06	5	222572	FEATURE__CODEX_BYPASS_SANDBOX_ENV-HZ-006,FEATURE__CODEX_BYPASS_SANDBOX_ENV-HZ-036,FEATURE__CODEX_BYPASS_SANDBOX_ENV-HZ-066,FEATURE__CODEX_BYPASS_SANDBOX_ENV-HZ-096,FEATURE__CODEX_BYPASS_SANDBOX_ENV-HZ-126	scripts; scripts/fetch-pr-comments.sh; tests/test-pr-loop.sh; prompt-template/block/schema-outdated.md; prompt-template/pr-loop/round-0-task-no-comments.md
agent_07	5	886888	FEATURE__CODEX_BYPASS_SANDBOX_ENV-HZ-007,FEATURE__CODEX_BYPASS_SANDBOX_ENV-HZ-037,FEATURE__CODEX_BYPASS_SANDBOX_ENV-HZ-067,FEATURE__CODEX_BYPASS_SANDBOX_ENV-HZ-097,FEATURE__CODEX_BYPASS_SANDBOX_ENV-HZ-127	tests; scripts/humanize.sh; tests/test-state-exit-naming.sh; prompt-template/block/state-file-modification.md; scripts/lib/monitor-common.sh
agent_08	5	45431	FEATURE__CODEX_BYPASS_SANDBOX_ENV-HZ-008,FEATURE__CODEX_BYPASS_SANDBOX_ENV-HZ-038,FEATURE__CODEX_BYPASS_SANDBOX_ENV-HZ-068,FEATURE__CODEX_BYPASS_SANDBOX_ENV-HZ-098,FEATURE__CODEX_BYPASS_SANDBOX_ENV-HZ-128	README.md; scripts/poll-pr-reviews.sh; tests/test-template-loader.sh; prompt-template/block/summary-bash-write.md; tests/robustness/test-base-branch-detection.sh
agent_09	5	81008	FEATURE__CODEX_BYPASS_SANDBOX_ENV-HZ-009,FEATURE__CODEX_BYPASS_SANDBOX_ENV-HZ-039,FEATURE__CODEX_BYPASS_SANDBOX_ENV-HZ-069,FEATURE__CODEX_BYPASS_SANDBOX_ENV-HZ-099,FEATURE__CODEX_BYPASS_SANDBOX_ENV-HZ-129	hooks/lib; scripts/portable-timeout.sh; tests/test-template-references.sh; prompt-template/block/todos-file-access.md; tests/robustness/test-cancel-security-robustness.sh
agent_10	5	84715	FEATURE__CODEX_BYPASS_SANDBOX_ENV-HZ-010,FEATURE__CODEX_BYPASS_SANDBOX_ENV-HZ-040,FEATURE__CODEX_BYPASS_SANDBOX_ENV-HZ-070,FEATURE__CODEX_BYPASS_SANDBOX_ENV-HZ-100,FEATURE__CODEX_BYPASS_SANDBOX_ENV-HZ-130	prompt-template/block; scripts/setup-pr-loop.sh; tests/test-templates-comprehensive.sh; prompt-template/block/unpushed-commits.md; tests/robustness/test-concurrent-state-robustness.sh
agent_11	5	70323	FEATURE__CODEX_BYPASS_SANDBOX_ENV-HZ-011,FEATURE__CODEX_BYPASS_SANDBOX_ENV-HZ-041,FEATURE__CODEX_BYPASS_SANDBOX_ENV-HZ-071,FEATURE__CODEX_BYPASS_SANDBOX_ENV-HZ-101,FEATURE__CODEX_BYPASS_SANDBOX_ENV-HZ-131	prompt-template/claude; scripts/setup-rlcr-loop.sh; tests/test-todo-checker.sh; prompt-template/block/work-summary-missing.md; tests/robustness/test-git-operations-robustness.sh
