agent	item_count	total_bytes	item_ids	paths
agent_01	3	493982	FIX_HUMANIZE_ESCAPE-HZ-001,FIX_HUMANIZE_ESCAPE-HZ-031,FIX_HUMANIZE_ESCAPE-HZ-061	.; tests/test-error-scenarios.sh; prompt-template/block/prompt-file-write.md
agent_02	3	29059	FIX_HUMANIZE_ESCAPE-HZ-002,FIX_HUMANIZE_ESCAPE-HZ-032,FIX_HUMANIZE_ESCAPE-HZ-062	commands; tests/test-finalize-phase.sh; prompt-template/block/schema-outdated.md
agent_03	3	128923	FIX_HUMANIZE_ESCAPE-HZ-003,FIX_HUMANIZE_ESCAPE-HZ-033,FIX_HUMANIZE_ESCAPE-HZ-063	hooks; tests/test-humanize-escape.sh; prompt-template/block/state-file-modification.md
agent_04	3	35887	FIX_HUMANIZE_ESCAPE-HZ-004,FIX_HUMANIZE_ESCAPE-HZ-034,FIX_HUMANIZE_ESCAPE-HZ-064	prompt-template; tests/test-monitor-e2e-real.sh; prompt-template/block/summary-bash-write.md
agent_05	3	71787	FIX_HUMANIZE_ESCAPE-HZ-005,FIX_HUMANIZE_ESCAPE-HZ-035,FIX_HUMANIZE_ESCAPE-HZ-065	scripts; tests/test-monitor-runtime.sh; prompt-template/block/todos-file-access.md
agent_06	3	308530	FIX_HUMANIZE_ESCAPE-HZ-006,FIX_HUMANIZE_ESCAPE-HZ-036,FIX_HUMANIZE_ESCAPE-HZ-066	tests; tests/test-plan-file-hooks.sh; prompt-template/block/unpushed-commits.md
agent_07	3	26398	FIX_HUMANIZE_ESCAPE-HZ-007,FIX_HUMANIZE_ESCAPE-HZ-037,FIX_HUMANIZE_ESCAPE-HZ-067	README.md; tests/test-plan-file-validation.sh; prompt-template/block/work-summary-missing.md
agent_08	3	40442	FIX_HUMANIZE_ESCAPE-HZ-008,FIX_HUMANIZE_ESCAPE-HZ-038,FIX_HUMANIZE_ESCAPE-HZ-068	hooks/lib; tests/test-state-exit-naming.sh; prompt-template/block/wrong-directory-path.md
agent_09	3	32647	FIX_HUMANIZE_ESCAPE-HZ-009,FIX_HUMANIZE_ESCAPE-HZ-039,FIX_HUMANIZE_ESCAPE-HZ-069	prompt-template/block; tests/test-template-loader.sh; prompt-template/block/wrong-file-location.md
agent_10	3	11823	FIX_HUMANIZE_ESCAPE-HZ-010,FIX_HUMANIZE_ESCAPE-HZ-040,FIX_HUMANIZE_ESCAPE-HZ-070	prompt-template/claude; tests/test-template-references.sh; prompt-template/block/wrong-round-file.md
