item_id	path_type	path	included	assigned_agent	bytes	sha16	depth	core_descendant_files	reason
FIX_HUMANIZE_ESCAPE-HZ-001	directory	.	yes	agent_01	485878	-	0	71	directory contains included core algorithm descendant(s)
FIX_HUMANIZE_ESCAPE-SKIP-001	directory	.claude	no		0	-	1	0	directory only contains skipped non-core files
FIX_HUMANIZE_ESCAPE-SKIP-002	directory	.claude-plugin	no		0	-	1	0	directory only contains skipped non-core files
FIX_HUMANIZE_ESCAPE-SKIP-003	directory	.github	no		0	-	1	0	directory only contains skipped non-core files
FIX_HUMANIZE_ESCAPE-HZ-002	directory	commands	yes	agent_02	5465	-	1	2	directory contains included core algorithm descendant(s)
FIX_HUMANIZE_ESCAPE-HZ-003	directory	hooks	yes	agent_03	116570	-	1	10	directory contains included core algorithm descendant(s)
FIX_HUMANIZE_ESCAPE-HZ-004	directory	prompt-template	yes	agent_04	24525	-	1	36	directory contains included core algorithm descendant(s)
FIX_HUMANIZE_ESCAPE-HZ-005	directory	scripts	yes	agent_05	62582	-	1	3	directory contains included core algorithm descendant(s)
FIX_HUMANIZE_ESCAPE-HZ-006	directory	tests	yes	agent_06	273404	-	1	19	directory contains included core algorithm descendant(s)
FIX_HUMANIZE_ESCAPE-SKIP-004	file	.gitignore	no		120	ce8146019ad5a484	0		metadata only; not algorithm behavior
FIX_HUMANIZE_ESCAPE-HZ-007	file	README.md	yes	agent_07	3332	2f0cf5b20cc9bd4a	0		behavior-defining documentation for workflow/state-machine algorithms
FIX_HUMANIZE_ESCAPE-SKIP-005	directory	.github/workflows	no		0	-	2	0	directory only contains skipped non-core files
FIX_HUMANIZE_ESCAPE-HZ-008	directory	hooks/lib	yes	agent_08	31331	-	2	2	directory contains included core algorithm descendant(s)
FIX_HUMANIZE_ESCAPE-HZ-009	directory	prompt-template/block	yes	agent_09	11039	-	2	27	directory contains included core algorithm descendant(s)
