item_id	checkbox_state	claim_state	assigned_agent	tmux_session	slot	path_type	path	dependencies	owned_path_scope	worker_output	master_status
FIX_HUMANIZE_ESCAPE-HZ-001	[ ]	unclaimed	agent_01	humanize_fix-humanize-escape_1to1_20260619	01	directory	.		.	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_01/output.md	pending
FIX_HUMANIZE_ESCAPE-HZ-002	[ ]	unclaimed	agent_02	humanize_fix-humanize-escape_1to1_20260619	02	directory	commands		commands	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_02/output.md	pending
FIX_HUMANIZE_ESCAPE-HZ-003	[ ]	unclaimed	agent_03	humanize_fix-humanize-escape_1to1_20260619	03	directory	hooks		hooks	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_03/output.md	pending
FIX_HUMANIZE_ESCAPE-HZ-004	[ ]	unclaimed	agent_04	humanize_fix-humanize-escape_1to1_20260619	04	directory	prompt-template		prompt-template	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_04/output.md	pending
FIX_HUMANIZE_ESCAPE-HZ-005	[ ]	unclaimed	agent_05	humanize_fix-humanize-escape_1to1_20260619	05	directory	scripts		scripts	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_05/output.md	pending
FIX_HUMANIZE_ESCAPE-HZ-006	[ ]	unclaimed	agent_06	humanize_fix-humanize-escape_1to1_20260619	06	directory	tests		tests	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_06/output.md	pending
FIX_HUMANIZE_ESCAPE-HZ-007	[ ]	unclaimed	agent_07	humanize_fix-humanize-escape_1to1_20260619	07	file	README.md		README.md	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_07/output.md	pending
FIX_HUMANIZE_ESCAPE-HZ-008	[ ]	unclaimed	agent_08	humanize_fix-humanize-escape_1to1_20260619	08	directory	hooks/lib		hooks/lib	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_08/output.md	pending
FIX_HUMANIZE_ESCAPE-HZ-009	[ ]	unclaimed	agent_09	humanize_fix-humanize-escape_1to1_20260619	09	directory	prompt-template/block		prompt-template/block	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_09/output.md	pending
FIX_HUMANIZE_ESCAPE-HZ-010	[ ]	unclaimed	agent_10	humanize_fix-humanize-escape_1to1_20260619	10	directory	prompt-template/claude		prompt-template/claude	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_10/output.md	pending
FIX_HUMANIZE_ESCAPE-HZ-011	[ ]	unclaimed	agent_11	humanize_fix-humanize-escape_1to1_20260619	11	directory	prompt-template/codex		prompt-template/codex	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_11/output.md	pending
FIX_HUMANIZE_ESCAPE-HZ-012	[ ]	unclaimed	agent_12	humanize_fix-humanize-escape_1to1_20260619	12	file	commands/cancel-rlcr-loop.md		commands/cancel-rlcr-loop.md	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_12/output.md	pending
FIX_HUMANIZE_ESCAPE-HZ-013	[ ]	unclaimed	agent_13	humanize_fix-humanize-escape_1to1_20260619	13	file	commands/start-rlcr-loop.md		commands/start-rlcr-loop.md	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_13/output.md	pending
FIX_HUMANIZE_ESCAPE-HZ-014	[ ]	unclaimed	agent_14	humanize_fix-humanize-escape_1to1_20260619	14	file	hooks/check-todos-from-transcript.py		hooks/check-todos-from-transcript.py	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_14/output.md	pending
FIX_HUMANIZE_ESCAPE-HZ-015	[ ]	unclaimed	agent_15	humanize_fix-humanize-escape_1to1_20260619	15	file	hooks/hooks.json		hooks/hooks.json	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_15/output.md	pending
FIX_HUMANIZE_ESCAPE-HZ-016	[ ]	unclaimed	agent_16	humanize_fix-humanize-escape_1to1_20260619	16	file	hooks/loop-bash-validator.sh		hooks/loop-bash-validator.sh	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_16/output.md	pending
