item_id	path_type	path	assigned_agent	status	master_state	output_rel	item_id_mentions	has_item_heading	bytes	sha16	depth	core_descendant_files	reason	master_evidence
FIX_HUMANIZE_ESCAPE-HZ-001	directory	.	agent_01	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_01/output.md	1	yes	485878	-	0	71	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
FIX_HUMANIZE_ESCAPE-HZ-002	directory	commands	agent_02	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_02/output.md	2	yes	5465	-	1	2	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
FIX_HUMANIZE_ESCAPE-HZ-003	directory	hooks	agent_03	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_03/output.md	1	yes	116570	-	1	10	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
FIX_HUMANIZE_ESCAPE-HZ-004	directory	prompt-template	agent_04	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_04/output.md	1	yes	24525	-	1	36	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
FIX_HUMANIZE_ESCAPE-HZ-005	directory	scripts	agent_05	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_05/output.md	1	yes	62582	-	1	3	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
FIX_HUMANIZE_ESCAPE-HZ-006	directory	tests	agent_06	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_06/output.md	1	yes	273404	-	1	19	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
FIX_HUMANIZE_ESCAPE-HZ-007	file	README.md	agent_07	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_07/output.md	1	yes	3332	2f0cf5b20cc9bd4a	0		behavior-defining documentation for workflow/state-machine algorithms	status complete; output exists; item_id present in assigned output
FIX_HUMANIZE_ESCAPE-HZ-008	directory	hooks/lib	agent_08	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_08/output.md	1	yes	31331	-	2	2	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
FIX_HUMANIZE_ESCAPE-HZ-009	directory	prompt-template/block	agent_09	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_09/output.md	1	yes	11039	-	2	27	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
FIX_HUMANIZE_ESCAPE-HZ-010	directory	prompt-template/claude	agent_10	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_10/output.md	1	yes	4385	-	2	6	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
FIX_HUMANIZE_ESCAPE-HZ-011	directory	prompt-template/codex	agent_11	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_11/output.md	1	yes	9101	-	2	3	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
FIX_HUMANIZE_ESCAPE-HZ-012	file	commands/cancel-rlcr-loop.md	agent_12	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_12/output.md	2	yes	3055	d8188ad221a2e198	2		command workflow definition for plan/RLCR algorithms	status complete; output exists; item_id present in assigned output
FIX_HUMANIZE_ESCAPE-HZ-013	file	commands/start-rlcr-loop.md	agent_13	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_13/output.md	2	yes	2410	005ee49d60ac9f36	2		command workflow definition for plan/RLCR algorithms	status complete; output exists; item_id present in assigned output
FIX_HUMANIZE_ESCAPE-HZ-014	file	hooks/check-todos-from-transcript.py	agent_14	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_14/output.md	1	yes	4496	ec13bdb525fa510b	2		hook or validator implementation for the RLCR state machine	status complete; output exists; item_id present in assigned output
FIX_HUMANIZE_ESCAPE-HZ-015	file	hooks/hooks.json	agent_15	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_15/output.md	1	yes	1402	acdbc9966d325548	2		hook or validator implementation for the RLCR state machine	status complete; output exists; item_id present in assigned output
FIX_HUMANIZE_ESCAPE-HZ-016	file	hooks/loop-bash-validator.sh	agent_16	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_16/output.md	1	yes	13540	cf2bae28cf4d6de5	2		hook or validator implementation for the RLCR state machine	status complete; output exists; item_id present in assigned output
FIX_HUMANIZE_ESCAPE-HZ-017	file	hooks/loop-codex-stop-hook.sh	agent_17	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_17/output.md	1	yes	40784	809e94efdbdbbff3	2		hook or validator implementation for the RLCR state machine	status complete; output exists; item_id present in assigned output
FIX_HUMANIZE_ESCAPE-HZ-018	file	hooks/loop-edit-validator.sh	agent_18	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_18/output.md	1	yes	4887	393df68fe4a6ade2	2		hook or validator implementation for the RLCR state machine	status complete; output exists; item_id present in assigned output
FIX_HUMANIZE_ESCAPE-HZ-019	file	hooks/loop-plan-file-validator.sh	agent_19	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_19/output.md	1	yes	7830	ed732c606434bff6	2		hook or validator implementation for the RLCR state machine	status complete; output exists; item_id present in assigned output
FIX_HUMANIZE_ESCAPE-HZ-020	file	hooks/loop-read-validator.sh	agent_20	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_20/output.md	1	yes	4633	9209a1d32a2543dc	2		hook or validator implementation for the RLCR state machine	status complete; output exists; item_id present in assigned output
FIX_HUMANIZE_ESCAPE-HZ-021	file	hooks/loop-write-validator.sh	agent_21	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_21/output.md	1	yes	7667	a8d78371cdfac0b9	2		hook or validator implementation for the RLCR state machine	status complete; output exists; item_id present in assigned output
FIX_HUMANIZE_ESCAPE-HZ-022	file	scripts/humanize.sh	agent_22	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_22/output.md	1	yes	35827	3b89fcff1d1350bf	2		runtime script implementing workflow, routing, monitor, validation, or state behavior	status complete; output exists; item_id present in assigned output
FIX_HUMANIZE_ESCAPE-HZ-023	file	scripts/portable-timeout.sh	agent_23	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_23/output.md	1	yes	2116	0e35de1118d19699	2		runtime script implementing workflow, routing, monitor, validation, or state behavior	status complete; output exists; item_id present in assigned output
FIX_HUMANIZE_ESCAPE-HZ-024	file	scripts/setup-rlcr-loop.sh	agent_24	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_24/output.md	2	yes	24639	fbb50664e29713a1	2		runtime script implementing workflow, routing, monitor, validation, or state behavior	status complete; output exists; item_id present in assigned output
FIX_HUMANIZE_ESCAPE-HZ-025	file	tests/manual-monitor-test.sh	agent_25	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_25/output.md	1	yes	2573	6f254fca4dfab34a	2		executable specification for core algorithm behavior	status complete; output exists; item_id present in assigned output
FIX_HUMANIZE_ESCAPE-HZ-026	file	tests/run-all-tests.sh	agent_26	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_26/output.md	1	yes	3665	1fc57ea432c7cb5e	2		executable specification for core algorithm behavior	status complete; output exists; item_id present in assigned output
