agent	item_count	total_bytes	item_ids	paths
agent_01	5	1435312	FIX_PR_LOOP-HZ-001,FIX_PR_LOOP-HZ-031,FIX_PR_LOOP-HZ-061,FIX_PR_LOOP-HZ-091,FIX_PR_LOOP-HZ-121	.; hooks/pr-loop-stop-hook.sh; tests/test-pr-loop-hooks.sh; prompt-template/block/plan-backup-protected.md; prompt-template/pr-loop/critical-requirements-has-comments.md
agent_02	5	10325	FIX_PR_LOOP-HZ-002,FIX_PR_LOOP-HZ-032,FIX_PR_LOOP-HZ-062,FIX_PR_LOOP-HZ-092,FIX_PR_LOOP-HZ-122	agents; scripts/cancel-pr-loop.sh; tests/test-pr-loop-lib.sh; prompt-template/block/plan-file-modified.md; prompt-template/pr-loop/critical-requirements-no-comments.md
agent_03	5	39407	FIX_PR_LOOP-HZ-003,FIX_PR_LOOP-HZ-033,FIX_PR_LOOP-HZ-063,FIX_PR_LOOP-HZ-093,FIX_PR_LOOP-HZ-123	commands; scripts/cancel-rlcr-loop.sh; tests/test-pr-loop-scripts.sh; prompt-template/block/pr-loop-prompt-write.md; prompt-template/pr-loop/goal-tracker-initial.md
agent_04	5	305175	FIX_PR_LOOP-HZ-004,FIX_PR_LOOP-HZ-034,FIX_PR_LOOP-HZ-064,FIX_PR_LOOP-HZ-094,FIX_PR_LOOP-HZ-124	hooks; scripts/check-bot-reactions.sh; tests/test-pr-loop-stophook.sh; prompt-template/block/pr-loop-state-modification.md; prompt-template/pr-loop/round-0-header.md
agent_05	5	119519	FIX_PR_LOOP-HZ-005,FIX_PR_LOOP-HZ-035,FIX_PR_LOOP-HZ-065,FIX_PR_LOOP-HZ-095,FIX_PR_LOOP-HZ-125	prompt-template; scripts/check-pr-reviewer-status.sh; tests/test-pr-loop-system.sh; prompt-template/block/prompt-file-write.md; prompt-template/pr-loop/round-0-task-has-comments.md
agent_06	5	218842	FIX_PR_LOOP-HZ-006,FIX_PR_LOOP-HZ-036,FIX_PR_LOOP-HZ-066,FIX_PR_LOOP-HZ-096,FIX_PR_LOOP-HZ-126	scripts; scripts/fetch-pr-comments.sh; tests/test-pr-loop.sh; prompt-template/block/schema-outdated.md; prompt-template/pr-loop/round-0-task-no-comments.md
agent_07	5	884899	FIX_PR_LOOP-HZ-007,FIX_PR_LOOP-HZ-037,FIX_PR_LOOP-HZ-067,FIX_PR_LOOP-HZ-097,FIX_PR_LOOP-HZ-127	tests; scripts/humanize.sh; tests/test-state-exit-naming.sh; prompt-template/block/state-file-modification.md; scripts/lib/monitor-common.sh
agent_08	5	43730	FIX_PR_LOOP-HZ-008,FIX_PR_LOOP-HZ-038,FIX_PR_LOOP-HZ-068,FIX_PR_LOOP-HZ-098,FIX_PR_LOOP-HZ-128	README.md; scripts/poll-pr-reviews.sh; tests/test-template-loader.sh; prompt-template/block/summary-bash-write.md; tests/robustness/test-base-branch-detection.sh
agent_09	5	81008	FIX_PR_LOOP-HZ-009,FIX_PR_LOOP-HZ-039,FIX_PR_LOOP-HZ-069,FIX_PR_LOOP-HZ-099,FIX_PR_LOOP-HZ-129	hooks/lib; scripts/portable-timeout.sh; tests/test-template-references.sh; prompt-template/block/todos-file-access.md; tests/robustness/test-cancel-security-robustness.sh
agent_10	5	80985	FIX_PR_LOOP-HZ-010,FIX_PR_LOOP-HZ-040,FIX_PR_LOOP-HZ-070,FIX_PR_LOOP-HZ-100,FIX_PR_LOOP-HZ-130	prompt-template/block; scripts/setup-pr-loop.sh; tests/test-templates-comprehensive.sh; prompt-template/block/unpushed-commits.md; tests/robustness/test-concurrent-state-robustness.sh
agent_11	5	70323	FIX_PR_LOOP-HZ-011,FIX_PR_LOOP-HZ-041,FIX_PR_LOOP-HZ-071,FIX_PR_LOOP-HZ-101,FIX_PR_LOOP-HZ-131	prompt-template/claude; scripts/setup-rlcr-loop.sh; tests/test-todo-checker.sh; prompt-template/block/work-summary-missing.md; tests/robustness/test-git-operations-robustness.sh
agent_12	5	39991	FIX_PR_LOOP-HZ-012,FIX_PR_LOOP-HZ-042,FIX_PR_LOOP-HZ-072,FIX_PR_LOOP-HZ-102,FIX_PR_LOOP-HZ-132	prompt-template/codex; scripts/validate-gen-plan-io.sh; tests/test-zsh-monitor-safety.sh; prompt-template/block/wrong-directory-path.md; tests/robustness/test-goal-tracker-robustness.sh
agent_13	5	77954	FIX_PR_LOOP-HZ-013,FIX_PR_LOOP-HZ-043,FIX_PR_LOOP-HZ-073,FIX_PR_LOOP-HZ-103,FIX_PR_LOOP-HZ-133	prompt-template/plan; tests/manual-monitor-test.sh; hooks/lib/loop-common.sh; prompt-template/block/wrong-file-location.md; tests/robustness/test-hook-input-robustness.sh
