item_id	path_type	path	assigned_agent	bytes	sha16	depth	core_descendant_files	reason
FIX_TOO_STRICT_RULE_AND_ENHANCE_PLAN_GEN-HZ-001	directory	.	agent_01	671082	-	0	87	directory contains included core algorithm descendant(s)
FIX_TOO_STRICT_RULE_AND_ENHANCE_PLAN_GEN-HZ-002	directory	agents	agent_02	1788	-	1	1	directory contains included core algorithm descendant(s)
FIX_TOO_STRICT_RULE_AND_ENHANCE_PLAN_GEN-HZ-003	directory	commands	agent_03	13821	-	1	3	directory contains included core algorithm descendant(s)
FIX_TOO_STRICT_RULE_AND_ENHANCE_PLAN_GEN-HZ-004	directory	hooks	agent_04	126104	-	1	10	directory contains included core algorithm descendant(s)
FIX_TOO_STRICT_RULE_AND_ENHANCE_PLAN_GEN-HZ-005	directory	prompt-template	agent_05	24887	-	1	36	directory contains included core algorithm descendant(s)
FIX_TOO_STRICT_RULE_AND_ENHANCE_PLAN_GEN-HZ-006	directory	scripts	agent_06	73547	-	1	5	directory contains included core algorithm descendant(s)
FIX_TOO_STRICT_RULE_AND_ENHANCE_PLAN_GEN-HZ-007	directory	tests	agent_07	426909	-	1	31	directory contains included core algorithm descendant(s)
FIX_TOO_STRICT_RULE_AND_ENHANCE_PLAN_GEN-HZ-008	file	README.md	agent_08	4026	e737797154c0adc4	0		behavior-defining documentation for workflow/state-machine algorithms
FIX_TOO_STRICT_RULE_AND_ENHANCE_PLAN_GEN-HZ-009	directory	hooks/lib	agent_09	38978	-	2	2	directory contains included core algorithm descendant(s)
FIX_TOO_STRICT_RULE_AND_ENHANCE_PLAN_GEN-HZ-010	directory	prompt-template/block	agent_10	11401	-	2	27	directory contains included core algorithm descendant(s)
FIX_TOO_STRICT_RULE_AND_ENHANCE_PLAN_GEN-HZ-011	directory	prompt-template/claude	agent_11	4385	-	2	6	directory contains included core algorithm descendant(s)
FIX_TOO_STRICT_RULE_AND_ENHANCE_PLAN_GEN-HZ-012	directory	prompt-template/codex	agent_12	9101	-	2	3	directory contains included core algorithm descendant(s)
FIX_TOO_STRICT_RULE_AND_ENHANCE_PLAN_GEN-HZ-013	directory	tests/robustness	agent_13	131274	-	2	10	directory contains included core algorithm descendant(s)
FIX_TOO_STRICT_RULE_AND_ENHANCE_PLAN_GEN-HZ-014	file	agents/draft-relevance-checker.md	agent_14	1788	98f5a6a069791828	2		agent prompt/policy file defining review or planning behavior
FIX_TOO_STRICT_RULE_AND_ENHANCE_PLAN_GEN-HZ-015	file	commands/cancel-rlcr-loop.md	agent_15	1914	2a8faafa5889ed98	2		command workflow definition for plan/RLCR algorithms
FIX_TOO_STRICT_RULE_AND_ENHANCE_PLAN_GEN-HZ-016	file	commands/gen-plan.md	agent_16	9497	b9f07e31436145c2	2		command workflow definition for plan/RLCR algorithms
FIX_TOO_STRICT_RULE_AND_ENHANCE_PLAN_GEN-HZ-017	file	commands/start-rlcr-loop.md	agent_17	2410	005ee49d60ac9f36	2		command workflow definition for plan/RLCR algorithms
FIX_TOO_STRICT_RULE_AND_ENHANCE_PLAN_GEN-HZ-018	file	hooks/check-todos-from-transcript.py	agent_18	4496	ec13bdb525fa510b	2		hook or validator implementation for the RLCR state machine
FIX_TOO_STRICT_RULE_AND_ENHANCE_PLAN_GEN-HZ-019	file	hooks/hooks.json	agent_19	1402	acdbc9966d325548	2		hook or validator implementation for the RLCR state machine
FIX_TOO_STRICT_RULE_AND_ENHANCE_PLAN_GEN-HZ-020	file	hooks/loop-bash-validator.sh	agent_20	13951	d66ffe1aad11bb84	2		hook or validator implementation for the RLCR state machine
FIX_TOO_STRICT_RULE_AND_ENHANCE_PLAN_GEN-HZ-021	file	hooks/loop-codex-stop-hook.sh	agent_21	41081	cfb354b8076c4751	2		hook or validator implementation for the RLCR state machine
FIX_TOO_STRICT_RULE_AND_ENHANCE_PLAN_GEN-HZ-022	file	hooks/loop-edit-validator.sh	agent_22	5040	26b554cd1a86ee96	2		hook or validator implementation for the RLCR state machine
FIX_TOO_STRICT_RULE_AND_ENHANCE_PLAN_GEN-HZ-023	file	hooks/loop-plan-file-validator.sh	agent_23	7983	6b6902f57e815c1d	2		hook or validator implementation for the RLCR state machine
FIX_TOO_STRICT_RULE_AND_ENHANCE_PLAN_GEN-HZ-024	file	hooks/loop-read-validator.sh	agent_24	5069	37d01ac5a01a061e	2		hook or validator implementation for the RLCR state machine
FIX_TOO_STRICT_RULE_AND_ENHANCE_PLAN_GEN-HZ-025	file	hooks/loop-write-validator.sh	agent_25	8104	de26116620f33d90	2		hook or validator implementation for the RLCR state machine
