item_id	path_type	path	included	assigned_agent	bytes	sha16	depth	core_descendant_files	reason
IMPL_DCCB_LOOP-HZ-001	directory	.	yes	agent_01	189116	-	0	18	directory contains included core algorithm descendant(s)
IMPL_DCCB_LOOP-SKIP-001	directory	.claude	no		0	-	1	0	directory only contains skipped non-core files
IMPL_DCCB_LOOP-SKIP-002	directory	.claude-plugin	no		0	-	1	0	directory only contains skipped non-core files
IMPL_DCCB_LOOP-HZ-002	directory	commands	yes	agent_02	8390	-	1	4	directory contains included core algorithm descendant(s)
IMPL_DCCB_LOOP-HZ-003	directory	hooks	yes	agent_03	96795	-	1	9	directory contains included core algorithm descendant(s)
IMPL_DCCB_LOOP-HZ-004	directory	scripts	yes	agent_04	67463	-	1	4	directory contains included core algorithm descendant(s)
IMPL_DCCB_LOOP-SKIP-003	file	.gitignore	no		158	d7c8344643ecae14	0		metadata only; not algorithm behavior
IMPL_DCCB_LOOP-HZ-005	file	README.md	yes	agent_05	16468	bed865b0f19728e8	0		behavior-defining documentation for workflow/state-machine algorithms
IMPL_DCCB_LOOP-HZ-006	directory	hooks/lib	yes	agent_06	7007	-	2	1	directory contains included core algorithm descendant(s)
IMPL_DCCB_LOOP-SKIP-004	file	.claude-plugin/marketplace.json	no		425	7501066a50686e65	2		plugin packaging metadata; not core algorithm runtime or specification
IMPL_DCCB_LOOP-SKIP-005	file	.claude-plugin/plugin.json	no		742	d46e0b79f913574f	2		plugin packaging metadata; not core algorithm runtime or specification
IMPL_DCCB_LOOP-SKIP-006	file	.claude/CLAUDE.md	no		1123	1a3f9d9f0d0ef850	2		local assistant instruction surface; not repository algorithm behavior
IMPL_DCCB_LOOP-HZ-007	file	commands/cancel-dccb-loop.md	yes	agent_07	825	2d48484def7b278e	2		command workflow definition for plan/RLCR algorithms
IMPL_DCCB_LOOP-HZ-008	file	commands/cancel-rlcr-loop.md	yes	agent_08	814	fc3f44ce4e3e196f	2		command workflow definition for plan/RLCR algorithms
IMPL_DCCB_LOOP-HZ-009	file	commands/start-dccb-loop.md	yes	agent_09	4344	86ffb03828784585	2		command workflow definition for plan/RLCR algorithms
IMPL_DCCB_LOOP-HZ-010	file	commands/start-rlcr-loop.md	yes	agent_10	2407	6b72f6f12031b84d	2		command workflow definition for plan/RLCR algorithms
IMPL_DCCB_LOOP-HZ-011	file	hooks/check-todos-from-transcript.py	yes	agent_11	4425	44d0d28cf2dab213	2		hook or validator implementation for the RLCR state machine
IMPL_DCCB_LOOP-HZ-012	file	hooks/hooks.json	yes	agent_12	1370	3fec1056a2fc568b	2		hook or validator implementation for the RLCR state machine
IMPL_DCCB_LOOP-HZ-013	file	hooks/loop-bash-validator.sh	yes	agent_13	4168	2bf67bf51749c114	2		hook or validator implementation for the RLCR state machine
IMPL_DCCB_LOOP-HZ-014	file	hooks/loop-codex-stop-hook.sh	yes	agent_14	37043	7431d1869c9ef1df	2		hook or validator implementation for the RLCR state machine
IMPL_DCCB_LOOP-HZ-015	file	hooks/loop-dccb-stop-hook.sh	yes	agent_15	30611	52a6da83c2423619	2		hook or validator implementation for the RLCR state machine
IMPL_DCCB_LOOP-HZ-016	file	hooks/loop-edit-validator.sh	yes	agent_16	3321	50bd042f60029b62	2		hook or validator implementation for the RLCR state machine
IMPL_DCCB_LOOP-HZ-017	file	hooks/loop-read-validator.sh	yes	agent_17	3966	47711277fc9bb9d4	2		hook or validator implementation for the RLCR state machine
IMPL_DCCB_LOOP-HZ-018	file	hooks/loop-write-validator.sh	yes	agent_18	4884	5fc2dd29481e8889	2		hook or validator implementation for the RLCR state machine
IMPL_DCCB_LOOP-HZ-019	file	scripts/humanize.sh	yes	agent_19	33838	f8dc1a9c73c44139	2		runtime script implementing workflow, routing, monitor, validation, or state behavior
IMPL_DCCB_LOOP-HZ-020	file	scripts/portable-timeout.sh	yes	agent_20	2116	0e35de1118d19699	2		runtime script implementing workflow, routing, monitor, validation, or state behavior
IMPL_DCCB_LOOP-HZ-021	file	scripts/setup-dccb-loop.sh	yes	agent_21	17051	7cf0c791755b033f	2		runtime script implementing workflow, routing, monitor, validation, or state behavior
IMPL_DCCB_LOOP-HZ-022	file	scripts/setup-rlcr-loop.sh	yes	agent_22	14458	91b23be6729ca00d	2		runtime script implementing workflow, routing, monitor, validation, or state behavior
IMPL_DCCB_LOOP-HZ-023	file	hooks/lib/loop-common.sh	yes	agent_23	7007	9ea3cc5aa73ff647	3		hook or validator implementation for the RLCR state machine
