agent	item_count	total_bytes	item_ids	paths
agent_01	5	1139260	IMPL_PR_LOOP-HZ-001,IMPL_PR_LOOP-HZ-031,IMPL_PR_LOOP-HZ-061,IMPL_PR_LOOP-HZ-091,IMPL_PR_LOOP-HZ-121	.; scripts/cancel-pr-loop.sh; tests/test-pr-loop-scripts.sh; prompt-template/block/pr-loop-prompt-write.md; scripts/lib/monitor-common.sh
agent_02	5	76578	IMPL_PR_LOOP-HZ-002,IMPL_PR_LOOP-HZ-032,IMPL_PR_LOOP-HZ-062,IMPL_PR_LOOP-HZ-092,IMPL_PR_LOOP-HZ-122	agents; scripts/cancel-rlcr-loop.sh; tests/test-pr-loop-stophook.sh; prompt-template/block/pr-loop-state-modification.md; tests/robustness/test-cancel-security-robustness.sh
agent_03	5	109953	IMPL_PR_LOOP-HZ-003,IMPL_PR_LOOP-HZ-033,IMPL_PR_LOOP-HZ-063,IMPL_PR_LOOP-HZ-093,IMPL_PR_LOOP-HZ-123	commands; scripts/check-bot-reactions.sh; tests/test-pr-loop-system.sh; prompt-template/block/prompt-file-write.md; tests/robustness/test-git-operations-robustness.sh
agent_04	5	238504	IMPL_PR_LOOP-HZ-004,IMPL_PR_LOOP-HZ-034,IMPL_PR_LOOP-HZ-064,IMPL_PR_LOOP-HZ-094,IMPL_PR_LOOP-HZ-124	hooks; scripts/check-pr-reviewer-status.sh; tests/test-pr-loop.sh; prompt-template/block/schema-outdated.md; tests/robustness/test-goal-tracker-robustness.sh
agent_05	5	80416	IMPL_PR_LOOP-HZ-005,IMPL_PR_LOOP-HZ-035,IMPL_PR_LOOP-HZ-065,IMPL_PR_LOOP-HZ-095,IMPL_PR_LOOP-HZ-125	prompt-template; scripts/fetch-pr-comments.sh; tests/test-state-exit-naming.sh; prompt-template/block/state-file-modification.md; tests/robustness/test-hook-input-robustness.sh
agent_06	5	274827	IMPL_PR_LOOP-HZ-006,IMPL_PR_LOOP-HZ-036,IMPL_PR_LOOP-HZ-066,IMPL_PR_LOOP-HZ-096,IMPL_PR_LOOP-HZ-126	scripts; scripts/humanize.sh; tests/test-template-loader.sh; prompt-template/block/summary-bash-write.md; tests/robustness/test-path-validation-robustness.sh
agent_07	5	678152	IMPL_PR_LOOP-HZ-007,IMPL_PR_LOOP-HZ-037,IMPL_PR_LOOP-HZ-067,IMPL_PR_LOOP-HZ-097,IMPL_PR_LOOP-HZ-127	tests; scripts/poll-pr-reviews.sh; tests/test-template-references.sh; prompt-template/block/todos-file-access.md; tests/robustness/test-plan-file-robustness.sh
agent_08	5	38299	IMPL_PR_LOOP-HZ-008,IMPL_PR_LOOP-HZ-038,IMPL_PR_LOOP-HZ-068,IMPL_PR_LOOP-HZ-098,IMPL_PR_LOOP-HZ-128	README.md; scripts/portable-timeout.sh; tests/test-templates-comprehensive.sh; prompt-template/block/unpushed-commits.md; tests/robustness/test-session-robustness.sh
agent_09	5	103840	IMPL_PR_LOOP-HZ-009,IMPL_PR_LOOP-HZ-039,IMPL_PR_LOOP-HZ-069,IMPL_PR_LOOP-HZ-099,IMPL_PR_LOOP-HZ-129	hooks/lib; scripts/setup-pr-loop.sh; tests/test-todo-checker.sh; prompt-template/block/work-summary-missing.md; tests/robustness/test-state-file-robustness.sh
agent_10	5	61079	IMPL_PR_LOOP-HZ-010,IMPL_PR_LOOP-HZ-040,IMPL_PR_LOOP-HZ-070,IMPL_PR_LOOP-HZ-100,IMPL_PR_LOOP-HZ-130	prompt-template/block; scripts/setup-rlcr-loop.sh; tests/test-zsh-monitor-safety.sh; prompt-template/block/wrong-directory-path.md; tests/robustness/test-template-stress-robustness.sh
agent_11	5	61182	IMPL_PR_LOOP-HZ-011,IMPL_PR_LOOP-HZ-041,IMPL_PR_LOOP-HZ-071,IMPL_PR_LOOP-HZ-101,IMPL_PR_LOOP-HZ-131	prompt-template/claude; scripts/validate-gen-plan-io.sh; hooks/lib/loop-common.sh; prompt-template/block/wrong-file-location.md; tests/robustness/test-timeout-robustness.sh
agent_12	4	19085	IMPL_PR_LOOP-HZ-012,IMPL_PR_LOOP-HZ-042,IMPL_PR_LOOP-HZ-072,IMPL_PR_LOOP-HZ-102	prompt-template/codex; tests/manual-monitor-test.sh; hooks/lib/template-loader.sh; prompt-template/block/wrong-round-file.md
agent_13	4	12008	IMPL_PR_LOOP-HZ-013,IMPL_PR_LOOP-HZ-043,IMPL_PR_LOOP-HZ-073,IMPL_PR_LOOP-HZ-103	prompt-template/pr-loop; tests/run-all-tests.sh; prompt-template/block/claude-eyes-timeout.md; prompt-template/block/wrong-round-number.md
agent_14	4	20846	IMPL_PR_LOOP-HZ-014,IMPL_PR_LOOP-HZ-044,IMPL_PR_LOOP-HZ-074,IMPL_PR_LOOP-HZ-104	scripts/lib; tests/setup-fixture-mock-gh.sh; prompt-template/block/codex-review-failed.md; prompt-template/block/wrong-summary-location.md
agent_15	4	135206	IMPL_PR_LOOP-HZ-015,IMPL_PR_LOOP-HZ-045,IMPL_PR_LOOP-HZ-075,IMPL_PR_LOOP-HZ-105	tests/robustness; tests/setup-monitor-test-env.sh; prompt-template/block/finalize-state-file-modification.md; prompt-template/claude/finalize-phase-prompt.md
agent_16	4	17564	IMPL_PR_LOOP-HZ-016,IMPL_PR_LOOP-HZ-046,IMPL_PR_LOOP-HZ-076,IMPL_PR_LOOP-HZ-106	agents/draft-relevance-checker.md; tests/test-allowlist-validators.sh; prompt-template/block/force-push-detected.md; prompt-template/claude/goal-tracker-update-request.md
agent_17	4	8344	IMPL_PR_LOOP-HZ-017,IMPL_PR_LOOP-HZ-047,IMPL_PR_LOOP-HZ-077,IMPL_PR_LOOP-HZ-107	commands/cancel-pr-loop.md; tests/test-ansi-parsing.sh; prompt-template/block/git-add-humanize.md; prompt-template/claude/next-round-footer.md
agent_18	4	10015	IMPL_PR_LOOP-HZ-018,IMPL_PR_LOOP-HZ-048,IMPL_PR_LOOP-HZ-078,IMPL_PR_LOOP-HZ-108	commands/cancel-rlcr-loop.md; tests/test-bash-validator-patterns.sh; prompt-template/block/git-not-clean-humanize-local.md; prompt-template/claude/next-round-prompt.md
agent_19	4	51562	IMPL_PR_LOOP-HZ-019,IMPL_PR_LOOP-HZ-049,IMPL_PR_LOOP-HZ-079,IMPL_PR_LOOP-HZ-109	commands/gen-plan.md; tests/test-cancel-signal-file.sh; prompt-template/block/git-not-clean-untracked.md; prompt-template/claude/post-alignment-action-items.md
agent_20	4	10958	IMPL_PR_LOOP-HZ-020,IMPL_PR_LOOP-HZ-050,IMPL_PR_LOOP-HZ-080,IMPL_PR_LOOP-HZ-110	commands/start-pr-loop.md; tests/test-error-scenarios.sh; prompt-template/block/git-not-clean.md; prompt-template/claude/push-every-round-note.md
agent_21	4	30259	IMPL_PR_LOOP-HZ-021,IMPL_PR_LOOP-HZ-051,IMPL_PR_LOOP-HZ-081,IMPL_PR_LOOP-HZ-111	commands/start-rlcr-loop.md; tests/test-finalize-phase.sh; prompt-template/block/git-push.md; prompt-template/codex/full-alignment-review.md
agent_22	4	24727	IMPL_PR_LOOP-HZ-022,IMPL_PR_LOOP-HZ-052,IMPL_PR_LOOP-HZ-082,IMPL_PR_LOOP-HZ-112	hooks/check-todos-from-transcript.py; tests/test-gen-plan.sh; prompt-template/block/git-status-failed.md; prompt-template/codex/goal-tracker-update-section.md
agent_23	4	8361	IMPL_PR_LOOP-HZ-023,IMPL_PR_LOOP-HZ-053,IMPL_PR_LOOP-HZ-083,IMPL_PR_LOOP-HZ-113	hooks/hooks.json; tests/test-helpers.sh; prompt-template/block/goal-tracker-bash-write.md; prompt-template/codex/regular-review.md
agent_24	4	31592	IMPL_PR_LOOP-HZ-024,IMPL_PR_LOOP-HZ-054,IMPL_PR_LOOP-HZ-084,IMPL_PR_LOOP-HZ-114	hooks/loop-bash-validator.sh; tests/test-humanize-escape.sh; prompt-template/block/goal-tracker-modification.md; prompt-template/pr-loop/codex-goal-tracker-update.md
agent_25	4	72106	IMPL_PR_LOOP-HZ-025,IMPL_PR_LOOP-HZ-055,IMPL_PR_LOOP-HZ-085,IMPL_PR_LOOP-HZ-115	hooks/loop-codex-stop-hook.sh; tests/test-monitor-e2e-real.sh; prompt-template/block/goal-tracker-not-initialized.md; prompt-template/pr-loop/critical-requirements-has-comments.md
agent_26	4	20251	IMPL_PR_LOOP-HZ-026,IMPL_PR_LOOP-HZ-056,IMPL_PR_LOOP-HZ-086,IMPL_PR_LOOP-HZ-116	hooks/loop-edit-validator.sh; tests/test-monitor-runtime.sh; prompt-template/block/incomplete-todos.md; prompt-template/pr-loop/critical-requirements-no-comments.md
agent_27	4	44574	IMPL_PR_LOOP-HZ-027,IMPL_PR_LOOP-HZ-057,IMPL_PR_LOOP-HZ-087,IMPL_PR_LOOP-HZ-117	hooks/loop-plan-file-validator.sh; tests/test-plan-file-hooks.sh; prompt-template/block/large-files.md; prompt-template/pr-loop/goal-tracker-initial.md
agent_28	4	28951	IMPL_PR_LOOP-HZ-028,IMPL_PR_LOOP-HZ-058,IMPL_PR_LOOP-HZ-088,IMPL_PR_LOOP-HZ-118	hooks/loop-read-validator.sh; tests/test-plan-file-validation.sh; prompt-template/block/no-trigger-comment.md; prompt-template/pr-loop/round-0-header.md
agent_29	4	62566	IMPL_PR_LOOP-HZ-029,IMPL_PR_LOOP-HZ-059,IMPL_PR_LOOP-HZ-089,IMPL_PR_LOOP-HZ-119	hooks/loop-write-validator.sh; tests/test-pr-loop-hooks.sh; prompt-template/block/plan-backup-protected.md; prompt-template/pr-loop/round-0-task-has-comments.md
agent_30	4	74488	IMPL_PR_LOOP-HZ-030,IMPL_PR_LOOP-HZ-060,IMPL_PR_LOOP-HZ-090,IMPL_PR_LOOP-HZ-120	hooks/pr-loop-stop-hook.sh; tests/test-pr-loop-lib.sh; prompt-template/block/plan-file-modified.md; prompt-template/pr-loop/round-0-task-no-comments.md
