item_id	checkbox_state	claim_state	assigned_agent	tmux_session	slot	path_type	path	dependencies	owned_path_scope	worker_output	master_status
IMPL_PR_LOOP-HZ-001	[ ]	unclaimed	agent_01	humanize_impl-pr-loop_1to1_20260619	01	directory	.		.	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_01/output.md	pending
IMPL_PR_LOOP-HZ-002	[ ]	unclaimed	agent_02	humanize_impl-pr-loop_1to1_20260619	02	directory	agents		agents	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_02/output.md	pending
IMPL_PR_LOOP-HZ-003	[ ]	unclaimed	agent_03	humanize_impl-pr-loop_1to1_20260619	03	directory	commands		commands	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_03/output.md	pending
IMPL_PR_LOOP-HZ-004	[ ]	unclaimed	agent_04	humanize_impl-pr-loop_1to1_20260619	04	directory	hooks		hooks	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_04/output.md	pending
IMPL_PR_LOOP-HZ-005	[ ]	unclaimed	agent_05	humanize_impl-pr-loop_1to1_20260619	05	directory	prompt-template		prompt-template	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_05/output.md	pending
IMPL_PR_LOOP-HZ-006	[ ]	unclaimed	agent_06	humanize_impl-pr-loop_1to1_20260619	06	directory	scripts		scripts	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_06/output.md	pending
IMPL_PR_LOOP-HZ-007	[ ]	unclaimed	agent_07	humanize_impl-pr-loop_1to1_20260619	07	directory	tests		tests	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_07/output.md	pending
IMPL_PR_LOOP-HZ-008	[ ]	unclaimed	agent_08	humanize_impl-pr-loop_1to1_20260619	08	file	README.md		README.md	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_08/output.md	pending
IMPL_PR_LOOP-HZ-009	[ ]	unclaimed	agent_09	humanize_impl-pr-loop_1to1_20260619	09	directory	hooks/lib		hooks/lib	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_09/output.md	pending
IMPL_PR_LOOP-HZ-010	[ ]	unclaimed	agent_10	humanize_impl-pr-loop_1to1_20260619	10	directory	prompt-template/block		prompt-template/block	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_10/output.md	pending
IMPL_PR_LOOP-HZ-011	[ ]	unclaimed	agent_11	humanize_impl-pr-loop_1to1_20260619	11	directory	prompt-template/claude		prompt-template/claude	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_11/output.md	pending
IMPL_PR_LOOP-HZ-012	[ ]	unclaimed	agent_12	humanize_impl-pr-loop_1to1_20260619	12	directory	prompt-template/codex		prompt-template/codex	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_12/output.md	pending
IMPL_PR_LOOP-HZ-013	[ ]	unclaimed	agent_13	humanize_impl-pr-loop_1to1_20260619	13	directory	prompt-template/pr-loop		prompt-template/pr-loop	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_13/output.md	pending
IMPL_PR_LOOP-HZ-014	[ ]	unclaimed	agent_14	humanize_impl-pr-loop_1to1_20260619	14	directory	scripts/lib		scripts/lib	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_14/output.md	pending
IMPL_PR_LOOP-HZ-015	[ ]	unclaimed	agent_15	humanize_impl-pr-loop_1to1_20260619	15	directory	tests/robustness		tests/robustness	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_15/output.md	pending
IMPL_PR_LOOP-HZ-016	[ ]	unclaimed	agent_16	humanize_impl-pr-loop_1to1_20260619	16	file	agents/draft-relevance-checker.md		agents/draft-relevance-checker.md	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_16/output.md	pending
IMPL_PR_LOOP-HZ-017	[ ]	unclaimed	agent_17	humanize_impl-pr-loop_1to1_20260619	17	file	commands/cancel-pr-loop.md		commands/cancel-pr-loop.md	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_17/output.md	pending
IMPL_PR_LOOP-HZ-018	[ ]	unclaimed	agent_18	humanize_impl-pr-loop_1to1_20260619	18	file	commands/cancel-rlcr-loop.md		commands/cancel-rlcr-loop.md	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_18/output.md	pending
IMPL_PR_LOOP-HZ-019	[ ]	unclaimed	agent_19	humanize_impl-pr-loop_1to1_20260619	19	file	commands/gen-plan.md		commands/gen-plan.md	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_19/output.md	pending
IMPL_PR_LOOP-HZ-020	[ ]	unclaimed	agent_20	humanize_impl-pr-loop_1to1_20260619	20	file	commands/start-pr-loop.md		commands/start-pr-loop.md	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_20/output.md	pending
IMPL_PR_LOOP-HZ-021	[ ]	unclaimed	agent_21	humanize_impl-pr-loop_1to1_20260619	21	file	commands/start-rlcr-loop.md		commands/start-rlcr-loop.md	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_21/output.md	pending
IMPL_PR_LOOP-HZ-022	[ ]	unclaimed	agent_22	humanize_impl-pr-loop_1to1_20260619	22	file	hooks/check-todos-from-transcript.py		hooks/check-todos-from-transcript.py	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_22/output.md	pending
IMPL_PR_LOOP-HZ-023	[ ]	unclaimed	agent_23	humanize_impl-pr-loop_1to1_20260619	23	file	hooks/hooks.json		hooks/hooks.json	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_23/output.md	pending
IMPL_PR_LOOP-HZ-024	[ ]	unclaimed	agent_24	humanize_impl-pr-loop_1to1_20260619	24	file	hooks/loop-bash-validator.sh		hooks/loop-bash-validator.sh	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_24/output.md	pending
IMPL_PR_LOOP-HZ-025	[ ]	unclaimed	agent_25	humanize_impl-pr-loop_1to1_20260619	25	file	hooks/loop-codex-stop-hook.sh		hooks/loop-codex-stop-hook.sh	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_25/output.md	pending
IMPL_PR_LOOP-HZ-026	[ ]	unclaimed	agent_26	humanize_impl-pr-loop_1to1_20260619	26	file	hooks/loop-edit-validator.sh		hooks/loop-edit-validator.sh	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_26/output.md	pending
IMPL_PR_LOOP-HZ-027	[ ]	unclaimed	agent_27	humanize_impl-pr-loop_1to1_20260619	27	file	hooks/loop-plan-file-validator.sh		hooks/loop-plan-file-validator.sh	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_27/output.md	pending
IMPL_PR_LOOP-HZ-028	[ ]	unclaimed	agent_28	humanize_impl-pr-loop_1to1_20260619	28	file	hooks/loop-read-validator.sh		hooks/loop-read-validator.sh	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_28/output.md	pending
IMPL_PR_LOOP-HZ-029	[ ]	unclaimed	agent_29	humanize_impl-pr-loop_1to1_20260619	29	file	hooks/loop-write-validator.sh		hooks/loop-write-validator.sh	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_29/output.md	pending
IMPL_PR_LOOP-HZ-030	[ ]	unclaimed	agent_30	humanize_impl-pr-loop_1to1_20260619	30	file	hooks/pr-loop-stop-hook.sh		hooks/pr-loop-stop-hook.sh	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_30/output.md	pending
IMPL_PR_LOOP-HZ-031	[ ]	unclaimed	agent_01	humanize_impl-pr-loop_1to1_20260619	01	file	scripts/cancel-pr-loop.sh		scripts/cancel-pr-loop.sh	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_01/output.md	pending
IMPL_PR_LOOP-HZ-032	[ ]	unclaimed	agent_02	humanize_impl-pr-loop_1to1_20260619	02	file	scripts/cancel-rlcr-loop.sh		scripts/cancel-rlcr-loop.sh	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_02/output.md	pending
IMPL_PR_LOOP-HZ-033	[ ]	unclaimed	agent_03	humanize_impl-pr-loop_1to1_20260619	03	file	scripts/check-bot-reactions.sh		scripts/check-bot-reactions.sh	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_03/output.md	pending
IMPL_PR_LOOP-HZ-034	[ ]	unclaimed	agent_04	humanize_impl-pr-loop_1to1_20260619	04	file	scripts/check-pr-reviewer-status.sh		scripts/check-pr-reviewer-status.sh	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_04/output.md	pending
IMPL_PR_LOOP-HZ-035	[ ]	unclaimed	agent_05	humanize_impl-pr-loop_1to1_20260619	05	file	scripts/fetch-pr-comments.sh		scripts/fetch-pr-comments.sh	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_05/output.md	pending
IMPL_PR_LOOP-HZ-036	[ ]	unclaimed	agent_06	humanize_impl-pr-loop_1to1_20260619	06	file	scripts/humanize.sh		scripts/humanize.sh	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_06/output.md	pending
IMPL_PR_LOOP-HZ-037	[ ]	unclaimed	agent_07	humanize_impl-pr-loop_1to1_20260619	07	file	scripts/poll-pr-reviews.sh		scripts/poll-pr-reviews.sh	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_07/output.md	pending
IMPL_PR_LOOP-HZ-038	[ ]	unclaimed	agent_08	humanize_impl-pr-loop_1to1_20260619	08	file	scripts/portable-timeout.sh		scripts/portable-timeout.sh	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_08/output.md	pending
IMPL_PR_LOOP-HZ-039	[ ]	unclaimed	agent_09	humanize_impl-pr-loop_1to1_20260619	09	file	scripts/setup-pr-loop.sh		scripts/setup-pr-loop.sh	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_09/output.md	pending
IMPL_PR_LOOP-HZ-040	[ ]	unclaimed	agent_10	humanize_impl-pr-loop_1to1_20260619	10	file	scripts/setup-rlcr-loop.sh		scripts/setup-rlcr-loop.sh	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_10/output.md	pending
IMPL_PR_LOOP-HZ-041	[ ]	unclaimed	agent_11	humanize_impl-pr-loop_1to1_20260619	11	file	scripts/validate-gen-plan-io.sh		scripts/validate-gen-plan-io.sh	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_11/output.md	pending
IMPL_PR_LOOP-HZ-042	[ ]	unclaimed	agent_12	humanize_impl-pr-loop_1to1_20260619	12	file	tests/manual-monitor-test.sh		tests/manual-monitor-test.sh	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_12/output.md	pending
IMPL_PR_LOOP-HZ-043	[ ]	unclaimed	agent_13	humanize_impl-pr-loop_1to1_20260619	13	file	tests/run-all-tests.sh		tests/run-all-tests.sh	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_13/output.md	pending
IMPL_PR_LOOP-HZ-044	[ ]	unclaimed	agent_14	humanize_impl-pr-loop_1to1_20260619	14	file	tests/setup-fixture-mock-gh.sh		tests/setup-fixture-mock-gh.sh	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_14/output.md	pending
IMPL_PR_LOOP-HZ-045	[ ]	unclaimed	agent_15	humanize_impl-pr-loop_1to1_20260619	15	file	tests/setup-monitor-test-env.sh		tests/setup-monitor-test-env.sh	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_15/output.md	pending
IMPL_PR_LOOP-HZ-046	[ ]	unclaimed	agent_16	humanize_impl-pr-loop_1to1_20260619	16	file	tests/test-allowlist-validators.sh		tests/test-allowlist-validators.sh	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_16/output.md	pending
IMPL_PR_LOOP-HZ-047	[ ]	unclaimed	agent_17	humanize_impl-pr-loop_1to1_20260619	17	file	tests/test-ansi-parsing.sh		tests/test-ansi-parsing.sh	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_17/output.md	pending
IMPL_PR_LOOP-HZ-048	[ ]	unclaimed	agent_18	humanize_impl-pr-loop_1to1_20260619	18	file	tests/test-bash-validator-patterns.sh		tests/test-bash-validator-patterns.sh	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_18/output.md	pending
IMPL_PR_LOOP-HZ-049	[ ]	unclaimed	agent_19	humanize_impl-pr-loop_1to1_20260619	19	file	tests/test-cancel-signal-file.sh		tests/test-cancel-signal-file.sh	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_19/output.md	pending
IMPL_PR_LOOP-HZ-050	[ ]	unclaimed	agent_20	humanize_impl-pr-loop_1to1_20260619	20	file	tests/test-error-scenarios.sh		tests/test-error-scenarios.sh	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_20/output.md	pending
IMPL_PR_LOOP-HZ-051	[ ]	unclaimed	agent_21	humanize_impl-pr-loop_1to1_20260619	21	file	tests/test-finalize-phase.sh		tests/test-finalize-phase.sh	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_21/output.md	pending
IMPL_PR_LOOP-HZ-052	[ ]	unclaimed	agent_22	humanize_impl-pr-loop_1to1_20260619	22	file	tests/test-gen-plan.sh		tests/test-gen-plan.sh	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_22/output.md	pending
IMPL_PR_LOOP-HZ-053	[ ]	unclaimed	agent_23	humanize_impl-pr-loop_1to1_20260619	23	file	tests/test-helpers.sh		tests/test-helpers.sh	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_23/output.md	pending
IMPL_PR_LOOP-HZ-054	[ ]	unclaimed	agent_24	humanize_impl-pr-loop_1to1_20260619	24	file	tests/test-humanize-escape.sh		tests/test-humanize-escape.sh	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_24/output.md	pending
IMPL_PR_LOOP-HZ-055	[ ]	unclaimed	agent_25	humanize_impl-pr-loop_1to1_20260619	25	file	tests/test-monitor-e2e-real.sh		tests/test-monitor-e2e-real.sh	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_25/output.md	pending
IMPL_PR_LOOP-HZ-056	[ ]	unclaimed	agent_26	humanize_impl-pr-loop_1to1_20260619	26	file	tests/test-monitor-runtime.sh		tests/test-monitor-runtime.sh	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_26/output.md	pending
IMPL_PR_LOOP-HZ-057	[ ]	unclaimed	agent_27	humanize_impl-pr-loop_1to1_20260619	27	file	tests/test-plan-file-hooks.sh		tests/test-plan-file-hooks.sh	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_27/output.md	pending
IMPL_PR_LOOP-HZ-058	[ ]	unclaimed	agent_28	humanize_impl-pr-loop_1to1_20260619	28	file	tests/test-plan-file-validation.sh		tests/test-plan-file-validation.sh	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_28/output.md	pending
IMPL_PR_LOOP-HZ-059	[ ]	unclaimed	agent_29	humanize_impl-pr-loop_1to1_20260619	29	file	tests/test-pr-loop-hooks.sh		tests/test-pr-loop-hooks.sh	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_29/output.md	pending
IMPL_PR_LOOP-HZ-060	[ ]	unclaimed	agent_30	humanize_impl-pr-loop_1to1_20260619	30	file	tests/test-pr-loop-lib.sh		tests/test-pr-loop-lib.sh	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_30/output.md	pending
IMPL_PR_LOOP-HZ-061	[ ]	unclaimed	agent_01	humanize_impl-pr-loop_1to1_20260619	01	file	tests/test-pr-loop-scripts.sh		tests/test-pr-loop-scripts.sh	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_01/output.md	pending
IMPL_PR_LOOP-HZ-062	[ ]	unclaimed	agent_02	humanize_impl-pr-loop_1to1_20260619	02	file	tests/test-pr-loop-stophook.sh		tests/test-pr-loop-stophook.sh	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_02/output.md	pending
IMPL_PR_LOOP-HZ-063	[ ]	unclaimed	agent_03	humanize_impl-pr-loop_1to1_20260619	03	file	tests/test-pr-loop-system.sh		tests/test-pr-loop-system.sh	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_03/output.md	pending
IMPL_PR_LOOP-HZ-064	[ ]	unclaimed	agent_04	humanize_impl-pr-loop_1to1_20260619	04	file	tests/test-pr-loop.sh		tests/test-pr-loop.sh	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_04/output.md	pending
IMPL_PR_LOOP-HZ-065	[ ]	unclaimed	agent_05	humanize_impl-pr-loop_1to1_20260619	05	file	tests/test-state-exit-naming.sh		tests/test-state-exit-naming.sh	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_05/output.md	pending
