agent	item_count	total_bytes	item_ids	paths
agent_01	5	1140746	IMPROVE_GEN_PLAN_COMMAND-HZ-001,IMPROVE_GEN_PLAN_COMMAND-HZ-031,IMPROVE_GEN_PLAN_COMMAND-HZ-061,IMPROVE_GEN_PLAN_COMMAND-HZ-091,IMPROVE_GEN_PLAN_COMMAND-HZ-121	.; scripts/cancel-pr-loop.sh; tests/test-pr-loop-scripts.sh; prompt-template/block/pr-loop-prompt-write.md; scripts/lib/monitor-common.sh
agent_02	5	76578	IMPROVE_GEN_PLAN_COMMAND-HZ-002,IMPROVE_GEN_PLAN_COMMAND-HZ-032,IMPROVE_GEN_PLAN_COMMAND-HZ-062,IMPROVE_GEN_PLAN_COMMAND-HZ-092,IMPROVE_GEN_PLAN_COMMAND-HZ-122	agents; scripts/cancel-rlcr-loop.sh; tests/test-pr-loop-stophook.sh; prompt-template/block/pr-loop-state-modification.md; tests/robustness/test-cancel-security-robustness.sh
agent_03	5	111439	IMPROVE_GEN_PLAN_COMMAND-HZ-003,IMPROVE_GEN_PLAN_COMMAND-HZ-033,IMPROVE_GEN_PLAN_COMMAND-HZ-063,IMPROVE_GEN_PLAN_COMMAND-HZ-093,IMPROVE_GEN_PLAN_COMMAND-HZ-123	commands; scripts/check-bot-reactions.sh; tests/test-pr-loop-system.sh; prompt-template/block/prompt-file-write.md; tests/robustness/test-git-operations-robustness.sh
agent_04	5	238504	IMPROVE_GEN_PLAN_COMMAND-HZ-004,IMPROVE_GEN_PLAN_COMMAND-HZ-034,IMPROVE_GEN_PLAN_COMMAND-HZ-064,IMPROVE_GEN_PLAN_COMMAND-HZ-094,IMPROVE_GEN_PLAN_COMMAND-HZ-124	hooks; scripts/check-pr-reviewer-status.sh; tests/test-pr-loop.sh; prompt-template/block/schema-outdated.md; tests/robustness/test-goal-tracker-robustness.sh
agent_05	5	80416	IMPROVE_GEN_PLAN_COMMAND-HZ-005,IMPROVE_GEN_PLAN_COMMAND-HZ-035,IMPROVE_GEN_PLAN_COMMAND-HZ-065,IMPROVE_GEN_PLAN_COMMAND-HZ-095,IMPROVE_GEN_PLAN_COMMAND-HZ-125	prompt-template; scripts/fetch-pr-comments.sh; tests/test-state-exit-naming.sh; prompt-template/block/state-file-modification.md; tests/robustness/test-hook-input-robustness.sh
agent_06	5	274827	IMPROVE_GEN_PLAN_COMMAND-HZ-006,IMPROVE_GEN_PLAN_COMMAND-HZ-036,IMPROVE_GEN_PLAN_COMMAND-HZ-066,IMPROVE_GEN_PLAN_COMMAND-HZ-096,IMPROVE_GEN_PLAN_COMMAND-HZ-126	scripts; scripts/humanize.sh; tests/test-template-loader.sh; prompt-template/block/summary-bash-write.md; tests/robustness/test-path-validation-robustness.sh
agent_07	5	678152	IMPROVE_GEN_PLAN_COMMAND-HZ-007,IMPROVE_GEN_PLAN_COMMAND-HZ-037,IMPROVE_GEN_PLAN_COMMAND-HZ-067,IMPROVE_GEN_PLAN_COMMAND-HZ-097,IMPROVE_GEN_PLAN_COMMAND-HZ-127	tests; scripts/poll-pr-reviews.sh; tests/test-template-references.sh; prompt-template/block/todos-file-access.md; tests/robustness/test-plan-file-robustness.sh
agent_08	5	38299	IMPROVE_GEN_PLAN_COMMAND-HZ-008,IMPROVE_GEN_PLAN_COMMAND-HZ-038,IMPROVE_GEN_PLAN_COMMAND-HZ-068,IMPROVE_GEN_PLAN_COMMAND-HZ-098,IMPROVE_GEN_PLAN_COMMAND-HZ-128	README.md; scripts/portable-timeout.sh; tests/test-templates-comprehensive.sh; prompt-template/block/unpushed-commits.md; tests/robustness/test-session-robustness.sh
agent_09	5	103840	IMPROVE_GEN_PLAN_COMMAND-HZ-009,IMPROVE_GEN_PLAN_COMMAND-HZ-039,IMPROVE_GEN_PLAN_COMMAND-HZ-069,IMPROVE_GEN_PLAN_COMMAND-HZ-099,IMPROVE_GEN_PLAN_COMMAND-HZ-129	hooks/lib; scripts/setup-pr-loop.sh; tests/test-todo-checker.sh; prompt-template/block/work-summary-missing.md; tests/robustness/test-state-file-robustness.sh
agent_10	5	61079	IMPROVE_GEN_PLAN_COMMAND-HZ-010,IMPROVE_GEN_PLAN_COMMAND-HZ-040,IMPROVE_GEN_PLAN_COMMAND-HZ-070,IMPROVE_GEN_PLAN_COMMAND-HZ-100,IMPROVE_GEN_PLAN_COMMAND-HZ-130	prompt-template/block; scripts/setup-rlcr-loop.sh; tests/test-zsh-monitor-safety.sh; prompt-template/block/wrong-directory-path.md; tests/robustness/test-template-stress-robustness.sh
agent_11	5	61182	IMPROVE_GEN_PLAN_COMMAND-HZ-011,IMPROVE_GEN_PLAN_COMMAND-HZ-041,IMPROVE_GEN_PLAN_COMMAND-HZ-071,IMPROVE_GEN_PLAN_COMMAND-HZ-101,IMPROVE_GEN_PLAN_COMMAND-HZ-131	prompt-template/claude; scripts/validate-gen-plan-io.sh; hooks/lib/loop-common.sh; prompt-template/block/wrong-file-location.md; tests/robustness/test-timeout-robustness.sh
agent_12	4	19085	IMPROVE_GEN_PLAN_COMMAND-HZ-012,IMPROVE_GEN_PLAN_COMMAND-HZ-042,IMPROVE_GEN_PLAN_COMMAND-HZ-072,IMPROVE_GEN_PLAN_COMMAND-HZ-102	prompt-template/codex; tests/manual-monitor-test.sh; hooks/lib/template-loader.sh; prompt-template/block/wrong-round-file.md
agent_13	4	12008	IMPROVE_GEN_PLAN_COMMAND-HZ-013,IMPROVE_GEN_PLAN_COMMAND-HZ-043,IMPROVE_GEN_PLAN_COMMAND-HZ-073,IMPROVE_GEN_PLAN_COMMAND-HZ-103	prompt-template/pr-loop; tests/run-all-tests.sh; prompt-template/block/claude-eyes-timeout.md; prompt-template/block/wrong-round-number.md
agent_14	4	20846	IMPROVE_GEN_PLAN_COMMAND-HZ-014,IMPROVE_GEN_PLAN_COMMAND-HZ-044,IMPROVE_GEN_PLAN_COMMAND-HZ-074,IMPROVE_GEN_PLAN_COMMAND-HZ-104	scripts/lib; tests/setup-fixture-mock-gh.sh; prompt-template/block/codex-review-failed.md; prompt-template/block/wrong-summary-location.md
agent_15	4	135206	IMPROVE_GEN_PLAN_COMMAND-HZ-015,IMPROVE_GEN_PLAN_COMMAND-HZ-045,IMPROVE_GEN_PLAN_COMMAND-HZ-075,IMPROVE_GEN_PLAN_COMMAND-HZ-105	tests/robustness; tests/setup-monitor-test-env.sh; prompt-template/block/finalize-state-file-modification.md; prompt-template/claude/finalize-phase-prompt.md
agent_16	4	17564	IMPROVE_GEN_PLAN_COMMAND-HZ-016,IMPROVE_GEN_PLAN_COMMAND-HZ-046,IMPROVE_GEN_PLAN_COMMAND-HZ-076,IMPROVE_GEN_PLAN_COMMAND-HZ-106	agents/draft-relevance-checker.md; tests/test-allowlist-validators.sh; prompt-template/block/force-push-detected.md; prompt-template/claude/goal-tracker-update-request.md
agent_17	4	8344	IMPROVE_GEN_PLAN_COMMAND-HZ-017,IMPROVE_GEN_PLAN_COMMAND-HZ-047,IMPROVE_GEN_PLAN_COMMAND-HZ-077,IMPROVE_GEN_PLAN_COMMAND-HZ-107	commands/cancel-pr-loop.md; tests/test-ansi-parsing.sh; prompt-template/block/git-add-humanize.md; prompt-template/claude/next-round-footer.md
agent_18	4	10015	IMPROVE_GEN_PLAN_COMMAND-HZ-018,IMPROVE_GEN_PLAN_COMMAND-HZ-048,IMPROVE_GEN_PLAN_COMMAND-HZ-078,IMPROVE_GEN_PLAN_COMMAND-HZ-108	commands/cancel-rlcr-loop.md; tests/test-bash-validator-patterns.sh; prompt-template/block/git-not-clean-humanize-local.md; prompt-template/claude/next-round-prompt.md
agent_19	4	53048	IMPROVE_GEN_PLAN_COMMAND-HZ-019,IMPROVE_GEN_PLAN_COMMAND-HZ-049,IMPROVE_GEN_PLAN_COMMAND-HZ-079,IMPROVE_GEN_PLAN_COMMAND-HZ-109	commands/gen-plan.md; tests/test-cancel-signal-file.sh; prompt-template/block/git-not-clean-untracked.md; prompt-template/claude/post-alignment-action-items.md
agent_20	4	10958	IMPROVE_GEN_PLAN_COMMAND-HZ-020,IMPROVE_GEN_PLAN_COMMAND-HZ-050,IMPROVE_GEN_PLAN_COMMAND-HZ-080,IMPROVE_GEN_PLAN_COMMAND-HZ-110	commands/start-pr-loop.md; tests/test-error-scenarios.sh; prompt-template/block/git-not-clean.md; prompt-template/claude/push-every-round-note.md
agent_21	4	30259	IMPROVE_GEN_PLAN_COMMAND-HZ-021,IMPROVE_GEN_PLAN_COMMAND-HZ-051,IMPROVE_GEN_PLAN_COMMAND-HZ-081,IMPROVE_GEN_PLAN_COMMAND-HZ-111	commands/start-rlcr-loop.md; tests/test-finalize-phase.sh; prompt-template/block/git-push.md; prompt-template/codex/full-alignment-review.md
agent_22	4	24727	IMPROVE_GEN_PLAN_COMMAND-HZ-022,IMPROVE_GEN_PLAN_COMMAND-HZ-052,IMPROVE_GEN_PLAN_COMMAND-HZ-082,IMPROVE_GEN_PLAN_COMMAND-HZ-112	hooks/check-todos-from-transcript.py; tests/test-gen-plan.sh; prompt-template/block/git-status-failed.md; prompt-template/codex/goal-tracker-update-section.md
agent_23	4	8361	IMPROVE_GEN_PLAN_COMMAND-HZ-023,IMPROVE_GEN_PLAN_COMMAND-HZ-053,IMPROVE_GEN_PLAN_COMMAND-HZ-083,IMPROVE_GEN_PLAN_COMMAND-HZ-113	hooks/hooks.json; tests/test-helpers.sh; prompt-template/block/goal-tracker-bash-write.md; prompt-template/codex/regular-review.md
agent_24	4	31592	IMPROVE_GEN_PLAN_COMMAND-HZ-024,IMPROVE_GEN_PLAN_COMMAND-HZ-054,IMPROVE_GEN_PLAN_COMMAND-HZ-084,IMPROVE_GEN_PLAN_COMMAND-HZ-114	hooks/loop-bash-validator.sh; tests/test-humanize-escape.sh; prompt-template/block/goal-tracker-modification.md; prompt-template/pr-loop/codex-goal-tracker-update.md
agent_25	4	72106	IMPROVE_GEN_PLAN_COMMAND-HZ-025,IMPROVE_GEN_PLAN_COMMAND-HZ-055,IMPROVE_GEN_PLAN_COMMAND-HZ-085,IMPROVE_GEN_PLAN_COMMAND-HZ-115	hooks/loop-codex-stop-hook.sh; tests/test-monitor-e2e-real.sh; prompt-template/block/goal-tracker-not-initialized.md; prompt-template/pr-loop/critical-requirements-has-comments.md
agent_26	4	20251	IMPROVE_GEN_PLAN_COMMAND-HZ-026,IMPROVE_GEN_PLAN_COMMAND-HZ-056,IMPROVE_GEN_PLAN_COMMAND-HZ-086,IMPROVE_GEN_PLAN_COMMAND-HZ-116	hooks/loop-edit-validator.sh; tests/test-monitor-runtime.sh; prompt-template/block/incomplete-todos.md; prompt-template/pr-loop/critical-requirements-no-comments.md
agent_27	4	44574	IMPROVE_GEN_PLAN_COMMAND-HZ-027,IMPROVE_GEN_PLAN_COMMAND-HZ-057,IMPROVE_GEN_PLAN_COMMAND-HZ-087,IMPROVE_GEN_PLAN_COMMAND-HZ-117	hooks/loop-plan-file-validator.sh; tests/test-plan-file-hooks.sh; prompt-template/block/large-files.md; prompt-template/pr-loop/goal-tracker-initial.md
agent_28	4	28951	IMPROVE_GEN_PLAN_COMMAND-HZ-028,IMPROVE_GEN_PLAN_COMMAND-HZ-058,IMPROVE_GEN_PLAN_COMMAND-HZ-088,IMPROVE_GEN_PLAN_COMMAND-HZ-118	hooks/loop-read-validator.sh; tests/test-plan-file-validation.sh; prompt-template/block/no-trigger-comment.md; prompt-template/pr-loop/round-0-header.md
agent_29	4	62566	IMPROVE_GEN_PLAN_COMMAND-HZ-029,IMPROVE_GEN_PLAN_COMMAND-HZ-059,IMPROVE_GEN_PLAN_COMMAND-HZ-089,IMPROVE_GEN_PLAN_COMMAND-HZ-119	hooks/loop-write-validator.sh; tests/test-pr-loop-hooks.sh; prompt-template/block/plan-backup-protected.md; prompt-template/pr-loop/round-0-task-has-comments.md
