item_id	path_type	path	assigned_agent	bytes	sha16	depth	core_descendant_files	reason
IMPROVE_GEN_PLAN_COMMAND-HZ-001	directory	.	agent_01	1106981	-	0	117	directory contains included core algorithm descendant(s)
IMPROVE_GEN_PLAN_COMMAND-HZ-002	directory	agents	agent_02	1788	-	1	1	directory contains included core algorithm descendant(s)
IMPROVE_GEN_PLAN_COMMAND-HZ-003	directory	commands	agent_03	18659	-	1	5	directory contains included core algorithm descendant(s)
IMPROVE_GEN_PLAN_COMMAND-HZ-004	directory	hooks	agent_04	213007	-	1	11	directory contains included core algorithm descendant(s)
IMPROVE_GEN_PLAN_COMMAND-HZ-005	directory	prompt-template	agent_05	34258	-	1	48	directory contains included core algorithm descendant(s)
IMPROVE_GEN_PLAN_COMMAND-HZ-006	directory	scripts	agent_06	186923	-	1	12	directory contains included core algorithm descendant(s)
IMPROVE_GEN_PLAN_COMMAND-HZ-007	directory	tests	agent_07	646497	-	1	39	directory contains included core algorithm descendant(s)
IMPROVE_GEN_PLAN_COMMAND-HZ-008	file	README.md	agent_08	5849	a207bfce2ccfc4ed	0		behavior-defining documentation for workflow/state-machine algorithms
IMPROVE_GEN_PLAN_COMMAND-HZ-009	directory	hooks/lib	agent_09	52077	-	2	2	directory contains included core algorithm descendant(s)
IMPROVE_GEN_PLAN_COMMAND-HZ-010	directory	prompt-template/block	agent_10	14011	-	2	32	directory contains included core algorithm descendant(s)
IMPROVE_GEN_PLAN_COMMAND-HZ-011	directory	prompt-template/claude	agent_11	4385	-	2	6	directory contains included core algorithm descendant(s)
IMPROVE_GEN_PLAN_COMMAND-HZ-012	directory	prompt-template/codex	agent_12	9101	-	2	3	directory contains included core algorithm descendant(s)
IMPROVE_GEN_PLAN_COMMAND-HZ-013	directory	prompt-template/pr-loop	agent_13	6761	-	2	7	directory contains included core algorithm descendant(s)
IMPROVE_GEN_PLAN_COMMAND-HZ-014	directory	scripts/lib	agent_14	17436	-	2	1	directory contains included core algorithm descendant(s)
IMPROVE_GEN_PLAN_COMMAND-HZ-015	directory	tests/robustness	agent_15	131146	-	2	10	directory contains included core algorithm descendant(s)
IMPROVE_GEN_PLAN_COMMAND-HZ-016	file	agents/draft-relevance-checker.md	agent_16	1788	98f5a6a069791828	2		agent prompt/policy file defining review or planning behavior
IMPROVE_GEN_PLAN_COMMAND-HZ-017	file	commands/cancel-pr-loop.md	agent_17	953	41a045601d93d8d6	2		command workflow definition for plan/RLCR algorithms
IMPROVE_GEN_PLAN_COMMAND-HZ-018	file	commands/cancel-rlcr-loop.md	agent_18	1914	2a8faafa5889ed98	2		command workflow definition for plan/RLCR algorithms
IMPROVE_GEN_PLAN_COMMAND-HZ-019	file	commands/gen-plan.md	agent_19	10983	577518a65311add8	2		command workflow definition for plan/RLCR algorithms
IMPROVE_GEN_PLAN_COMMAND-HZ-020	file	commands/start-pr-loop.md	agent_20	2349	f1323861df02ee34	2		command workflow definition for plan/RLCR algorithms
IMPROVE_GEN_PLAN_COMMAND-HZ-021	file	commands/start-rlcr-loop.md	agent_21	2460	5eb5746c795cd857	2		command workflow definition for plan/RLCR algorithms
IMPROVE_GEN_PLAN_COMMAND-HZ-022	file	hooks/check-todos-from-transcript.py	agent_22	4496	ec13bdb525fa510b	2		hook or validator implementation for the RLCR state machine
IMPROVE_GEN_PLAN_COMMAND-HZ-023	file	hooks/hooks.json	agent_23	1580	5912ec1581ea1300	2		hook or validator implementation for the RLCR state machine
IMPROVE_GEN_PLAN_COMMAND-HZ-024	file	hooks/loop-bash-validator.sh	agent_24	16755	80308f37175151ec	2		hook or validator implementation for the RLCR state machine
