item_id	path_type	path	included	assigned_agent	bytes	sha16	depth	core_descendant_files	reason
IMPROVE_MONITOR_SCRIPT-HZ-001	directory	.	yes	agent_01	344306	-	0	61	directory contains included core algorithm descendant(s)
IMPROVE_MONITOR_SCRIPT-SKIP-001	directory	.claude	no		0	-	1	0	directory only contains skipped non-core files
IMPROVE_MONITOR_SCRIPT-SKIP-002	directory	.claude-plugin	no		0	-	1	0	directory only contains skipped non-core files
IMPROVE_MONITOR_SCRIPT-SKIP-003	directory	.github	no		0	-	1	0	directory only contains skipped non-core files
IMPROVE_MONITOR_SCRIPT-HZ-002	directory	commands	yes	agent_02	3721	-	1	2	directory contains included core algorithm descendant(s)
IMPROVE_MONITOR_SCRIPT-HZ-003	directory	hooks	yes	agent_03	90245	-	1	10	directory contains included core algorithm descendant(s)
IMPROVE_MONITOR_SCRIPT-HZ-004	directory	prompt-template	yes	agent_04	21768	-	1	33	directory contains included core algorithm descendant(s)
IMPROVE_MONITOR_SCRIPT-HZ-005	directory	scripts	yes	agent_05	56399	-	1	3	directory contains included core algorithm descendant(s)
IMPROVE_MONITOR_SCRIPT-HZ-006	directory	tests	yes	agent_06	162577	-	1	12	directory contains included core algorithm descendant(s)
IMPROVE_MONITOR_SCRIPT-SKIP-004	file	.gitignore	no		120	ce8146019ad5a484	0		metadata only; not algorithm behavior
IMPROVE_MONITOR_SCRIPT-HZ-007	file	README.md	yes	agent_07	9596	446527a785b9c176	0		behavior-defining documentation for workflow/state-machine algorithms
IMPROVE_MONITOR_SCRIPT-SKIP-005	directory	.github/workflows	no		0	-	2	0	directory only contains skipped non-core files
IMPROVE_MONITOR_SCRIPT-HZ-008	directory	hooks/lib	yes	agent_08	19425	-	2	2	directory contains included core algorithm descendant(s)
IMPROVE_MONITOR_SCRIPT-HZ-009	directory	prompt-template/block	yes	agent_09	9932	-	2	25	directory contains included core algorithm descendant(s)
IMPROVE_MONITOR_SCRIPT-HZ-010	directory	prompt-template/claude	yes	agent_10	2735	-	2	5	directory contains included core algorithm descendant(s)
IMPROVE_MONITOR_SCRIPT-HZ-011	directory	prompt-template/codex	yes	agent_11	9101	-	2	3	directory contains included core algorithm descendant(s)
IMPROVE_MONITOR_SCRIPT-SKIP-006	file	.claude-plugin/marketplace.json	no		425	88a3c3aa70de5432	2		plugin packaging metadata; not core algorithm runtime or specification
IMPROVE_MONITOR_SCRIPT-SKIP-007	file	.claude-plugin/plugin.json	no		636	abaca700c7982cb8	2		plugin packaging metadata; not core algorithm runtime or specification
IMPROVE_MONITOR_SCRIPT-SKIP-008	file	.claude/CLAUDE.md	no		1094	ab7cba265c836798	2		local assistant instruction surface; not repository algorithm behavior
IMPROVE_MONITOR_SCRIPT-HZ-012	file	commands/cancel-rlcr-loop.md	yes	agent_12	1311	9d2695eba56eab1b	2		command workflow definition for plan/RLCR algorithms
IMPROVE_MONITOR_SCRIPT-HZ-013	file	commands/start-rlcr-loop.md	yes	agent_13	2410	005ee49d60ac9f36	2		command workflow definition for plan/RLCR algorithms
IMPROVE_MONITOR_SCRIPT-HZ-014	file	hooks/check-todos-from-transcript.py	yes	agent_14	4496	ec13bdb525fa510b	2		hook or validator implementation for the RLCR state machine
IMPROVE_MONITOR_SCRIPT-HZ-015	file	hooks/hooks.json	yes	agent_15	1402	acdbc9966d325548	2		hook or validator implementation for the RLCR state machine
IMPROVE_MONITOR_SCRIPT-HZ-016	file	hooks/loop-bash-validator.sh	yes	agent_16	4951	df6e4b18c4d45239	2		hook or validator implementation for the RLCR state machine
IMPROVE_MONITOR_SCRIPT-HZ-017	file	hooks/loop-codex-stop-hook.sh	yes	agent_17	37108	bc8fb4b61f24671c	2		hook or validator implementation for the RLCR state machine
IMPROVE_MONITOR_SCRIPT-HZ-018	file	hooks/loop-edit-validator.sh	yes	agent_18	4417	c143205611213c00	2		hook or validator implementation for the RLCR state machine
IMPROVE_MONITOR_SCRIPT-HZ-019	file	hooks/loop-plan-file-validator.sh	yes	agent_19	7671	a731feed2a8cfc43	2		hook or validator implementation for the RLCR state machine
IMPROVE_MONITOR_SCRIPT-HZ-020	file	hooks/loop-read-validator.sh	yes	agent_20	4407	1f3b4a1922c0fa29	2		hook or validator implementation for the RLCR state machine
IMPROVE_MONITOR_SCRIPT-HZ-021	file	hooks/loop-write-validator.sh	yes	agent_21	6368	e38d01e58338fa5d	2		hook or validator implementation for the RLCR state machine
IMPROVE_MONITOR_SCRIPT-HZ-022	file	scripts/humanize.sh	yes	agent_22	29644	84f4ba9939003554	2		runtime script implementing workflow, routing, monitor, validation, or state behavior
IMPROVE_MONITOR_SCRIPT-HZ-023	file	scripts/portable-timeout.sh	yes	agent_23	2116	0e35de1118d19699	2		runtime script implementing workflow, routing, monitor, validation, or state behavior
IMPROVE_MONITOR_SCRIPT-HZ-024	file	scripts/setup-rlcr-loop.sh	yes	agent_24	24639	fbb50664e29713a1	2		runtime script implementing workflow, routing, monitor, validation, or state behavior
IMPROVE_MONITOR_SCRIPT-HZ-025	file	tests/run-all-tests.sh	yes	agent_25	2710	b30e2b33b490a0bd	2		executable specification for core algorithm behavior
IMPROVE_MONITOR_SCRIPT-HZ-026	file	tests/test-allowlist-validators.sh	yes	agent_26	14573	96c979129fa57121	2		executable specification for core algorithm behavior
IMPROVE_MONITOR_SCRIPT-HZ-027	file	tests/test-ansi-parsing.sh	yes	agent_27	5801	1ce1261d36446df1	2		executable specification for core algorithm behavior
IMPROVE_MONITOR_SCRIPT-HZ-028	file	tests/test-bash-validator-patterns.sh	yes	agent_28	6658	8a01aab8994ab5f7	2		executable specification for core algorithm behavior
IMPROVE_MONITOR_SCRIPT-HZ-029	file	tests/test-error-scenarios.sh	yes	agent_29	7691	a3d02e87805da569	2		executable specification for core algorithm behavior
