agent	item_count	total_bytes	item_ids	paths
agent_01	3	367380	IMPROVE_MONITOR_SCRIPT-HZ-001,IMPROVE_MONITOR_SCRIPT-HZ-031,IMPROVE_MONITOR_SCRIPT-HZ-061	.; tests/test-plan-file-validation.sh; prompt-template/block/wrong-round-file.md
agent_02	3	12905	IMPROVE_MONITOR_SCRIPT-HZ-002,IMPROVE_MONITOR_SCRIPT-HZ-032,IMPROVE_MONITOR_SCRIPT-HZ-062	commands; tests/test-state-exit-naming.sh; prompt-template/block/wrong-round-number.md
agent_03	3	111644	IMPROVE_MONITOR_SCRIPT-HZ-003,IMPROVE_MONITOR_SCRIPT-HZ-033,IMPROVE_MONITOR_SCRIPT-HZ-063	hooks; tests/test-template-loader.sh; prompt-template/block/wrong-summary-location.md
agent_04	3	29436	IMPROVE_MONITOR_SCRIPT-HZ-004,IMPROVE_MONITOR_SCRIPT-HZ-034,IMPROVE_MONITOR_SCRIPT-HZ-064	prompt-template; tests/test-template-references.sh; prompt-template/claude/goal-tracker-update-request.md
agent_05	3	76842	IMPROVE_MONITOR_SCRIPT-HZ-005,IMPROVE_MONITOR_SCRIPT-HZ-035,IMPROVE_MONITOR_SCRIPT-HZ-065	scripts; tests/test-templates-comprehensive.sh; prompt-template/claude/next-round-footer.md
agent_06	3	174096	IMPROVE_MONITOR_SCRIPT-HZ-006,IMPROVE_MONITOR_SCRIPT-HZ-036,IMPROVE_MONITOR_SCRIPT-HZ-066	tests; tests/test-todo-checker.sh; prompt-template/claude/next-round-prompt.md
agent_07	3	22297	IMPROVE_MONITOR_SCRIPT-HZ-007,IMPROVE_MONITOR_SCRIPT-HZ-037,IMPROVE_MONITOR_SCRIPT-HZ-067	README.md; hooks/lib/loop-common.sh; prompt-template/claude/post-alignment-action-items.md
agent_08	3	26640	IMPROVE_MONITOR_SCRIPT-HZ-008,IMPROVE_MONITOR_SCRIPT-HZ-038,IMPROVE_MONITOR_SCRIPT-HZ-068	hooks/lib; hooks/lib/template-loader.sh; prompt-template/claude/push-every-round-note.md
agent_09	3	14529	IMPROVE_MONITOR_SCRIPT-HZ-009,IMPROVE_MONITOR_SCRIPT-HZ-039,IMPROVE_MONITOR_SCRIPT-HZ-069	prompt-template/block; prompt-template/block/codex-review-failed.md; prompt-template/codex/full-alignment-review.md
agent_10	3	4019	IMPROVE_MONITOR_SCRIPT-HZ-010,IMPROVE_MONITOR_SCRIPT-HZ-040,IMPROVE_MONITOR_SCRIPT-HZ-070	prompt-template/claude; prompt-template/block/git-not-clean-humanize-local.md; prompt-template/codex/goal-tracker-update-section.md
agent_11	3	13450	IMPROVE_MONITOR_SCRIPT-HZ-011,IMPROVE_MONITOR_SCRIPT-HZ-041,IMPROVE_MONITOR_SCRIPT-HZ-071	prompt-template/codex; prompt-template/block/git-not-clean-untracked.md; prompt-template/codex/regular-review.md
agent_12	2	2128	IMPROVE_MONITOR_SCRIPT-HZ-012,IMPROVE_MONITOR_SCRIPT-HZ-042	commands/cancel-rlcr-loop.md; prompt-template/block/git-not-clean.md
agent_13	2	2680	IMPROVE_MONITOR_SCRIPT-HZ-013,IMPROVE_MONITOR_SCRIPT-HZ-043	commands/start-rlcr-loop.md; prompt-template/block/git-push.md
agent_14	2	4822	IMPROVE_MONITOR_SCRIPT-HZ-014,IMPROVE_MONITOR_SCRIPT-HZ-044	hooks/check-todos-from-transcript.py; prompt-template/block/git-status-failed.md
agent_15	2	1691	IMPROVE_MONITOR_SCRIPT-HZ-015,IMPROVE_MONITOR_SCRIPT-HZ-045	hooks/hooks.json; prompt-template/block/goal-tracker-bash-write.md
agent_16	2	5743	IMPROVE_MONITOR_SCRIPT-HZ-016,IMPROVE_MONITOR_SCRIPT-HZ-046	hooks/loop-bash-validator.sh; prompt-template/block/goal-tracker-modification.md
agent_17	2	37815	IMPROVE_MONITOR_SCRIPT-HZ-017,IMPROVE_MONITOR_SCRIPT-HZ-047	hooks/loop-codex-stop-hook.sh; prompt-template/block/goal-tracker-not-initialized.md
agent_18	2	4859	IMPROVE_MONITOR_SCRIPT-HZ-018,IMPROVE_MONITOR_SCRIPT-HZ-048	hooks/loop-edit-validator.sh; prompt-template/block/incomplete-todos.md
agent_19	2	8759	IMPROVE_MONITOR_SCRIPT-HZ-019,IMPROVE_MONITOR_SCRIPT-HZ-049	hooks/loop-plan-file-validator.sh; prompt-template/block/large-files.md
agent_20	2	4666	IMPROVE_MONITOR_SCRIPT-HZ-020,IMPROVE_MONITOR_SCRIPT-HZ-050	hooks/loop-read-validator.sh; prompt-template/block/plan-backup-protected.md
agent_21	2	6751	IMPROVE_MONITOR_SCRIPT-HZ-021,IMPROVE_MONITOR_SCRIPT-HZ-051	hooks/loop-write-validator.sh; prompt-template/block/plan-file-modified.md
agent_22	2	30057	IMPROVE_MONITOR_SCRIPT-HZ-022,IMPROVE_MONITOR_SCRIPT-HZ-052	scripts/humanize.sh; prompt-template/block/prompt-file-write.md
agent_23	2	2510	IMPROVE_MONITOR_SCRIPT-HZ-023,IMPROVE_MONITOR_SCRIPT-HZ-053	scripts/portable-timeout.sh; prompt-template/block/schema-outdated.md
agent_24	2	24877	IMPROVE_MONITOR_SCRIPT-HZ-024,IMPROVE_MONITOR_SCRIPT-HZ-054	scripts/setup-rlcr-loop.sh; prompt-template/block/state-file-modification.md
agent_25	2	3012	IMPROVE_MONITOR_SCRIPT-HZ-025,IMPROVE_MONITOR_SCRIPT-HZ-055	tests/run-all-tests.sh; prompt-template/block/summary-bash-write.md
agent_26	2	14826	IMPROVE_MONITOR_SCRIPT-HZ-026,IMPROVE_MONITOR_SCRIPT-HZ-056	tests/test-allowlist-validators.sh; prompt-template/block/todos-file-access.md
agent_27	2	6149	IMPROVE_MONITOR_SCRIPT-HZ-027,IMPROVE_MONITOR_SCRIPT-HZ-057	tests/test-ansi-parsing.sh; prompt-template/block/unpushed-commits.md
