item_id	path_type	path	bytes	sha16	depth	reason
IMPROVE_MONITOR_SCRIPT-SKIP-001	directory	.claude	0	-	1	directory only contains skipped non-core files
IMPROVE_MONITOR_SCRIPT-SKIP-002	directory	.claude-plugin	0	-	1	directory only contains skipped non-core files
IMPROVE_MONITOR_SCRIPT-SKIP-003	directory	.github	0	-	1	directory only contains skipped non-core files
IMPROVE_MONITOR_SCRIPT-SKIP-004	file	.gitignore	120	ce8146019ad5a484	0	metadata only; not algorithm behavior
IMPROVE_MONITOR_SCRIPT-SKIP-005	directory	.github/workflows	0	-	2	directory only contains skipped non-core files
IMPROVE_MONITOR_SCRIPT-SKIP-006	file	.claude-plugin/marketplace.json	425	88a3c3aa70de5432	2	plugin packaging metadata; not core algorithm runtime or specification
IMPROVE_MONITOR_SCRIPT-SKIP-007	file	.claude-plugin/plugin.json	636	abaca700c7982cb8	2	plugin packaging metadata; not core algorithm runtime or specification
IMPROVE_MONITOR_SCRIPT-SKIP-008	file	.claude/CLAUDE.md	1094	ab7cba265c836798	2	local assistant instruction surface; not repository algorithm behavior
IMPROVE_MONITOR_SCRIPT-SKIP-009	file	.github/workflows/claude-code-review.yml	1491	180f9737d00889a9	3	CI workflow; not core algorithm runtime or specification
IMPROVE_MONITOR_SCRIPT-SKIP-010	file	.github/workflows/claude.yml	1943	61d9d6dda52e4b1b	3	CI workflow; not core algorithm runtime or specification
IMPROVE_MONITOR_SCRIPT-SKIP-011	file	.github/workflows/plan-file-test.yml	1454	330df3feaf8de805	3	CI workflow; not core algorithm runtime or specification
IMPROVE_MONITOR_SCRIPT-SKIP-012	file	.github/workflows/shell-syntax-check.yml	1700	37727577fefbef88	3	CI workflow; not core algorithm runtime or specification
IMPROVE_MONITOR_SCRIPT-SKIP-013	file	.github/workflows/template-test.yml	2150	f7bcd9ce40bf1809	3	CI workflow; not core algorithm runtime or specification
IMPROVE_MONITOR_SCRIPT-SKIP-014	file	.github/workflows/version-bump-check.yml	5615	5d58351e053c0df7	3	CI workflow; not core algorithm runtime or specification
