item_id	path_type	path	assigned_agent	bytes	sha16	depth	core_descendant_files	reason
HZ-001	directory	.	agent_01	1710486	-	0	176	directory contains included core algorithm descendant(s)
HZ-002	directory	agents	agent_02	12261	-	1	4	directory contains included core algorithm descendant(s)
HZ-003	directory	commands	agent_03	81130	-	1	5	directory contains included core algorithm descendant(s)
HZ-004	directory	config	agent_04	562	-	1	2	directory contains included core algorithm descendant(s)
HZ-005	directory	docs	agent_05	17553	-	1	2	directory contains included core algorithm descendant(s)
HZ-006	directory	hooks	agent_06	273941	-	1	14	directory contains included core algorithm descendant(s)
HZ-007	directory	prompt-template	agent_07	60894	-	1	64	directory contains included core algorithm descendant(s)
HZ-008	directory	scripts	agent_08	260657	-	1	18	directory contains included core algorithm descendant(s)
HZ-009	directory	skills	agent_09	25778	-	1	6	directory contains included core algorithm descendant(s)
HZ-010	directory	templates	agent_10	687	-	1	1	directory contains included core algorithm descendant(s)
HZ-011	directory	tests	agent_11	972913	-	1	59	directory contains included core algorithm descendant(s)
HZ-012	file	README.md	agent_12	4110	4b44ff91b7c47961	0		behavior-defining documentation for workflow/state-machine algorithms
HZ-013	directory	hooks/lib	agent_13	101773	-	2	5	directory contains included core algorithm descendant(s)
HZ-014	directory	prompt-template/block	agent_14	16588	-	2	42	directory contains included core algorithm descendant(s)
HZ-015	directory	prompt-template/claude	agent_15	22925	-	2	14	directory contains included core algorithm descendant(s)
HZ-016	directory	prompt-template/codex	agent_16	12759	-	2	5	directory contains included core algorithm descendant(s)
HZ-017	directory	prompt-template/idea	agent_17	356	-	2	1	directory contains included core algorithm descendant(s)
HZ-018	directory	prompt-template/plan	agent_18	8266	-	2	2	directory contains included core algorithm descendant(s)
HZ-019	directory	scripts/lib	agent_19	42166	-	2	4	directory contains included core algorithm descendant(s)
HZ-020	directory	skills/ask-codex	agent_20	1983	-	2	1	directory contains included core algorithm descendant(s)
HZ-021	directory	skills/ask-gemini	agent_21	2410	-	2	1	directory contains included core algorithm descendant(s)
HZ-022	directory	skills/humanize	agent_22	7446	-	2	1	directory contains included core algorithm descendant(s)
HZ-023	directory	skills/humanize-gen-plan	agent_23	3958	-	2	1	directory contains included core algorithm descendant(s)
HZ-024	directory	skills/humanize-refine-plan	agent_24	6293	-	2	1	directory contains included core algorithm descendant(s)
HZ-025	directory	skills/humanize-rlcr	agent_25	3688	-	2	1	directory contains included core algorithm descendant(s)
HZ-026	directory	tests/robustness	agent_26	256955	-	2	16	directory contains included core algorithm descendant(s)
HZ-027	file	agents/bitlesson-selector.md	agent_27	1444	d047d095022bef7a	2		agent prompt/policy file defining review or planning behavior
HZ-028	file	agents/draft-relevance-checker.md	agent_28	1788	98f5a6a069791828	2		agent prompt/policy file defining review or planning behavior
HZ-029	file	agents/plan-compliance-checker.md	agent_29	3619	f0bd96dcc65b6130	2		agent prompt/policy file defining review or planning behavior
HZ-030	file	agents/plan-understanding-quiz.md	agent_30	5410	94c1d37780effdd0	2		agent prompt/policy file defining review or planning behavior
HZ-031	file	commands/cancel-rlcr-loop.md	agent_01	2060	3346e34ef785b02c	2		command workflow definition for plan/RLCR algorithms
HZ-032	file	commands/gen-idea.md	agent_02	11186	997a93ed2991e5f8	2		command workflow definition for plan/RLCR algorithms
HZ-033	file	commands/gen-plan.md	agent_03	33068	764e6d690a4f2f25	2		command workflow definition for plan/RLCR algorithms
HZ-034	file	commands/refine-plan.md	agent_04	23115	cb55fada000f8ae4	2		command workflow definition for plan/RLCR algorithms
HZ-035	file	commands/start-rlcr-loop.md	agent_05	11701	8811785765cdb487	2		command workflow definition for plan/RLCR algorithms
HZ-036	file	config/codex-hooks.json	agent_06	383	5876dc9d0d6f89a6	2		runtime configuration or hook schema participating in gates/routing
HZ-037	file	config/default_config.json	agent_07	179	f02b951e7ce02c5d	2		runtime configuration or hook schema participating in gates/routing
HZ-038	file	docs/bitlesson.md	agent_08	1896	5e0accc0ae90aae0	2		behavior-defining documentation for workflow/state-machine algorithms
HZ-039	file	docs/usage.md	agent_09	15657	99765bddce65393b	2		behavior-defining documentation for workflow/state-machine algorithms
HZ-040	file	hooks/check-todos-from-transcript.py	agent_10	7509	8cabe046e7a6cfda	2		hook or validator implementation for the RLCR state machine
