agent	item_count	total_bytes	item_ids	paths
agent_01	7	1760289	HZ-001,HZ-031,HZ-061,HZ-091,HZ-121,HZ-151,HZ-181	.; commands/cancel-rlcr-loop.md; scripts/validate-gen-plan-io.sh; tests/test-plan-file-hooks.sh; prompt-template/block/git-add-humanize.md; prompt-template/block/wrong-round-file.md; skills/ask-gemini/SKILL.md
agent_02	7	72525	HZ-002,HZ-032,HZ-062,HZ-092,HZ-122,HZ-152,HZ-182	agents; commands/gen-idea.md; scripts/validate-refine-plan-io.sh; tests/test-plan-file-validation.sh; prompt-template/block/git-not-clean-humanize-local.md; prompt-template/block/wrong-round-number.md; skills/humanize-gen-plan/SKILL.md
agent_03	7	180132	HZ-003,HZ-033,HZ-063,HZ-093,HZ-123,HZ-153,HZ-183	commands; commands/gen-plan.md; templates/bitlesson.md; tests/test-refine-plan.sh; prompt-template/block/git-not-clean-untracked.md; prompt-template/block/wrong-summary-location.md; skills/humanize-refine-plan/SKILL.md
agent_04	7	71064	HZ-004,HZ-034,HZ-064,HZ-094,HZ-124,HZ-154,HZ-184	config; commands/refine-plan.md; tests/manual-monitor-test.sh; tests/test-session-id.sh; prompt-template/block/git-not-clean.md; prompt-template/claude/agent-teams-continue.md; skills/humanize-rlcr/SKILL.md
agent_05	7	61247	HZ-005,HZ-035,HZ-065,HZ-095,HZ-125,HZ-155,HZ-185	docs; commands/start-rlcr-loop.md; tests/run-all-tests.sh; tests/test-skill-monitor.sh; prompt-template/block/git-push.md; prompt-template/claude/agent-teams-core.md; skills/humanize/SKILL.md
agent_06	7	290960	HZ-006,HZ-036,HZ-066,HZ-096,HZ-126,HZ-156,HZ-186	hooks; config/codex-hooks.json; tests/setup-monitor-test-env.sh; tests/test-state-exit-naming.sh; prompt-template/block/git-status-failed.md; prompt-template/claude/agent-teams-instructions.md; tests/robustness/test-base-branch-detection.sh
agent_07	7	114159	HZ-007,HZ-037,HZ-067,HZ-097,HZ-127,HZ-157,HZ-187	prompt-template; config/default_config.json; tests/test-agent-teams.sh; tests/test-stop-gate.sh; prompt-template/block/git-tracked-humanize.md; prompt-template/claude/drift-replan-prompt.md; tests/robustness/test-cancel-security-robustness.sh
agent_08	7	361701	HZ-008,HZ-038,HZ-068,HZ-098,HZ-128,HZ-158,HZ-188	scripts; docs/bitlesson.md; tests/test-allowlist-validators.sh; tests/test-stop-hook-bg-allow.sh; prompt-template/block/goal-tracker-bash-write.md; prompt-template/claude/finalize-phase-prompt.md; tests/robustness/test-concurrent-state-robustness.sh
agent_09	7	69963	HZ-009,HZ-039,HZ-069,HZ-099,HZ-129,HZ-159,HZ-189	skills; docs/usage.md; tests/test-ansi-parsing.sh; tests/test-stop-hook-legacy-compat.sh; prompt-template/block/goal-tracker-modification.md; prompt-template/claude/finalize-phase-skipped-prompt.md; tests/robustness/test-git-operations-robustness.sh
agent_10	7	49182	HZ-010,HZ-040,HZ-070,HZ-100,HZ-130,HZ-160,HZ-190	templates; hooks/check-todos-from-transcript.py; tests/test-ask-codex.sh; tests/test-task-tag-routing.sh; prompt-template/block/goal-tracker-not-initialized.md; prompt-template/claude/goal-tracker-update-request.md; tests/robustness/test-goal-tracker-robustness.sh
agent_11	7	1029505	HZ-011,HZ-041,HZ-071,HZ-101,HZ-131,HZ-161,HZ-191	tests; hooks/hooks.json; tests/test-bash-validator-patterns.sh; tests/test-template-loader.sh; prompt-template/block/incomplete-todos.md; prompt-template/claude/methodology-analysis-prompt.md; tests/robustness/test-hook-input-robustness.sh
agent_12	7	83609	HZ-012,HZ-042,HZ-072,HZ-102,HZ-132,HZ-162,HZ-192	README.md; hooks/loop-bash-validator.sh; tests/test-bitlesson-select-routing.sh; tests/test-template-references.sh; prompt-template/block/large-files.md; prompt-template/claude/next-round-footer.md; tests/robustness/test-hook-system-robustness.sh
agent_13	7	230539	HZ-013,HZ-043,HZ-073,HZ-103,HZ-133,HZ-163,HZ-193	hooks/lib; hooks/loop-codex-stop-hook.sh; tests/test-bitlesson-validate-delta.sh; tests/test-templates-comprehensive.sh; prompt-template/block/mainline-drift-stop.md; prompt-template/claude/next-round-prompt.md; tests/robustness/test-path-validation-robustness.sh
agent_14	7	107893	HZ-014,HZ-044,HZ-074,HZ-104,HZ-134,HZ-164,HZ-194	prompt-template/block; hooks/loop-edit-validator.sh; tests/test-cancel-signal-file.sh; tests/test-todo-checker.sh; prompt-template/block/mainline-verdict-missing.md; prompt-template/claude/open-question-notice.md; tests/robustness/test-plan-file-robustness.sh
agent_15	7	80219	HZ-015,HZ-045,HZ-075,HZ-105,HZ-135,HZ-165,HZ-195	prompt-template/claude; hooks/loop-plan-file-validator.sh; tests/test-codex-hook-install.sh; tests/test-unified-codex-config.sh; prompt-template/block/methodology-analysis-state-file-modification.md; prompt-template/claude/post-alignment-action-items.md; tests/robustness/test-session-robustness.sh
