item_id	path_type	path	included	assigned_agent	bytes	sha16	depth	core_descendant_files	reason
REFLECTION_IMPROVE-HZ-001	directory	.	yes	agent_01	1750166	-	0	180	directory contains included core algorithm descendant(s)
REFLECTION_IMPROVE-SKIP-001	directory	.claude	no		0	-	1	0	directory only contains skipped non-core files
REFLECTION_IMPROVE-SKIP-002	directory	.claude-plugin	no		0	-	1	0	directory only contains skipped non-core files
REFLECTION_IMPROVE-SKIP-003	directory	.github	no		0	-	1	0	directory only contains skipped non-core files
REFLECTION_IMPROVE-HZ-002	directory	agents	yes	agent_02	12155	-	1	4	directory contains included core algorithm descendant(s)
REFLECTION_IMPROVE-HZ-003	directory	commands	yes	agent_03	48483	-	1	5	directory contains included core algorithm descendant(s)
REFLECTION_IMPROVE-HZ-004	directory	config	yes	agent_04	169	-	1	1	directory contains included core algorithm descendant(s)
REFLECTION_IMPROVE-HZ-005	directory	docs	yes	agent_05	13597	-	1	2	directory contains included core algorithm descendant(s)
REFLECTION_IMPROVE-HZ-006	directory	hooks	yes	agent_06	288734	-	1	13	directory contains included core algorithm descendant(s)
REFLECTION_IMPROVE-HZ-007	directory	prompt-template	yes	agent_07	55075	-	1	63	directory contains included core algorithm descendant(s)
REFLECTION_IMPROVE-HZ-008	directory	scripts	yes	agent_08	303383	-	1	21	directory contains included core algorithm descendant(s)
REFLECTION_IMPROVE-HZ-009	directory	skills	yes	agent_09	19075	-	1	4	directory contains included core algorithm descendant(s)
REFLECTION_IMPROVE-HZ-010	directory	templates	yes	agent_10	687	-	1	1	directory contains included core algorithm descendant(s)
REFLECTION_IMPROVE-HZ-011	directory	tests	yes	agent_11	1005731	-	1	65	directory contains included core algorithm descendant(s)
REFLECTION_IMPROVE-SKIP-004	file	.gitignore	no		184	b028b5b840c7b993	0		metadata only; not algorithm behavior
REFLECTION_IMPROVE-HZ-012	file	README.md	yes	agent_12	3077	66f1fc0d4fd5940f	0		behavior-defining documentation for workflow/state-machine algorithms
REFLECTION_IMPROVE-SKIP-005	directory	.github/workflows	no		0	-	2	0	directory only contains skipped non-core files
REFLECTION_IMPROVE-SKIP-006	directory	docs/images	no		0	-	2	0	directory only contains skipped non-core files
REFLECTION_IMPROVE-HZ-013	directory	hooks/lib	yes	agent_13	72521	-	2	3	directory contains included core algorithm descendant(s)
REFLECTION_IMPROVE-HZ-014	directory	prompt-template/block	yes	agent_14	15950	-	2	38	directory contains included core algorithm descendant(s)
REFLECTION_IMPROVE-HZ-015	directory	prompt-template/claude	yes	agent_15	16999	-	2	13	directory contains included core algorithm descendant(s)
REFLECTION_IMPROVE-HZ-016	directory	prompt-template/codex	yes	agent_16	10385	-	2	4	directory contains included core algorithm descendant(s)
REFLECTION_IMPROVE-HZ-017	directory	prompt-template/plan	yes	agent_17	4980	-	2	1	directory contains included core algorithm descendant(s)
REFLECTION_IMPROVE-HZ-018	directory	prompt-template/pr-loop	yes	agent_18	6761	-	2	7	directory contains included core algorithm descendant(s)
REFLECTION_IMPROVE-HZ-019	directory	scripts/lib	yes	agent_19	43013	-	2	4	directory contains included core algorithm descendant(s)
