item_id	path_type	path	assigned_agent	bytes	sha16	depth	core_descendant_files	reason
REFLECTION_IMPROVE-HZ-001	directory	.	agent_01	1750166	-	0	180	directory contains included core algorithm descendant(s)
REFLECTION_IMPROVE-HZ-002	directory	agents	agent_02	12155	-	1	4	directory contains included core algorithm descendant(s)
REFLECTION_IMPROVE-HZ-003	directory	commands	agent_03	48483	-	1	5	directory contains included core algorithm descendant(s)
REFLECTION_IMPROVE-HZ-004	directory	config	agent_04	169	-	1	1	directory contains included core algorithm descendant(s)
REFLECTION_IMPROVE-HZ-005	directory	docs	agent_05	13597	-	1	2	directory contains included core algorithm descendant(s)
REFLECTION_IMPROVE-HZ-006	directory	hooks	agent_06	288734	-	1	13	directory contains included core algorithm descendant(s)
REFLECTION_IMPROVE-HZ-007	directory	prompt-template	agent_07	55075	-	1	63	directory contains included core algorithm descendant(s)
REFLECTION_IMPROVE-HZ-008	directory	scripts	agent_08	303383	-	1	21	directory contains included core algorithm descendant(s)
REFLECTION_IMPROVE-HZ-009	directory	skills	agent_09	19075	-	1	4	directory contains included core algorithm descendant(s)
REFLECTION_IMPROVE-HZ-010	directory	templates	agent_10	687	-	1	1	directory contains included core algorithm descendant(s)
REFLECTION_IMPROVE-HZ-011	directory	tests	agent_11	1005731	-	1	65	directory contains included core algorithm descendant(s)
REFLECTION_IMPROVE-HZ-012	file	README.md	agent_12	3077	66f1fc0d4fd5940f	0		behavior-defining documentation for workflow/state-machine algorithms
REFLECTION_IMPROVE-HZ-013	directory	hooks/lib	agent_13	72521	-	2	3	directory contains included core algorithm descendant(s)
REFLECTION_IMPROVE-HZ-014	directory	prompt-template/block	agent_14	15950	-	2	38	directory contains included core algorithm descendant(s)
REFLECTION_IMPROVE-HZ-015	directory	prompt-template/claude	agent_15	16999	-	2	13	directory contains included core algorithm descendant(s)
REFLECTION_IMPROVE-HZ-016	directory	prompt-template/codex	agent_16	10385	-	2	4	directory contains included core algorithm descendant(s)
REFLECTION_IMPROVE-HZ-017	directory	prompt-template/plan	agent_17	4980	-	2	1	directory contains included core algorithm descendant(s)
REFLECTION_IMPROVE-HZ-018	directory	prompt-template/pr-loop	agent_18	6761	-	2	7	directory contains included core algorithm descendant(s)
REFLECTION_IMPROVE-HZ-019	directory	scripts/lib	agent_19	43013	-	2	4	directory contains included core algorithm descendant(s)
REFLECTION_IMPROVE-HZ-020	directory	skills/ask-codex	agent_20	1983	-	2	1	directory contains included core algorithm descendant(s)
REFLECTION_IMPROVE-HZ-021	directory	skills/humanize	agent_21	8801	-	2	1	directory contains included core algorithm descendant(s)
REFLECTION_IMPROVE-HZ-022	directory	skills/humanize-gen-plan	agent_22	3927	-	2	1	directory contains included core algorithm descendant(s)
REFLECTION_IMPROVE-HZ-023	directory	skills/humanize-rlcr	agent_23	4364	-	2	1	directory contains included core algorithm descendant(s)
REFLECTION_IMPROVE-HZ-024	directory	tests/robustness	agent_24	277848	-	2	19	directory contains included core algorithm descendant(s)
REFLECTION_IMPROVE-HZ-025	file	agents/bitlesson-selector.md	agent_25	1338	493a95814bb2537b	2		agent prompt/policy file defining review or planning behavior
REFLECTION_IMPROVE-HZ-026	file	agents/draft-relevance-checker.md	agent_26	1788	98f5a6a069791828	2		agent prompt/policy file defining review or planning behavior
REFLECTION_IMPROVE-HZ-027	file	agents/plan-compliance-checker.md	agent_27	3619	f0bd96dcc65b6130	2		agent prompt/policy file defining review or planning behavior
REFLECTION_IMPROVE-HZ-028	file	agents/plan-understanding-quiz.md	agent_28	5410	94c1d37780effdd0	2		agent prompt/policy file defining review or planning behavior
REFLECTION_IMPROVE-HZ-029	file	commands/cancel-pr-loop.md	agent_29	953	41a045601d93d8d6	2		command workflow definition for plan/RLCR algorithms
