agent	item_count	total_bytes	item_ids	paths
agent_01	7	1834167	REFLECTION_IMPROVE-HZ-001,REFLECTION_IMPROVE-HZ-031,REFLECTION_IMPROVE-HZ-061,REFLECTION_IMPROVE-HZ-091,REFLECTION_IMPROVE-HZ-121,REFLECTION_IMPROVE-HZ-151,REFLECTION_IMPROVE-HZ-181	.; commands/gen-plan.md; scripts/setup-rlcr-loop.sh; tests/test-pr-loop-1-scripts.sh; prompt-template/block/force-push-detected.md; prompt-template/block/wrong-summary-location.md; skills/ask-codex/SKILL.md
agent_02	7	35384	REFLECTION_IMPROVE-HZ-002,REFLECTION_IMPROVE-HZ-032,REFLECTION_IMPROVE-HZ-062,REFLECTION_IMPROVE-HZ-092,REFLECTION_IMPROVE-HZ-122,REFLECTION_IMPROVE-HZ-152,REFLECTION_IMPROVE-HZ-182	agents; commands/start-pr-loop.md; scripts/statusline.sh; tests/test-pr-loop-2-hooks.sh; prompt-template/block/git-add-humanize.md; prompt-template/claude/agent-teams-continue.md; skills/humanize-gen-plan/SKILL.md
agent_03	7	73791	REFLECTION_IMPROVE-HZ-003,REFLECTION_IMPROVE-HZ-033,REFLECTION_IMPROVE-HZ-063,REFLECTION_IMPROVE-HZ-093,REFLECTION_IMPROVE-HZ-123,REFLECTION_IMPROVE-HZ-153,REFLECTION_IMPROVE-HZ-183	commands; commands/start-rlcr-loop.md; scripts/validate-gen-plan-io.sh; tests/test-pr-loop-3-stophook.sh; prompt-template/block/git-not-clean-humanize-local.md; prompt-template/claude/agent-teams-core.md; skills/humanize-rlcr/SKILL.md
agent_04	7	62752	REFLECTION_IMPROVE-HZ-004,REFLECTION_IMPROVE-HZ-034,REFLECTION_IMPROVE-HZ-064,REFLECTION_IMPROVE-HZ-094,REFLECTION_IMPROVE-HZ-124,REFLECTION_IMPROVE-HZ-154,REFLECTION_IMPROVE-HZ-184	config; config/default_config.json; templates/bitlesson.md; tests/test-pr-loop-hooks.sh; prompt-template/block/git-not-clean-untracked.md; prompt-template/claude/agent-teams-instructions.md; skills/humanize/SKILL.md
agent_05	7	30379	REFLECTION_IMPROVE-HZ-005,REFLECTION_IMPROVE-HZ-035,REFLECTION_IMPROVE-HZ-065,REFLECTION_IMPROVE-HZ-095,REFLECTION_IMPROVE-HZ-125,REFLECTION_IMPROVE-HZ-155,REFLECTION_IMPROVE-HZ-185	docs; docs/bitlesson.md; tests/manual-monitor-test.sh; tests/test-pr-loop-lib.sh; prompt-template/block/git-not-clean.md; prompt-template/claude/finalize-phase-prompt.md; tests/robustness/test-base-branch-detection.sh
agent_06	7	339452	REFLECTION_IMPROVE-HZ-006,REFLECTION_IMPROVE-HZ-036,REFLECTION_IMPROVE-HZ-066,REFLECTION_IMPROVE-HZ-096,REFLECTION_IMPROVE-HZ-126,REFLECTION_IMPROVE-HZ-156,REFLECTION_IMPROVE-HZ-186	hooks; docs/usage.md; tests/run-all-tests.sh; tests/test-pr-loop-scripts.sh; prompt-template/block/git-push.md; prompt-template/claude/finalize-phase-skipped-prompt.md; tests/robustness/test-cancel-security-robustness.sh
agent_07	7	136606	REFLECTION_IMPROVE-HZ-007,REFLECTION_IMPROVE-HZ-037,REFLECTION_IMPROVE-HZ-067,REFLECTION_IMPROVE-HZ-097,REFLECTION_IMPROVE-HZ-127,REFLECTION_IMPROVE-HZ-157,REFLECTION_IMPROVE-HZ-187	prompt-template; hooks/check-todos-from-transcript.py; tests/setup-fixture-mock-gh.sh; tests/test-pr-loop-stophook.sh; prompt-template/block/git-status-failed.md; prompt-template/claude/goal-tracker-update-request.md; tests/robustness/test-concurrent-state-robustness.sh
agent_08	7	392758	REFLECTION_IMPROVE-HZ-008,REFLECTION_IMPROVE-HZ-038,REFLECTION_IMPROVE-HZ-068,REFLECTION_IMPROVE-HZ-098,REFLECTION_IMPROVE-HZ-128,REFLECTION_IMPROVE-HZ-158,REFLECTION_IMPROVE-HZ-188	scripts; hooks/hooks.json; tests/setup-monitor-test-env.sh; tests/test-pr-loop-system.sh; prompt-template/block/goal-tracker-bash-write.md; prompt-template/claude/methodology-analysis-prompt.md; tests/robustness/test-git-operations-robustness.sh
agent_09	7	80287	REFLECTION_IMPROVE-HZ-009,REFLECTION_IMPROVE-HZ-039,REFLECTION_IMPROVE-HZ-069,REFLECTION_IMPROVE-HZ-099,REFLECTION_IMPROVE-HZ-129,REFLECTION_IMPROVE-HZ-159,REFLECTION_IMPROVE-HZ-189	skills; hooks/loop-bash-validator.sh; tests/test-agent-teams.sh; tests/test-pr-loop.sh; prompt-template/block/goal-tracker-modification.md; prompt-template/claude/next-round-footer.md; tests/robustness/test-goal-tracker-robustness.sh
agent_10	7	150535	REFLECTION_IMPROVE-HZ-010,REFLECTION_IMPROVE-HZ-040,REFLECTION_IMPROVE-HZ-070,REFLECTION_IMPROVE-HZ-100,REFLECTION_IMPROVE-HZ-130,REFLECTION_IMPROVE-HZ-160,REFLECTION_IMPROVE-HZ-190	templates; hooks/loop-codex-stop-hook.sh; tests/test-allowlist-validators.sh; tests/test-session-id.sh; prompt-template/block/goal-tracker-not-initialized.md; prompt-template/claude/next-round-prompt.md; tests/robustness/test-hook-input-robustness.sh
agent_11	7	1055781	REFLECTION_IMPROVE-HZ-011,REFLECTION_IMPROVE-HZ-041,REFLECTION_IMPROVE-HZ-071,REFLECTION_IMPROVE-HZ-101,REFLECTION_IMPROVE-HZ-131,REFLECTION_IMPROVE-HZ-161,REFLECTION_IMPROVE-HZ-191	tests; hooks/loop-edit-validator.sh; tests/test-ansi-parsing.sh; tests/test-skill-monitor.sh; prompt-template/block/incomplete-todos.md; prompt-template/claude/open-question-notice.md; tests/robustness/test-hook-system-robustness.sh
agent_12	7	51197	REFLECTION_IMPROVE-HZ-012,REFLECTION_IMPROVE-HZ-042,REFLECTION_IMPROVE-HZ-072,REFLECTION_IMPROVE-HZ-102,REFLECTION_IMPROVE-HZ-132,REFLECTION_IMPROVE-HZ-162,REFLECTION_IMPROVE-HZ-192	README.md; hooks/loop-plan-file-validator.sh; tests/test-ask-codex.sh; tests/test-state-exit-naming.sh; prompt-template/block/large-files.md; prompt-template/claude/post-alignment-action-items.md; tests/robustness/test-path-validation-robustness.sh
agent_13	7	103905	REFLECTION_IMPROVE-HZ-013,REFLECTION_IMPROVE-HZ-043,REFLECTION_IMPROVE-HZ-073,REFLECTION_IMPROVE-HZ-103,REFLECTION_IMPROVE-HZ-133,REFLECTION_IMPROVE-HZ-163,REFLECTION_IMPROVE-HZ-193	hooks/lib; hooks/loop-post-bash-hook.sh; tests/test-bash-validator-patterns.sh; tests/test-stop-gate.sh; prompt-template/block/methodology-analysis-state-file-modification.md; prompt-template/claude/push-every-round-note.md; tests/robustness/test-plan-file-robustness.sh
agent_14	7	43688	REFLECTION_IMPROVE-HZ-014,REFLECTION_IMPROVE-HZ-044,REFLECTION_IMPROVE-HZ-074,REFLECTION_IMPROVE-HZ-104,REFLECTION_IMPROVE-HZ-134,REFLECTION_IMPROVE-HZ-164,REFLECTION_IMPROVE-HZ-194	prompt-template/block; hooks/loop-read-validator.sh; tests/test-bitlesson-select-routing.sh; tests/test-task-tag-routing.sh; prompt-template/block/no-trigger-comment.md; prompt-template/claude/review-phase-prompt.md; tests/robustness/test-pr-loop-api-fetch.sh
agent_15	7	93035	REFLECTION_IMPROVE-HZ-015,REFLECTION_IMPROVE-HZ-045,REFLECTION_IMPROVE-HZ-075,REFLECTION_IMPROVE-HZ-105,REFLECTION_IMPROVE-HZ-135,REFLECTION_IMPROVE-HZ-165,REFLECTION_IMPROVE-HZ-195	prompt-template/claude; hooks/loop-write-validator.sh; tests/test-cancel-signal-file.sh; tests/test-template-loader.sh; prompt-template/block/plan-backup-protected.md; prompt-template/codex/code-review-phase.md; tests/robustness/test-pr-loop-api-poll.sh
agent_16	7	131451	REFLECTION_IMPROVE-HZ-016,REFLECTION_IMPROVE-HZ-046,REFLECTION_IMPROVE-HZ-076,REFLECTION_IMPROVE-HZ-106,REFLECTION_IMPROVE-HZ-136,REFLECTION_IMPROVE-HZ-166,REFLECTION_IMPROVE-HZ-196	prompt-template/codex; hooks/pr-loop-stop-hook.sh; tests/test-codex-review-merge.sh; tests/test-template-references.sh; prompt-template/block/plan-file-modified.md; prompt-template/codex/full-alignment-review.md; tests/robustness/test-pr-loop-api-robustness.sh
agent_17	7	54551	REFLECTION_IMPROVE-HZ-017,REFLECTION_IMPROVE-HZ-047,REFLECTION_IMPROVE-HZ-077,REFLECTION_IMPROVE-HZ-107,REFLECTION_IMPROVE-HZ-137,REFLECTION_IMPROVE-HZ-167,REFLECTION_IMPROVE-HZ-197	prompt-template/plan; scripts/ask-codex.sh; tests/test-config-error-handling.sh; tests/test-templates-comprehensive.sh; prompt-template/block/pr-loop-prompt-write.md; prompt-template/codex/goal-tracker-update-section.md; tests/robustness/test-session-robustness.sh
agent_18	7	81411	REFLECTION_IMPROVE-HZ-018,REFLECTION_IMPROVE-HZ-048,REFLECTION_IMPROVE-HZ-078,REFLECTION_IMPROVE-HZ-108,REFLECTION_IMPROVE-HZ-138,REFLECTION_IMPROVE-HZ-168,REFLECTION_IMPROVE-HZ-198	prompt-template/pr-loop; scripts/bitlesson-init.sh; tests/test-config-merge.sh; tests/test-todo-checker.sh; prompt-template/block/pr-loop-state-modification.md; prompt-template/codex/regular-review.md; tests/robustness/test-setup-scripts-robustness.sh
agent_19	7	108236	REFLECTION_IMPROVE-HZ-019,REFLECTION_IMPROVE-HZ-049,REFLECTION_IMPROVE-HZ-079,REFLECTION_IMPROVE-HZ-109,REFLECTION_IMPROVE-HZ-139,REFLECTION_IMPROVE-HZ-169,REFLECTION_IMPROVE-HZ-199	scripts/lib; scripts/bitlesson-select.sh; tests/test-error-scenarios.sh; tests/test-unified-codex-config.sh; prompt-template/block/prompt-file-write.md; prompt-template/plan/gen-plan-template.md; tests/robustness/test-state-file-robustness.sh
agent_20	7	67794	REFLECTION_IMPROVE-HZ-020,REFLECTION_IMPROVE-HZ-050,REFLECTION_IMPROVE-HZ-080,REFLECTION_IMPROVE-HZ-110,REFLECTION_IMPROVE-HZ-140,REFLECTION_IMPROVE-HZ-170,REFLECTION_IMPROVE-HZ-200	skills/ask-codex; scripts/bitlesson-validate-delta.sh; tests/test-finalize-phase.sh; tests/test-zsh-monitor-safety.sh; prompt-template/block/schema-outdated.md; prompt-template/pr-loop/codex-goal-tracker-update.md; tests/robustness/test-state-transition-robustness.sh
agent_21	7	109845	REFLECTION_IMPROVE-HZ-021,REFLECTION_IMPROVE-HZ-051,REFLECTION_IMPROVE-HZ-081,REFLECTION_IMPROVE-HZ-111,REFLECTION_IMPROVE-HZ-141,REFLECTION_IMPROVE-HZ-171,REFLECTION_IMPROVE-HZ-201	skills/humanize; scripts/cancel-pr-loop.sh; tests/test-gen-plan.sh; hooks/lib/loop-common.sh; prompt-template/block/state-file-modification.md; prompt-template/pr-loop/critical-requirements-has-comments.md; tests/robustness/test-template-error-robustness.sh
agent_22	7	29392	REFLECTION_IMPROVE-HZ-022,REFLECTION_IMPROVE-HZ-052,REFLECTION_IMPROVE-HZ-082,REFLECTION_IMPROVE-HZ-112,REFLECTION_IMPROVE-HZ-142,REFLECTION_IMPROVE-HZ-172,REFLECTION_IMPROVE-HZ-202	skills/humanize-gen-plan; scripts/cancel-rlcr-loop.sh; tests/test-helpers.sh; hooks/lib/methodology-analysis.sh; prompt-template/block/stop-hook-direct-execution.md; prompt-template/pr-loop/critical-requirements-no-comments.md; tests/robustness/test-template-stress-robustness.sh
agent_23	7	43783	REFLECTION_IMPROVE-HZ-023,REFLECTION_IMPROVE-HZ-053,REFLECTION_IMPROVE-HZ-083,REFLECTION_IMPROVE-HZ-113,REFLECTION_IMPROVE-HZ-143,REFLECTION_IMPROVE-HZ-173,REFLECTION_IMPROVE-HZ-203	skills/humanize-rlcr; scripts/check-bot-reactions.sh; tests/test-humanize-escape.sh; hooks/lib/template-loader.sh; prompt-template/block/summary-bash-write.md; prompt-template/pr-loop/goal-tracker-initial.md; tests/robustness/test-timeout-robustness.sh
agent_24	6	302143	REFLECTION_IMPROVE-HZ-024,REFLECTION_IMPROVE-HZ-054,REFLECTION_IMPROVE-HZ-084,REFLECTION_IMPROVE-HZ-114,REFLECTION_IMPROVE-HZ-144,REFLECTION_IMPROVE-HZ-174	tests/robustness; scripts/check-pr-reviewer-status.sh; tests/test-model-router.sh; prompt-template/block/bitlesson-delta-empty-kb.md; prompt-template/block/todos-file-access.md; prompt-template/pr-loop/round-0-header.md
agent_25	6	18401	REFLECTION_IMPROVE-HZ-025,REFLECTION_IMPROVE-HZ-055,REFLECTION_IMPROVE-HZ-085,REFLECTION_IMPROVE-HZ-115,REFLECTION_IMPROVE-HZ-145,REFLECTION_IMPROVE-HZ-175	agents/bitlesson-selector.md; scripts/fetch-pr-comments.sh; tests/test-monitor-e2e-deletion.sh; prompt-template/block/bitlesson-delta-inconsistent.md; prompt-template/block/unpushed-commits.md; prompt-template/pr-loop/round-0-task-has-comments.md
agent_26	6	102779	REFLECTION_IMPROVE-HZ-026,REFLECTION_IMPROVE-HZ-056,REFLECTION_IMPROVE-HZ-086,REFLECTION_IMPROVE-HZ-116,REFLECTION_IMPROVE-HZ-146,REFLECTION_IMPROVE-HZ-176	agents/draft-relevance-checker.md; scripts/humanize.sh; tests/test-monitor-e2e-real.sh; prompt-template/block/bitlesson-delta-invalid.md; prompt-template/block/work-summary-missing.md; prompt-template/pr-loop/round-0-task-no-comments.md
agent_27	6	19168	REFLECTION_IMPROVE-HZ-027,REFLECTION_IMPROVE-HZ-057,REFLECTION_IMPROVE-HZ-087,REFLECTION_IMPROVE-HZ-117,REFLECTION_IMPROVE-HZ-147,REFLECTION_IMPROVE-HZ-177	agents/plan-compliance-checker.md; scripts/poll-pr-reviews.sh; tests/test-monitor-e2e-sigint.sh; prompt-template/block/bitlesson-delta-missing.md; prompt-template/block/wrong-directory-path.md; scripts/lib/config-loader.sh
agent_28	6	24097	REFLECTION_IMPROVE-HZ-028,REFLECTION_IMPROVE-HZ-058,REFLECTION_IMPROVE-HZ-088,REFLECTION_IMPROVE-HZ-118,REFLECTION_IMPROVE-HZ-148,REFLECTION_IMPROVE-HZ-178	agents/plan-understanding-quiz.md; scripts/portable-timeout.sh; tests/test-monitor-runtime.sh; prompt-template/block/claude-eyes-timeout.md; prompt-template/block/wrong-file-location.md; scripts/lib/model-router.sh
