item_id	path_type	path	bytes	sha16	depth	reason
REFLECTION_IMPROVE-SKIP-001	directory	.claude	0	-	1	directory only contains skipped non-core files
REFLECTION_IMPROVE-SKIP-002	directory	.claude-plugin	0	-	1	directory only contains skipped non-core files
REFLECTION_IMPROVE-SKIP-003	directory	.github	0	-	1	directory only contains skipped non-core files
REFLECTION_IMPROVE-SKIP-004	file	.gitignore	184	b028b5b840c7b993	0	metadata only; not algorithm behavior
REFLECTION_IMPROVE-SKIP-005	directory	.github/workflows	0	-	2	directory only contains skipped non-core files
REFLECTION_IMPROVE-SKIP-006	directory	docs/images	0	-	2	directory only contains skipped non-core files
REFLECTION_IMPROVE-SKIP-007	directory	tests/fixtures	0	-	2	directory only contains skipped non-core files
REFLECTION_IMPROVE-SKIP-008	directory	tests/mocks	0	-	2	directory only contains skipped non-core files
REFLECTION_IMPROVE-SKIP-009	file	.claude-plugin/marketplace.json	426	ed74b33f9b014e55	2	plugin packaging metadata; not core algorithm runtime or specification
REFLECTION_IMPROVE-SKIP-010	file	.claude-plugin/plugin.json	637	90e4ede74c60b267	2	plugin packaging metadata; not core algorithm runtime or specification
REFLECTION_IMPROVE-SKIP-011	file	.claude/CLAUDE.md	1479	39aedaa403b617e6	2	local assistant instruction surface; not repository algorithm behavior
REFLECTION_IMPROVE-SKIP-012	file	docs/install-for-claude.md	1878	fc7ec9081fa6ff0c	2	installation guide; skipped as non-core algorithm content
REFLECTION_IMPROVE-SKIP-013	file	docs/install-for-codex.md	1871	4109e9060af58438	2	installation guide; skipped as non-core algorithm content
REFLECTION_IMPROVE-SKIP-014	file	docs/install-for-kimi.md	5284	aeb0ba2ad697ef5e	2	installation guide; skipped as non-core algorithm content
REFLECTION_IMPROVE-SKIP-015	file	scripts/install-skill.sh	8579	aa3772d577dad2c7	2	installer utility; skipped as non-core algorithm content
REFLECTION_IMPROVE-SKIP-016	file	scripts/install-skills-codex.sh	215	23eb8215d007e80c	2	installer utility; skipped as non-core algorithm content
REFLECTION_IMPROVE-SKIP-017	file	scripts/install-skills-kimi.sh	213	e2e97dffdd7f8854	2	installer utility; skipped as non-core algorithm content
REFLECTION_IMPROVE-SKIP-018	file	.github/workflows/plan-file-test.yml	1774	abbdbc88c4cc909f	3	CI workflow; not core algorithm runtime or specification
REFLECTION_IMPROVE-SKIP-019	file	.github/workflows/run-all-tests.yml	445	f69083814fe0d2ff	3	CI workflow; not core algorithm runtime or specification
REFLECTION_IMPROVE-SKIP-020	file	.github/workflows/shell-syntax-check.yml	1700	37727577fefbef88	3	CI workflow; not core algorithm runtime or specification
REFLECTION_IMPROVE-SKIP-021	file	.github/workflows/template-test.yml	2150	f7bcd9ce40bf1809	3	CI workflow; not core algorithm runtime or specification
REFLECTION_IMPROVE-SKIP-022	file	.github/workflows/version-bump-check.yml	5615	5d58351e053c0df7	3	CI workflow; not core algorithm runtime or specification
REFLECTION_IMPROVE-SKIP-023	file	docs/images/monitor.png	31374	ebeab686c461fdfb	3	visual/binary asset; no algorithm text/code to research
REFLECTION_IMPROVE-SKIP-024	file	docs/images/rlcr-workflow.svg	5569	fd50911117c44191	3	visual/binary asset; no algorithm text/code to research
REFLECTION_IMPROVE-SKIP-025	file	tests/fixtures/comment-reactions.json	142	f7d65ec67f648747	3	fixture/mock data; not a core algorithm file
REFLECTION_IMPROVE-SKIP-026	file	tests/fixtures/issue-comments.json	102	5cd95080cf7416c2	3	fixture/mock data; not a core algorithm file
REFLECTION_IMPROVE-SKIP-027	file	tests/fixtures/issue_comments.json	658	ced611db7e54cefc	3	fixture/mock data; not a core algorithm file
REFLECTION_IMPROVE-SKIP-028	file	tests/fixtures/pr-reviews.json	134	8d0dfa2305063094	3	fixture/mock data; not a core algorithm file
REFLECTION_IMPROVE-SKIP-029	file	tests/fixtures/pr_reviews.json	827	ff87c6739a885694	3	fixture/mock data; not a core algorithm file
REFLECTION_IMPROVE-SKIP-030	file	tests/fixtures/reactions.json	113	4e52cd2296f73ada	3	fixture/mock data; not a core algorithm file
REFLECTION_IMPROVE-SKIP-031	file	tests/fixtures/review-comments.json	3	37517e5f3dc66819	3	fixture/mock data; not a core algorithm file
REFLECTION_IMPROVE-SKIP-032	file	tests/fixtures/review_comments.json	512	eb230b1311e2a44c	3	fixture/mock data; not a core algorithm file
REFLECTION_IMPROVE-SKIP-033	file	tests/mocks/gh	8527	1323275975b9d866	3	fixture/mock data; not a core algorithm file
