item_id	path_type	path	included	assigned_agent	bytes	sha16	depth	core_descendant_files	reason
SKILLIZE_RLCR_ACTIONS-HZ-001	directory	.	yes	agent_01	543959	-	0	76	directory contains included core algorithm descendant(s)
SKILLIZE_RLCR_ACTIONS-SKIP-001	directory	.claude	no		0	-	1	0	directory only contains skipped non-core files
SKILLIZE_RLCR_ACTIONS-SKIP-002	directory	.claude-plugin	no		0	-	1	0	directory only contains skipped non-core files
SKILLIZE_RLCR_ACTIONS-SKIP-003	directory	.github	no		0	-	1	0	directory only contains skipped non-core files
SKILLIZE_RLCR_ACTIONS-HZ-002	directory	commands	yes	agent_02	977	-	1	2	directory contains included core algorithm descendant(s)
SKILLIZE_RLCR_ACTIONS-HZ-003	directory	hooks	yes	agent_03	116570	-	1	10	directory contains included core algorithm descendant(s)
SKILLIZE_RLCR_ACTIONS-HZ-004	directory	prompt-template	yes	agent_04	24525	-	1	36	directory contains included core algorithm descendant(s)
SKILLIZE_RLCR_ACTIONS-HZ-005	directory	scripts	yes	agent_05	62582	-	1	3	directory contains included core algorithm descendant(s)
SKILLIZE_RLCR_ACTIONS-HZ-006	directory	skills	yes	agent_06	5673	-	1	2	directory contains included core algorithm descendant(s)
SKILLIZE_RLCR_ACTIONS-HZ-007	directory	tests	yes	agent_07	330300	-	1	22	directory contains included core algorithm descendant(s)
SKILLIZE_RLCR_ACTIONS-SKIP-004	file	.gitignore	no		120	ce8146019ad5a484	0		metadata only; not algorithm behavior
SKILLIZE_RLCR_ACTIONS-HZ-008	file	README.md	yes	agent_08	3332	9ea63752d4a95b3e	0		behavior-defining documentation for workflow/state-machine algorithms
SKILLIZE_RLCR_ACTIONS-SKIP-005	directory	.github/workflows	no		0	-	2	0	directory only contains skipped non-core files
SKILLIZE_RLCR_ACTIONS-HZ-009	directory	hooks/lib	yes	agent_09	31331	-	2	2	directory contains included core algorithm descendant(s)
SKILLIZE_RLCR_ACTIONS-HZ-010	directory	prompt-template/block	yes	agent_10	11039	-	2	27	directory contains included core algorithm descendant(s)
SKILLIZE_RLCR_ACTIONS-HZ-011	directory	prompt-template/claude	yes	agent_11	4385	-	2	6	directory contains included core algorithm descendant(s)
