item_id	path_type	path	included	assigned_agent	bytes	sha16	depth	core_descendant_files	reason
TEMPLIFY_PROMPT-HZ-001	directory	.	yes	agent_01	184843	-	0	48	directory contains included core algorithm descendant(s)
TEMPLIFY_PROMPT-SKIP-001	directory	.claude	no		0	-	1	0	directory only contains skipped non-core files
TEMPLIFY_PROMPT-SKIP-002	directory	.claude-plugin	no		0	-	1	0	directory only contains skipped non-core files
TEMPLIFY_PROMPT-SKIP-003	directory	.github	no		0	-	1	0	directory only contains skipped non-core files
TEMPLIFY_PROMPT-HZ-002	directory	commands	yes	agent_02	3196	-	1	2	directory contains included core algorithm descendant(s)
TEMPLIFY_PROMPT-HZ-003	directory	hooks	yes	agent_03	64374	-	1	9	directory contains included core algorithm descendant(s)
TEMPLIFY_PROMPT-HZ-004	directory	prompt-template	yes	agent_04	20448	-	1	29	directory contains included core algorithm descendant(s)
TEMPLIFY_PROMPT-HZ-005	directory	scripts	yes	agent_05	39112	-	1	3	directory contains included core algorithm descendant(s)
TEMPLIFY_PROMPT-HZ-006	directory	tests	yes	agent_06	48790	-	1	4	directory contains included core algorithm descendant(s)
TEMPLIFY_PROMPT-SKIP-004	file	.gitignore	no		120	14e0f2b2a3759fc4	0		metadata only; not algorithm behavior
TEMPLIFY_PROMPT-HZ-007	file	README.md	yes	agent_07	8923	87fe963f84fad317	0		behavior-defining documentation for workflow/state-machine algorithms
TEMPLIFY_PROMPT-SKIP-005	directory	.github/workflows	no		0	-	2	0	directory only contains skipped non-core files
TEMPLIFY_PROMPT-HZ-008	directory	hooks/lib	yes	agent_08	12985	-	2	2	directory contains included core algorithm descendant(s)
TEMPLIFY_PROMPT-HZ-009	directory	prompt-template/block	yes	agent_09	8588	-	2	21	directory contains included core algorithm descendant(s)
TEMPLIFY_PROMPT-HZ-010	directory	prompt-template/claude	yes	agent_10	2735	-	2	5	directory contains included core algorithm descendant(s)
TEMPLIFY_PROMPT-HZ-011	directory	prompt-template/codex	yes	agent_11	9125	-	2	3	directory contains included core algorithm descendant(s)
TEMPLIFY_PROMPT-SKIP-006	file	.claude-plugin/marketplace.json	no		425	b4e391f9cdfe55ed	2		plugin packaging metadata; not core algorithm runtime or specification
TEMPLIFY_PROMPT-SKIP-007	file	.claude-plugin/plugin.json	no		636	843b28495b7dc911	2		plugin packaging metadata; not core algorithm runtime or specification
TEMPLIFY_PROMPT-SKIP-008	file	.claude/CLAUDE.md	no		1123	1a3f9d9f0d0ef850	2		local assistant instruction surface; not repository algorithm behavior
TEMPLIFY_PROMPT-HZ-012	file	commands/cancel-rlcr-loop.md	yes	agent_12	789	9766a3ab1bef36ad	2		command workflow definition for plan/RLCR algorithms
TEMPLIFY_PROMPT-HZ-013	file	commands/start-rlcr-loop.md	yes	agent_13	2407	2878e20e74f3b2af	2		command workflow definition for plan/RLCR algorithms
TEMPLIFY_PROMPT-HZ-014	file	hooks/check-todos-from-transcript.py	yes	agent_14	4425	44d0d28cf2dab213	2		hook or validator implementation for the RLCR state machine
TEMPLIFY_PROMPT-HZ-015	file	hooks/hooks.json	yes	agent_15	1188	352e0ff02f86be76	2		hook or validator implementation for the RLCR state machine
