agent	item_count	total_bytes	item_ids	paths
agent_001	1	1688060	USE_REALPATH4EVERYTHING-HZ-001	.
agent_002	1	12261	USE_REALPATH4EVERYTHING-HZ-002	agents
agent_003	1	69944	USE_REALPATH4EVERYTHING-HZ-003	commands
agent_004	1	562	USE_REALPATH4EVERYTHING-HZ-004	config
agent_005	1	17553	USE_REALPATH4EVERYTHING-HZ-005	docs
agent_006	1	270171	USE_REALPATH4EVERYTHING-HZ-006	hooks
agent_007	1	60538	USE_REALPATH4EVERYTHING-HZ-007	prompt-template
agent_008	1	254324	USE_REALPATH4EVERYTHING-HZ-008	scripts
agent_009	1	25778	USE_REALPATH4EVERYTHING-HZ-009	skills
agent_010	1	687	USE_REALPATH4EVERYTHING-HZ-010	templates
agent_011	1	972497	USE_REALPATH4EVERYTHING-HZ-011	tests
agent_012	1	3745	USE_REALPATH4EVERYTHING-HZ-012	README.md
agent_013	1	101773	USE_REALPATH4EVERYTHING-HZ-013	hooks/lib
agent_014	1	16588	USE_REALPATH4EVERYTHING-HZ-014	prompt-template/block
agent_015	1	22925	USE_REALPATH4EVERYTHING-HZ-015	prompt-template/claude
agent_016	1	12759	USE_REALPATH4EVERYTHING-HZ-016	prompt-template/codex
agent_017	1	8266	USE_REALPATH4EVERYTHING-HZ-017	prompt-template/plan
agent_018	1	42166	USE_REALPATH4EVERYTHING-HZ-018	scripts/lib
agent_019	1	1983	USE_REALPATH4EVERYTHING-HZ-019	skills/ask-codex
agent_020	1	2410	USE_REALPATH4EVERYTHING-HZ-020	skills/ask-gemini
agent_021	1	7446	USE_REALPATH4EVERYTHING-HZ-021	skills/humanize
agent_022	1	3958	USE_REALPATH4EVERYTHING-HZ-022	skills/humanize-gen-plan
agent_023	1	6293	USE_REALPATH4EVERYTHING-HZ-023	skills/humanize-refine-plan
agent_024	1	3688	USE_REALPATH4EVERYTHING-HZ-024	skills/humanize-rlcr
agent_025	1	256955	USE_REALPATH4EVERYTHING-HZ-025	tests/robustness
agent_026	1	1444	USE_REALPATH4EVERYTHING-HZ-026	agents/bitlesson-selector.md
agent_027	1	1788	USE_REALPATH4EVERYTHING-HZ-027	agents/draft-relevance-checker.md
agent_028	1	3619	USE_REALPATH4EVERYTHING-HZ-028	agents/plan-compliance-checker.md
agent_029	1	5410	USE_REALPATH4EVERYTHING-HZ-029	agents/plan-understanding-quiz.md
agent_030	1	2060	USE_REALPATH4EVERYTHING-HZ-030	commands/cancel-rlcr-loop.md
agent_031	1	33068	USE_REALPATH4EVERYTHING-HZ-031	commands/gen-plan.md
agent_032	1	23115	USE_REALPATH4EVERYTHING-HZ-032	commands/refine-plan.md
agent_033	1	11701	USE_REALPATH4EVERYTHING-HZ-033	commands/start-rlcr-loop.md
agent_034	1	383	USE_REALPATH4EVERYTHING-HZ-034	config/codex-hooks.json
agent_035	1	179	USE_REALPATH4EVERYTHING-HZ-035	config/default_config.json
agent_036	1	1896	USE_REALPATH4EVERYTHING-HZ-036	docs/bitlesson.md
agent_037	1	15657	USE_REALPATH4EVERYTHING-HZ-037	docs/usage.md
agent_038	1	7509	USE_REALPATH4EVERYTHING-HZ-038	hooks/check-todos-from-transcript.py
agent_039	1	1633	USE_REALPATH4EVERYTHING-HZ-039	hooks/hooks.json
agent_040	1	23517	USE_REALPATH4EVERYTHING-HZ-040	hooks/loop-bash-validator.sh
agent_041	1	85635	USE_REALPATH4EVERYTHING-HZ-041	hooks/loop-codex-stop-hook.sh
agent_042	1	9920	USE_REALPATH4EVERYTHING-HZ-042	hooks/loop-edit-validator.sh
agent_043	1	8082	USE_REALPATH4EVERYTHING-HZ-043	hooks/loop-plan-file-validator.sh
agent_044	1	5807	USE_REALPATH4EVERYTHING-HZ-044	hooks/loop-post-bash-hook.sh
agent_045	1	12504	USE_REALPATH4EVERYTHING-HZ-045	hooks/loop-read-validator.sh
agent_046	1	13791	USE_REALPATH4EVERYTHING-HZ-046	hooks/loop-write-validator.sh
agent_047	1	12042	USE_REALPATH4EVERYTHING-HZ-047	scripts/ask-codex.sh
agent_048	1	10944	USE_REALPATH4EVERYTHING-HZ-048	scripts/ask-gemini.sh
agent_049	1	2136	USE_REALPATH4EVERYTHING-HZ-049	scripts/bitlesson-init.sh
agent_050	1	7777	USE_REALPATH4EVERYTHING-HZ-050	scripts/bitlesson-select.sh
agent_051	1	12319	USE_REALPATH4EVERYTHING-HZ-051	scripts/bitlesson-validate-delta.sh
agent_052	1	5930	USE_REALPATH4EVERYTHING-HZ-052	scripts/cancel-rlcr-loop.sh
agent_053	1	54644	USE_REALPATH4EVERYTHING-HZ-053	scripts/humanize.sh
agent_054	1	2124	USE_REALPATH4EVERYTHING-HZ-054	scripts/portable-timeout.sh
agent_055	1	6019	USE_REALPATH4EVERYTHING-HZ-055	scripts/rlcr-stop-gate.sh
agent_056	1	57169	USE_REALPATH4EVERYTHING-HZ-056	scripts/setup-rlcr-loop.sh
agent_057	1	13554	USE_REALPATH4EVERYTHING-HZ-057	scripts/statusline.sh
agent_058	1	5758	USE_REALPATH4EVERYTHING-HZ-058	scripts/validate-gen-plan-io.sh
agent_059	1	21742	USE_REALPATH4EVERYTHING-HZ-059	scripts/validate-refine-plan-io.sh
agent_060	1	687	USE_REALPATH4EVERYTHING-HZ-060	templates/bitlesson.md
agent_061	1	2535	USE_REALPATH4EVERYTHING-HZ-061	tests/manual-monitor-test.sh
agent_062	1	9556	USE_REALPATH4EVERYTHING-HZ-062	tests/run-all-tests.sh
agent_063	1	575	USE_REALPATH4EVERYTHING-HZ-063	tests/setup-monitor-test-env.sh
agent_064	1	24577	USE_REALPATH4EVERYTHING-HZ-064	tests/test-agent-teams.sh
agent_065	1	22380	USE_REALPATH4EVERYTHING-HZ-065	tests/test-allowlist-validators.sh
agent_066	1	5809	USE_REALPATH4EVERYTHING-HZ-066	tests/test-ansi-parsing.sh
agent_067	1	15982	USE_REALPATH4EVERYTHING-HZ-067	tests/test-ask-codex.sh
agent_068	1	6666	USE_REALPATH4EVERYTHING-HZ-068	tests/test-bash-validator-patterns.sh
agent_069	1	17115	USE_REALPATH4EVERYTHING-HZ-069	tests/test-bitlesson-select-routing.sh
agent_070	1	4403	USE_REALPATH4EVERYTHING-HZ-070	tests/test-bitlesson-validate-delta.sh
