item_id	checkbox_state	claim_state	assigned_agent	tmux_session	slot	path_type	path	dependencies	owned_path_scope	worker_output	master_status
USE_REALPATH4EVERYTHING-HZ-001	[x]	finished	agent_001	humanize_use-realpath4everything_1to1_20260619	001	directory	.		.	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_001/output.md	accepted
USE_REALPATH4EVERYTHING-HZ-002	[x]	finished	agent_002	humanize_use-realpath4everything_1to1_20260619	002	directory	agents		agents	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_002/output.md	accepted
USE_REALPATH4EVERYTHING-HZ-003	[x]	finished	agent_003	humanize_use-realpath4everything_1to1_20260619	003	directory	commands		commands	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_003/output.md	accepted
USE_REALPATH4EVERYTHING-HZ-004	[x]	finished	agent_004	humanize_use-realpath4everything_1to1_20260619	004	directory	config		config	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_004/output.md	accepted
USE_REALPATH4EVERYTHING-HZ-005	[x]	finished	agent_005	humanize_use-realpath4everything_1to1_20260619	005	directory	docs		docs	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_005/output.md	accepted
USE_REALPATH4EVERYTHING-HZ-006	[x]	finished	agent_006	humanize_use-realpath4everything_1to1_20260619	006	directory	hooks		hooks	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_006/output.md	accepted
USE_REALPATH4EVERYTHING-HZ-007	[x]	finished	agent_007	humanize_use-realpath4everything_1to1_20260619	007	directory	prompt-template		prompt-template	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_007/output.md	accepted
USE_REALPATH4EVERYTHING-HZ-008	[x]	finished	agent_008	humanize_use-realpath4everything_1to1_20260619	008	directory	scripts		scripts	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_008/output.md	accepted
USE_REALPATH4EVERYTHING-HZ-009	[x]	finished	agent_009	humanize_use-realpath4everything_1to1_20260619	009	directory	skills		skills	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_009/output.md	accepted
USE_REALPATH4EVERYTHING-HZ-010	[x]	finished	agent_010	humanize_use-realpath4everything_1to1_20260619	010	directory	templates		templates	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_010/output.md	accepted
USE_REALPATH4EVERYTHING-HZ-011	[x]	finished	agent_011	humanize_use-realpath4everything_1to1_20260619	011	directory	tests		tests	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_011/output.md	accepted
USE_REALPATH4EVERYTHING-HZ-012	[x]	finished	agent_012	humanize_use-realpath4everything_1to1_20260619	012	file	README.md		README.md	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_012/output.md	accepted
USE_REALPATH4EVERYTHING-HZ-013	[x]	finished	agent_013	humanize_use-realpath4everything_1to1_20260619	013	directory	hooks/lib		hooks/lib	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_013/output.md	accepted
USE_REALPATH4EVERYTHING-HZ-014	[x]	finished	agent_014	humanize_use-realpath4everything_1to1_20260619	014	directory	prompt-template/block		prompt-template/block	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_014/output.md	accepted
USE_REALPATH4EVERYTHING-HZ-015	[x]	finished	agent_015	humanize_use-realpath4everything_1to1_20260619	015	directory	prompt-template/claude		prompt-template/claude	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_015/output.md	accepted
USE_REALPATH4EVERYTHING-HZ-016	[x]	finished	agent_016	humanize_use-realpath4everything_1to1_20260619	016	directory	prompt-template/codex		prompt-template/codex	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_016/output.md	accepted
USE_REALPATH4EVERYTHING-HZ-017	[x]	finished	agent_017	humanize_use-realpath4everything_1to1_20260619	017	directory	prompt-template/plan		prompt-template/plan	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_017/output.md	accepted
USE_REALPATH4EVERYTHING-HZ-018	[x]	finished	agent_018	humanize_use-realpath4everything_1to1_20260619	018	directory	scripts/lib		scripts/lib	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_018/output.md	accepted
USE_REALPATH4EVERYTHING-HZ-019	[x]	finished	agent_019	humanize_use-realpath4everything_1to1_20260619	019	directory	skills/ask-codex		skills/ask-codex	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_019/output.md	accepted
USE_REALPATH4EVERYTHING-HZ-020	[x]	finished	agent_020	humanize_use-realpath4everything_1to1_20260619	020	directory	skills/ask-gemini		skills/ask-gemini	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_020/output.md	accepted
USE_REALPATH4EVERYTHING-HZ-021	[x]	finished	agent_021	humanize_use-realpath4everything_1to1_20260619	021	directory	skills/humanize		skills/humanize	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_021/output.md	accepted
USE_REALPATH4EVERYTHING-HZ-022	[x]	finished	agent_022	humanize_use-realpath4everything_1to1_20260619	022	directory	skills/humanize-gen-plan		skills/humanize-gen-plan	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_022/output.md	accepted
USE_REALPATH4EVERYTHING-HZ-023	[x]	finished	agent_023	humanize_use-realpath4everything_1to1_20260619	023	directory	skills/humanize-refine-plan		skills/humanize-refine-plan	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_023/output.md	accepted
USE_REALPATH4EVERYTHING-HZ-024	[x]	finished	agent_024	humanize_use-realpath4everything_1to1_20260619	024	directory	skills/humanize-rlcr		skills/humanize-rlcr	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_024/output.md	accepted
USE_REALPATH4EVERYTHING-HZ-025	[x]	finished	agent_025	humanize_use-realpath4everything_1to1_20260619	025	directory	tests/robustness		tests/robustness	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_025/output.md	accepted
USE_REALPATH4EVERYTHING-HZ-026	[x]	finished	agent_026	humanize_use-realpath4everything_1to1_20260619	026	file	agents/bitlesson-selector.md		agents/bitlesson-selector.md	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_026/output.md	accepted
USE_REALPATH4EVERYTHING-HZ-027	[x]	finished	agent_027	humanize_use-realpath4everything_1to1_20260619	027	file	agents/draft-relevance-checker.md		agents/draft-relevance-checker.md	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_027/output.md	accepted
USE_REALPATH4EVERYTHING-HZ-028	[x]	finished	agent_028	humanize_use-realpath4everything_1to1_20260619	028	file	agents/plan-compliance-checker.md		agents/plan-compliance-checker.md	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_028/output.md	accepted
USE_REALPATH4EVERYTHING-HZ-029	[x]	finished	agent_029	humanize_use-realpath4everything_1to1_20260619	029	file	agents/plan-understanding-quiz.md		agents/plan-understanding-quiz.md	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_029/output.md	accepted
USE_REALPATH4EVERYTHING-HZ-030	[x]	finished	agent_030	humanize_use-realpath4everything_1to1_20260619	030	file	commands/cancel-rlcr-loop.md		commands/cancel-rlcr-loop.md	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_030/output.md	accepted
USE_REALPATH4EVERYTHING-HZ-031	[x]	finished	agent_031	humanize_use-realpath4everything_1to1_20260619	031	file	commands/gen-plan.md		commands/gen-plan.md	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_031/output.md	accepted
USE_REALPATH4EVERYTHING-HZ-032	[x]	finished	agent_032	humanize_use-realpath4everything_1to1_20260619	032	file	commands/refine-plan.md		commands/refine-plan.md	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_032/output.md	accepted
USE_REALPATH4EVERYTHING-HZ-033	[x]	finished	agent_033	humanize_use-realpath4everything_1to1_20260619	033	file	commands/start-rlcr-loop.md		commands/start-rlcr-loop.md	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_033/output.md	accepted
USE_REALPATH4EVERYTHING-HZ-034	[x]	finished	agent_034	humanize_use-realpath4everything_1to1_20260619	034	file	config/codex-hooks.json		config/codex-hooks.json	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_034/output.md	accepted
USE_REALPATH4EVERYTHING-HZ-035	[x]	finished	agent_035	humanize_use-realpath4everything_1to1_20260619	035	file	config/default_config.json		config/default_config.json	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_035/output.md	accepted
USE_REALPATH4EVERYTHING-HZ-036	[x]	finished	agent_036	humanize_use-realpath4everything_1to1_20260619	036	file	docs/bitlesson.md		docs/bitlesson.md	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_036/output.md	accepted
USE_REALPATH4EVERYTHING-HZ-037	[x]	finished	agent_037	humanize_use-realpath4everything_1to1_20260619	037	file	docs/usage.md		docs/usage.md	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_037/output.md	accepted
USE_REALPATH4EVERYTHING-HZ-038	[x]	finished	agent_038	humanize_use-realpath4everything_1to1_20260619	038	file	hooks/check-todos-from-transcript.py		hooks/check-todos-from-transcript.py	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_038/output.md	accepted
USE_REALPATH4EVERYTHING-HZ-039	[x]	finished	agent_039	humanize_use-realpath4everything_1to1_20260619	039	file	hooks/hooks.json		hooks/hooks.json	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_039/output.md	accepted
USE_REALPATH4EVERYTHING-HZ-040	[x]	finished	agent_040	humanize_use-realpath4everything_1to1_20260619	040	file	hooks/loop-bash-validator.sh		hooks/loop-bash-validator.sh	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_040/output.md	accepted
USE_REALPATH4EVERYTHING-HZ-041	[x]	finished	agent_041	humanize_use-realpath4everything_1to1_20260619	041	file	hooks/loop-codex-stop-hook.sh		hooks/loop-codex-stop-hook.sh	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_041/output.md	accepted
USE_REALPATH4EVERYTHING-HZ-042	[x]	finished	agent_042	humanize_use-realpath4everything_1to1_20260619	042	file	hooks/loop-edit-validator.sh		hooks/loop-edit-validator.sh	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_042/output.md	accepted
USE_REALPATH4EVERYTHING-HZ-043	[x]	finished	agent_043	humanize_use-realpath4everything_1to1_20260619	043	file	hooks/loop-plan-file-validator.sh		hooks/loop-plan-file-validator.sh	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_043/output.md	accepted
USE_REALPATH4EVERYTHING-HZ-044	[x]	finished	agent_044	humanize_use-realpath4everything_1to1_20260619	044	file	hooks/loop-post-bash-hook.sh		hooks/loop-post-bash-hook.sh	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_044/output.md	accepted
USE_REALPATH4EVERYTHING-HZ-045	[x]	finished	agent_045	humanize_use-realpath4everything_1to1_20260619	045	file	hooks/loop-read-validator.sh		hooks/loop-read-validator.sh	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_045/output.md	accepted
USE_REALPATH4EVERYTHING-HZ-046	[x]	finished	agent_046	humanize_use-realpath4everything_1to1_20260619	046	file	hooks/loop-write-validator.sh		hooks/loop-write-validator.sh	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_046/output.md	accepted
USE_REALPATH4EVERYTHING-HZ-047	[x]	finished	agent_047	humanize_use-realpath4everything_1to1_20260619	047	file	scripts/ask-codex.sh		scripts/ask-codex.sh	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_047/output.md	accepted
USE_REALPATH4EVERYTHING-HZ-048	[x]	finished	agent_048	humanize_use-realpath4everything_1to1_20260619	048	file	scripts/ask-gemini.sh		scripts/ask-gemini.sh	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_048/output.md	accepted
USE_REALPATH4EVERYTHING-HZ-049	[x]	finished	agent_049	humanize_use-realpath4everything_1to1_20260619	049	file	scripts/bitlesson-init.sh		scripts/bitlesson-init.sh	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_049/output.md	accepted
USE_REALPATH4EVERYTHING-HZ-050	[x]	finished	agent_050	humanize_use-realpath4everything_1to1_20260619	050	file	scripts/bitlesson-select.sh		scripts/bitlesson-select.sh	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_050/output.md	accepted
USE_REALPATH4EVERYTHING-HZ-051	[x]	finished	agent_051	humanize_use-realpath4everything_1to1_20260619	051	file	scripts/bitlesson-validate-delta.sh		scripts/bitlesson-validate-delta.sh	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_051/output.md	accepted
USE_REALPATH4EVERYTHING-HZ-052	[x]	finished	agent_052	humanize_use-realpath4everything_1to1_20260619	052	file	scripts/cancel-rlcr-loop.sh		scripts/cancel-rlcr-loop.sh	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_052/output.md	accepted
USE_REALPATH4EVERYTHING-HZ-053	[x]	finished	agent_053	humanize_use-realpath4everything_1to1_20260619	053	file	scripts/humanize.sh		scripts/humanize.sh	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_053/output.md	accepted
USE_REALPATH4EVERYTHING-HZ-054	[x]	finished	agent_054	humanize_use-realpath4everything_1to1_20260619	054	file	scripts/portable-timeout.sh		scripts/portable-timeout.sh	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_054/output.md	accepted
