item_id	path_type	path	included	assigned_agent	bytes	sha16	depth	core_descendant_files	reason
USE_REALPATH4EVERYTHING-HZ-001	directory	.	yes	agent_01	1688060	-	0	173	directory contains included core algorithm descendant(s)
USE_REALPATH4EVERYTHING-SKIP-001	directory	.claude	no		0	-	1	0	directory only contains skipped non-core files
USE_REALPATH4EVERYTHING-SKIP-002	directory	.claude-plugin	no		0	-	1	0	directory only contains skipped non-core files
USE_REALPATH4EVERYTHING-SKIP-003	directory	.github	no		0	-	1	0	directory only contains skipped non-core files
USE_REALPATH4EVERYTHING-HZ-002	directory	agents	yes	agent_02	12261	-	1	4	directory contains included core algorithm descendant(s)
USE_REALPATH4EVERYTHING-HZ-003	directory	commands	yes	agent_03	69944	-	1	4	directory contains included core algorithm descendant(s)
USE_REALPATH4EVERYTHING-HZ-004	directory	config	yes	agent_04	562	-	1	2	directory contains included core algorithm descendant(s)
USE_REALPATH4EVERYTHING-HZ-005	directory	docs	yes	agent_05	17553	-	1	2	directory contains included core algorithm descendant(s)
USE_REALPATH4EVERYTHING-HZ-006	directory	hooks	yes	agent_06	270171	-	1	14	directory contains included core algorithm descendant(s)
USE_REALPATH4EVERYTHING-HZ-007	directory	prompt-template	yes	agent_07	60538	-	1	63	directory contains included core algorithm descendant(s)
USE_REALPATH4EVERYTHING-HZ-008	directory	scripts	yes	agent_08	254324	-	1	17	directory contains included core algorithm descendant(s)
USE_REALPATH4EVERYTHING-HZ-009	directory	skills	yes	agent_09	25778	-	1	6	directory contains included core algorithm descendant(s)
USE_REALPATH4EVERYTHING-HZ-010	directory	templates	yes	agent_10	687	-	1	1	directory contains included core algorithm descendant(s)
USE_REALPATH4EVERYTHING-HZ-011	directory	tests	yes	agent_11	972497	-	1	59	directory contains included core algorithm descendant(s)
USE_REALPATH4EVERYTHING-SKIP-004	file	.gitignore	no		236	69982286626b7820	0		metadata only; not algorithm behavior
USE_REALPATH4EVERYTHING-HZ-012	file	README.md	yes	agent_12	3745	846293349f0a5db8	0		behavior-defining documentation for workflow/state-machine algorithms
USE_REALPATH4EVERYTHING-SKIP-005	directory	.github/workflows	no		0	-	2	0	directory only contains skipped non-core files
USE_REALPATH4EVERYTHING-SKIP-006	directory	docs/images	no		0	-	2	0	directory only contains skipped non-core files
USE_REALPATH4EVERYTHING-HZ-013	directory	hooks/lib	yes	agent_13	101773	-	2	5	directory contains included core algorithm descendant(s)
USE_REALPATH4EVERYTHING-HZ-014	directory	prompt-template/block	yes	agent_14	16588	-	2	42	directory contains included core algorithm descendant(s)
USE_REALPATH4EVERYTHING-HZ-015	directory	prompt-template/claude	yes	agent_15	22925	-	2	14	directory contains included core algorithm descendant(s)
USE_REALPATH4EVERYTHING-HZ-016	directory	prompt-template/codex	yes	agent_16	12759	-	2	5	directory contains included core algorithm descendant(s)
USE_REALPATH4EVERYTHING-HZ-017	directory	prompt-template/plan	yes	agent_17	8266	-	2	2	directory contains included core algorithm descendant(s)
USE_REALPATH4EVERYTHING-HZ-018	directory	scripts/lib	yes	agent_18	42166	-	2	4	directory contains included core algorithm descendant(s)
USE_REALPATH4EVERYTHING-HZ-019	directory	skills/ask-codex	yes	agent_19	1983	-	2	1	directory contains included core algorithm descendant(s)
USE_REALPATH4EVERYTHING-HZ-020	directory	skills/ask-gemini	yes	agent_20	2410	-	2	1	directory contains included core algorithm descendant(s)
USE_REALPATH4EVERYTHING-HZ-021	directory	skills/humanize	yes	agent_21	7446	-	2	1	directory contains included core algorithm descendant(s)
USE_REALPATH4EVERYTHING-HZ-022	directory	skills/humanize-gen-plan	yes	agent_22	3958	-	2	1	directory contains included core algorithm descendant(s)
USE_REALPATH4EVERYTHING-HZ-023	directory	skills/humanize-refine-plan	yes	agent_23	6293	-	2	1	directory contains included core algorithm descendant(s)
USE_REALPATH4EVERYTHING-HZ-024	directory	skills/humanize-rlcr	yes	agent_24	3688	-	2	1	directory contains included core algorithm descendant(s)
USE_REALPATH4EVERYTHING-SKIP-007	directory	tests/fixtures	no		0	-	2	0	directory only contains skipped non-core files
USE_REALPATH4EVERYTHING-SKIP-008	directory	tests/mocks	no		0	-	2	0	directory only contains skipped non-core files
USE_REALPATH4EVERYTHING-HZ-025	directory	tests/robustness	yes	agent_25	256955	-	2	16	directory contains included core algorithm descendant(s)
USE_REALPATH4EVERYTHING-SKIP-009	file	.claude-plugin/marketplace.json	no		424	1c4bd61dec95ea1e	2		plugin packaging metadata; not core algorithm runtime or specification
USE_REALPATH4EVERYTHING-SKIP-010	file	.claude-plugin/plugin.json	no		628	b804d24c783c2459	2		plugin packaging metadata; not core algorithm runtime or specification
USE_REALPATH4EVERYTHING-SKIP-011	file	.claude/CLAUDE.md	no		1479	39aedaa403b617e6	2		local assistant instruction surface; not repository algorithm behavior
USE_REALPATH4EVERYTHING-HZ-026	file	agents/bitlesson-selector.md	yes	agent_26	1444	d047d095022bef7a	2		agent prompt/policy file defining review or planning behavior
USE_REALPATH4EVERYTHING-HZ-027	file	agents/draft-relevance-checker.md	yes	agent_27	1788	98f5a6a069791828	2		agent prompt/policy file defining review or planning behavior
USE_REALPATH4EVERYTHING-HZ-028	file	agents/plan-compliance-checker.md	yes	agent_28	3619	f0bd96dcc65b6130	2		agent prompt/policy file defining review or planning behavior
USE_REALPATH4EVERYTHING-HZ-029	file	agents/plan-understanding-quiz.md	yes	agent_29	5410	94c1d37780effdd0	2		agent prompt/policy file defining review or planning behavior
USE_REALPATH4EVERYTHING-HZ-030	file	commands/cancel-rlcr-loop.md	yes	agent_30	2060	3346e34ef785b02c	2		command workflow definition for plan/RLCR algorithms
USE_REALPATH4EVERYTHING-HZ-031	file	commands/gen-plan.md	yes	agent_01	33068	764e6d690a4f2f25	2		command workflow definition for plan/RLCR algorithms
USE_REALPATH4EVERYTHING-HZ-032	file	commands/refine-plan.md	yes	agent_02	23115	cb55fada000f8ae4	2		command workflow definition for plan/RLCR algorithms
USE_REALPATH4EVERYTHING-HZ-033	file	commands/start-rlcr-loop.md	yes	agent_03	11701	8811785765cdb487	2		command workflow definition for plan/RLCR algorithms
USE_REALPATH4EVERYTHING-HZ-034	file	config/codex-hooks.json	yes	agent_04	383	5876dc9d0d6f89a6	2		runtime configuration or hook schema participating in gates/routing
USE_REALPATH4EVERYTHING-HZ-035	file	config/default_config.json	yes	agent_05	179	37a67b0b19edeaed	2		runtime configuration or hook schema participating in gates/routing
USE_REALPATH4EVERYTHING-HZ-036	file	docs/bitlesson.md	yes	agent_06	1896	5e0accc0ae90aae0	2		behavior-defining documentation for workflow/state-machine algorithms
USE_REALPATH4EVERYTHING-SKIP-012	file	docs/install-for-claude.md	no		1854	55cc3217faa766b8	2		installation guide; skipped as non-core algorithm content
USE_REALPATH4EVERYTHING-SKIP-013	file	docs/install-for-codex.md	no		3600	cab3c20e7d7f845a	2		installation guide; skipped as non-core algorithm content
USE_REALPATH4EVERYTHING-SKIP-014	file	docs/install-for-kimi.md	no		6441	63ddb4343a9f4f33	2		installation guide; skipped as non-core algorithm content
USE_REALPATH4EVERYTHING-HZ-037	file	docs/usage.md	yes	agent_07	15657	a07ea030acba71df	2		behavior-defining documentation for workflow/state-machine algorithms
