agent	item_count	total_bytes	item_ids	paths
agent_01	1	261423	VCS_CLI_ON_PLAN_FILE-HZ-001	.
agent_02	1	3402	VCS_CLI_ON_PLAN_FILE-HZ-002	commands
agent_03	1	90100	VCS_CLI_ON_PLAN_FILE-HZ-003	hooks
agent_04	1	27875	VCS_CLI_ON_PLAN_FILE-HZ-004	prompt-template
agent_05	1	43868	VCS_CLI_ON_PLAN_FILE-HZ-005	scripts
agent_06	1	84444	VCS_CLI_ON_PLAN_FILE-HZ-006	tests
agent_07	1	11734	VCS_CLI_ON_PLAN_FILE-HZ-007	README.md
agent_08	1	18816	VCS_CLI_ON_PLAN_FILE-HZ-008	hooks/lib
agent_09	1	16015	VCS_CLI_ON_PLAN_FILE-HZ-009	prompt-template/block
agent_10	1	2735	VCS_CLI_ON_PLAN_FILE-HZ-010	prompt-template/claude
agent_11	1	9125	VCS_CLI_ON_PLAN_FILE-HZ-011	prompt-template/codex
agent_12	1	995	VCS_CLI_ON_PLAN_FILE-HZ-012	commands/cancel-rlcr-loop.md
agent_13	1	2407	VCS_CLI_ON_PLAN_FILE-HZ-013	commands/start-rlcr-loop.md
agent_14	1	4425	VCS_CLI_ON_PLAN_FILE-HZ-014	hooks/check-todos-from-transcript.py
agent_15	1	1397	VCS_CLI_ON_PLAN_FILE-HZ-015	hooks/hooks.json
agent_16	1	7570	VCS_CLI_ON_PLAN_FILE-HZ-016	hooks/loop-bash-validator.sh
agent_17	1	33963	VCS_CLI_ON_PLAN_FILE-HZ-017	hooks/loop-codex-stop-hook.sh
agent_18	1	3558	VCS_CLI_ON_PLAN_FILE-HZ-018	hooks/loop-edit-validator.sh
agent_19	1	11017	VCS_CLI_ON_PLAN_FILE-HZ-019	hooks/loop-plan-validator.sh
agent_20	1	4005	VCS_CLI_ON_PLAN_FILE-HZ-020	hooks/loop-read-validator.sh
agent_21	1	5349	VCS_CLI_ON_PLAN_FILE-HZ-021	hooks/loop-write-validator.sh
agent_22	1	22548	VCS_CLI_ON_PLAN_FILE-HZ-022	scripts/humanize.sh
agent_23	1	2116	VCS_CLI_ON_PLAN_FILE-HZ-023	scripts/portable-timeout.sh
agent_24	1	19204	VCS_CLI_ON_PLAN_FILE-HZ-024	scripts/setup-rlcr-loop.sh
agent_25	1	3652	VCS_CLI_ON_PLAN_FILE-HZ-025	tests/test-error-scenarios.sh
agent_26	1	35581	VCS_CLI_ON_PLAN_FILE-HZ-026	tests/test-plan-file-handling.sh
agent_27	1	18077	VCS_CLI_ON_PLAN_FILE-HZ-027	tests/test-template-loader.sh
agent_28	1	7144	VCS_CLI_ON_PLAN_FILE-HZ-028	tests/test-template-references.sh
agent_29	1	19990	VCS_CLI_ON_PLAN_FILE-HZ-029	tests/test-templates-comprehensive.sh
agent_30	1	12414	VCS_CLI_ON_PLAN_FILE-HZ-030	hooks/lib/loop-common.sh
agent_31	1	6402	VCS_CLI_ON_PLAN_FILE-HZ-031	hooks/lib/template-loader.sh
agent_32	1	1101	VCS_CLI_ON_PLAN_FILE-HZ-032	prompt-template/block/branch-changed.md
agent_33	1	441	VCS_CLI_ON_PLAN_FILE-HZ-033	prompt-template/block/codex-review-failed.md
agent_34	1	255	VCS_CLI_ON_PLAN_FILE-HZ-034	prompt-template/block/git-not-clean-humanize-local.md
agent_35	1	451	VCS_CLI_ON_PLAN_FILE-HZ-035	prompt-template/block/git-not-clean-untracked.md
agent_36	1	817	VCS_CLI_ON_PLAN_FILE-HZ-036	prompt-template/block/git-not-clean.md
agent_37	1	270	VCS_CLI_ON_PLAN_FILE-HZ-037	prompt-template/block/git-push.md
agent_38	1	289	VCS_CLI_ON_PLAN_FILE-HZ-038	prompt-template/block/goal-tracker-bash-write.md
agent_39	1	792	VCS_CLI_ON_PLAN_FILE-HZ-039	prompt-template/block/goal-tracker-modification.md
agent_40	1	707	VCS_CLI_ON_PLAN_FILE-HZ-040	prompt-template/block/goal-tracker-not-initialized.md
agent_41	1	442	VCS_CLI_ON_PLAN_FILE-HZ-041	prompt-template/block/incomplete-todos.md
agent_42	1	1088	VCS_CLI_ON_PLAN_FILE-HZ-042	prompt-template/block/large-files.md
agent_43	1	599	VCS_CLI_ON_PLAN_FILE-HZ-043	prompt-template/block/plan-file-changed-commit-mode.md
agent_44	1	540	VCS_CLI_ON_PLAN_FILE-HZ-044	prompt-template/block/plan-file-changed-prompt-block.md
agent_45	1	1242	VCS_CLI_ON_PLAN_FILE-HZ-045	prompt-template/block/plan-file-committed.md
agent_46	1	739	VCS_CLI_ON_PLAN_FILE-HZ-046	prompt-template/block/plan-file-modified-warning.md
agent_47	1	376	VCS_CLI_ON_PLAN_FILE-HZ-047	prompt-template/block/plan-file-not-tracked.md
agent_48	1	514	VCS_CLI_ON_PLAN_FILE-HZ-048	prompt-template/block/plan-file-outside-repo-conflict.md
agent_49	1	967	VCS_CLI_ON_PLAN_FILE-HZ-049	prompt-template/block/plan-file-staged.md
agent_50	1	462	VCS_CLI_ON_PLAN_FILE-HZ-050	prompt-template/block/plan-file-uncommitted.md
agent_51	1	887	VCS_CLI_ON_PLAN_FILE-HZ-051	prompt-template/block/pre-112-state-file.md
agent_52	1	413	VCS_CLI_ON_PLAN_FILE-HZ-052	prompt-template/block/prompt-file-write.md
agent_53	1	238	VCS_CLI_ON_PLAN_FILE-HZ-053	prompt-template/block/state-file-modification.md
agent_54	1	302	VCS_CLI_ON_PLAN_FILE-HZ-054	prompt-template/block/summary-bash-write.md
agent_55	1	253	VCS_CLI_ON_PLAN_FILE-HZ-055	prompt-template/block/todos-file-access.md
agent_56	1	348	VCS_CLI_ON_PLAN_FILE-HZ-056	prompt-template/block/unpushed-commits.md
agent_57	1	335	VCS_CLI_ON_PLAN_FILE-HZ-057	prompt-template/block/work-summary-missing.md
agent_58	1	152	VCS_CLI_ON_PLAN_FILE-HZ-058	prompt-template/block/wrong-directory-path.md
agent_59	1	318	VCS_CLI_ON_PLAN_FILE-HZ-059	prompt-template/block/wrong-file-location.md
agent_60	1	343	VCS_CLI_ON_PLAN_FILE-HZ-060	prompt-template/block/wrong-round-file.md
