item_id	path_type	path	included	assigned_agent	bytes	sha16	depth	core_descendant_files	reason
VCS_CLI_ON_PLAN_FILE-HZ-001	directory	.	yes	agent_01	261423	-	0	60	directory contains included core algorithm descendant(s)
VCS_CLI_ON_PLAN_FILE-SKIP-001	directory	.claude	no		0	-	1	0	directory only contains skipped non-core files
VCS_CLI_ON_PLAN_FILE-SKIP-002	directory	.claude-plugin	no		0	-	1	0	directory only contains skipped non-core files
VCS_CLI_ON_PLAN_FILE-SKIP-003	directory	.github	no		0	-	1	0	directory only contains skipped non-core files
VCS_CLI_ON_PLAN_FILE-HZ-002	directory	commands	yes	agent_02	3402	-	1	2	directory contains included core algorithm descendant(s)
VCS_CLI_ON_PLAN_FILE-HZ-003	directory	hooks	yes	agent_03	90100	-	1	10	directory contains included core algorithm descendant(s)
VCS_CLI_ON_PLAN_FILE-HZ-004	directory	prompt-template	yes	agent_04	27875	-	1	39	directory contains included core algorithm descendant(s)
VCS_CLI_ON_PLAN_FILE-HZ-005	directory	scripts	yes	agent_05	43868	-	1	3	directory contains included core algorithm descendant(s)
VCS_CLI_ON_PLAN_FILE-HZ-006	directory	tests	yes	agent_06	84444	-	1	5	directory contains included core algorithm descendant(s)
VCS_CLI_ON_PLAN_FILE-SKIP-004	file	.gitignore	no		120	14e0f2b2a3759fc4	0		metadata only; not algorithm behavior
VCS_CLI_ON_PLAN_FILE-HZ-007	file	README.md	yes	agent_07	11734	a2c791956a6fbf6d	0		behavior-defining documentation for workflow/state-machine algorithms
VCS_CLI_ON_PLAN_FILE-SKIP-005	directory	.github/workflows	no		0	-	2	0	directory only contains skipped non-core files
VCS_CLI_ON_PLAN_FILE-HZ-008	directory	hooks/lib	yes	agent_08	18816	-	2	2	directory contains included core algorithm descendant(s)
VCS_CLI_ON_PLAN_FILE-HZ-009	directory	prompt-template/block	yes	agent_09	16015	-	2	31	directory contains included core algorithm descendant(s)
VCS_CLI_ON_PLAN_FILE-HZ-010	directory	prompt-template/claude	yes	agent_10	2735	-	2	5	directory contains included core algorithm descendant(s)
VCS_CLI_ON_PLAN_FILE-HZ-011	directory	prompt-template/codex	yes	agent_11	9125	-	2	3	directory contains included core algorithm descendant(s)
VCS_CLI_ON_PLAN_FILE-SKIP-006	file	.claude-plugin/marketplace.json	no		425	2ef163d322980003	2		plugin packaging metadata; not core algorithm runtime or specification
VCS_CLI_ON_PLAN_FILE-SKIP-007	file	.claude-plugin/plugin.json	no		636	f7172f5a83c24c38	2		plugin packaging metadata; not core algorithm runtime or specification
VCS_CLI_ON_PLAN_FILE-SKIP-008	file	.claude/CLAUDE.md	no		1325	775a4b0fdc6adc19	2		local assistant instruction surface; not repository algorithm behavior
VCS_CLI_ON_PLAN_FILE-HZ-012	file	commands/cancel-rlcr-loop.md	yes	agent_12	995	ce9e856fe4f4d195	2		command workflow definition for plan/RLCR algorithms
VCS_CLI_ON_PLAN_FILE-HZ-013	file	commands/start-rlcr-loop.md	yes	agent_13	2407	2878e20e74f3b2af	2		command workflow definition for plan/RLCR algorithms
VCS_CLI_ON_PLAN_FILE-HZ-014	file	hooks/check-todos-from-transcript.py	yes	agent_14	4425	44d0d28cf2dab213	2		hook or validator implementation for the RLCR state machine
VCS_CLI_ON_PLAN_FILE-HZ-015	file	hooks/hooks.json	yes	agent_15	1397	ffa39b0e94479a1f	2		hook or validator implementation for the RLCR state machine
VCS_CLI_ON_PLAN_FILE-HZ-016	file	hooks/loop-bash-validator.sh	yes	agent_16	7570	fa967dd354ad5784	2		hook or validator implementation for the RLCR state machine
VCS_CLI_ON_PLAN_FILE-HZ-017	file	hooks/loop-codex-stop-hook.sh	yes	agent_17	33963	36c273f69b87f2ff	2		hook or validator implementation for the RLCR state machine
VCS_CLI_ON_PLAN_FILE-HZ-018	file	hooks/loop-edit-validator.sh	yes	agent_18	3558	3e425a10a29c1093	2		hook or validator implementation for the RLCR state machine
VCS_CLI_ON_PLAN_FILE-HZ-019	file	hooks/loop-plan-validator.sh	yes	agent_19	11017	f66f7f87c593469e	2		hook or validator implementation for the RLCR state machine
VCS_CLI_ON_PLAN_FILE-HZ-020	file	hooks/loop-read-validator.sh	yes	agent_20	4005	c7961ccb60569f66	2		hook or validator implementation for the RLCR state machine
VCS_CLI_ON_PLAN_FILE-HZ-021	file	hooks/loop-write-validator.sh	yes	agent_21	5349	9764535c7fb940c0	2		hook or validator implementation for the RLCR state machine
VCS_CLI_ON_PLAN_FILE-HZ-022	file	scripts/humanize.sh	yes	agent_22	22548	d55a2e13c661d314	2		runtime script implementing workflow, routing, monitor, validation, or state behavior
VCS_CLI_ON_PLAN_FILE-HZ-023	file	scripts/portable-timeout.sh	yes	agent_23	2116	0e35de1118d19699	2		runtime script implementing workflow, routing, monitor, validation, or state behavior
VCS_CLI_ON_PLAN_FILE-HZ-024	file	scripts/setup-rlcr-loop.sh	yes	agent_24	19204	4ce8e828eefdf0b1	2		runtime script implementing workflow, routing, monitor, validation, or state behavior
VCS_CLI_ON_PLAN_FILE-HZ-025	file	tests/test-error-scenarios.sh	yes	agent_25	3652	8c6badba785c33c4	2		executable specification for core algorithm behavior
VCS_CLI_ON_PLAN_FILE-HZ-026	file	tests/test-plan-file-handling.sh	yes	agent_26	35581	ff364c6da0d031d2	2		executable specification for core algorithm behavior
VCS_CLI_ON_PLAN_FILE-HZ-027	file	tests/test-template-loader.sh	yes	agent_27	18077	84e147b01af69505	2		executable specification for core algorithm behavior
VCS_CLI_ON_PLAN_FILE-HZ-028	file	tests/test-template-references.sh	yes	agent_28	7144	1ce7f75b0f6dcb42	2		executable specification for core algorithm behavior
VCS_CLI_ON_PLAN_FILE-HZ-029	file	tests/test-templates-comprehensive.sh	yes	agent_29	19990	90cce2d7a176322d	2		executable specification for core algorithm behavior
VCS_CLI_ON_PLAN_FILE-SKIP-009	file	.github/workflows/claude-code-review.yml	no		1433	ce8fe14a843b7409	3		CI workflow; not core algorithm runtime or specification
VCS_CLI_ON_PLAN_FILE-SKIP-010	file	.github/workflows/claude.yml	no		1886	87337a6a879160b8	3		CI workflow; not core algorithm runtime or specification
VCS_CLI_ON_PLAN_FILE-SKIP-011	file	.github/workflows/shell-syntax-check.yml	no		1700	37727577fefbef88	3		CI workflow; not core algorithm runtime or specification
VCS_CLI_ON_PLAN_FILE-SKIP-012	file	.github/workflows/template-test.yml	no		2514	559329b9785c49df	3		CI workflow; not core algorithm runtime or specification
VCS_CLI_ON_PLAN_FILE-SKIP-013	file	.github/workflows/version-bump-check.yml	no		4242	cad2229ba1abc7c1	3		CI workflow; not core algorithm runtime or specification
VCS_CLI_ON_PLAN_FILE-HZ-030	file	hooks/lib/loop-common.sh	yes	agent_30	12414	84cc3d6cffcc9ff5	3		hook or validator implementation for the RLCR state machine
VCS_CLI_ON_PLAN_FILE-HZ-031	file	hooks/lib/template-loader.sh	yes	agent_31	6402	96c7e86532a093b3	3		hook or validator implementation for the RLCR state machine
VCS_CLI_ON_PLAN_FILE-HZ-032	file	prompt-template/block/branch-changed.md	yes	agent_32	1101	154a2cc727d483a4	3		prompt/block template defining algorithmic transitions, gates, or review contracts
VCS_CLI_ON_PLAN_FILE-HZ-033	file	prompt-template/block/codex-review-failed.md	yes	agent_33	441	da0e92480e856991	3		prompt/block template defining algorithmic transitions, gates, or review contracts
VCS_CLI_ON_PLAN_FILE-HZ-034	file	prompt-template/block/git-not-clean-humanize-local.md	yes	agent_34	255	7928478493aff105	3		prompt/block template defining algorithmic transitions, gates, or review contracts
VCS_CLI_ON_PLAN_FILE-HZ-035	file	prompt-template/block/git-not-clean-untracked.md	yes	agent_35	451	f43695d9bf683067	3		prompt/block template defining algorithmic transitions, gates, or review contracts
VCS_CLI_ON_PLAN_FILE-HZ-036	file	prompt-template/block/git-not-clean.md	yes	agent_36	817	27fdbf4b61e9c3e8	3		prompt/block template defining algorithmic transitions, gates, or review contracts
VCS_CLI_ON_PLAN_FILE-HZ-037	file	prompt-template/block/git-push.md	yes	agent_37	270	6f6a914581c44bf4	3		prompt/block template defining algorithmic transitions, gates, or review contracts
VCS_CLI_ON_PLAN_FILE-HZ-038	file	prompt-template/block/goal-tracker-bash-write.md	yes	agent_38	289	10bd3180103232ab	3		prompt/block template defining algorithmic transitions, gates, or review contracts
