item_id	path_type	path	bytes	sha16	depth	reason
VCS_CLI_ON_PLAN_FILE-SKIP-001	directory	.claude	0	-	1	directory only contains skipped non-core files
VCS_CLI_ON_PLAN_FILE-SKIP-002	directory	.claude-plugin	0	-	1	directory only contains skipped non-core files
VCS_CLI_ON_PLAN_FILE-SKIP-003	directory	.github	0	-	1	directory only contains skipped non-core files
VCS_CLI_ON_PLAN_FILE-SKIP-004	file	.gitignore	120	14e0f2b2a3759fc4	0	metadata only; not algorithm behavior
VCS_CLI_ON_PLAN_FILE-SKIP-005	directory	.github/workflows	0	-	2	directory only contains skipped non-core files
VCS_CLI_ON_PLAN_FILE-SKIP-006	file	.claude-plugin/marketplace.json	425	2ef163d322980003	2	plugin packaging metadata; not core algorithm runtime or specification
VCS_CLI_ON_PLAN_FILE-SKIP-007	file	.claude-plugin/plugin.json	636	f7172f5a83c24c38	2	plugin packaging metadata; not core algorithm runtime or specification
VCS_CLI_ON_PLAN_FILE-SKIP-008	file	.claude/CLAUDE.md	1325	775a4b0fdc6adc19	2	local assistant instruction surface; not repository algorithm behavior
VCS_CLI_ON_PLAN_FILE-SKIP-009	file	.github/workflows/claude-code-review.yml	1433	ce8fe14a843b7409	3	CI workflow; not core algorithm runtime or specification
VCS_CLI_ON_PLAN_FILE-SKIP-010	file	.github/workflows/claude.yml	1886	87337a6a879160b8	3	CI workflow; not core algorithm runtime or specification
VCS_CLI_ON_PLAN_FILE-SKIP-011	file	.github/workflows/shell-syntax-check.yml	1700	37727577fefbef88	3	CI workflow; not core algorithm runtime or specification
VCS_CLI_ON_PLAN_FILE-SKIP-012	file	.github/workflows/template-test.yml	2514	559329b9785c49df	3	CI workflow; not core algorithm runtime or specification
VCS_CLI_ON_PLAN_FILE-SKIP-013	file	.github/workflows/version-bump-check.yml	4242	cad2229ba1abc7c1	3	CI workflow; not core algorithm runtime or specification
