item_id	checkbox_state	claim_state	assigned_agent	tmux_session	slot	path_type	path	dependencies	owned_path_scope	worker_output	master_status
OH_MY_HUMANIZE_MAIN-HZ-001	[ ]	unclaimed	agent_01	ohmyhumanize_main_1to1_20260619	01	directory	.		.	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_01/output.md	pending
OH_MY_HUMANIZE_MAIN-HZ-002	[ ]	unclaimed	agent_02	ohmyhumanize_main_1to1_20260619	02	directory	crates		crates	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_02/output.md	pending
OH_MY_HUMANIZE_MAIN-HZ-003	[ ]	unclaimed	agent_03	ohmyhumanize_main_1to1_20260619	03	directory	docs		docs	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_03/output.md	pending
OH_MY_HUMANIZE_MAIN-HZ-004	[ ]	unclaimed	agent_04	ohmyhumanize_main_1to1_20260619	04	directory	infra		infra	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_04/output.md	pending
OH_MY_HUMANIZE_MAIN-HZ-005	[ ]	unclaimed	agent_05	ohmyhumanize_main_1to1_20260619	05	directory	packages		packages	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_05/output.md	pending
OH_MY_HUMANIZE_MAIN-HZ-006	[ ]	unclaimed	agent_06	ohmyhumanize_main_1to1_20260619	06	directory	python		python	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_06/output.md	pending
OH_MY_HUMANIZE_MAIN-HZ-007	[ ]	unclaimed	agent_07	ohmyhumanize_main_1to1_20260619	07	directory	scripts		scripts	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_07/output.md	pending
OH_MY_HUMANIZE_MAIN-HZ-008	[ ]	unclaimed	agent_08	ohmyhumanize_main_1to1_20260619	08	file	.fallowrc.jsonc		.fallowrc.jsonc	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_08/output.md	pending
OH_MY_HUMANIZE_MAIN-HZ-009	[ ]	unclaimed	agent_09	ohmyhumanize_main_1to1_20260619	09	file	AGENTS.md		AGENTS.md	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_09/output.md	pending
OH_MY_HUMANIZE_MAIN-HZ-010	[ ]	unclaimed	agent_10	ohmyhumanize_main_1to1_20260619	10	file	Cargo.toml		Cargo.toml	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_10/output.md	pending
OH_MY_HUMANIZE_MAIN-HZ-011	[ ]	unclaimed	agent_11	ohmyhumanize_main_1to1_20260619	11	file	README.md		README.md	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_11/output.md	pending
OH_MY_HUMANIZE_MAIN-HZ-012	[ ]	unclaimed	agent_12	ohmyhumanize_main_1to1_20260619	12	file	biome.json		biome.json	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_12/output.md	pending
OH_MY_HUMANIZE_MAIN-HZ-013	[ ]	unclaimed	agent_13	ohmyhumanize_main_1to1_20260619	13	file	bunfig.toml		bunfig.toml	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_13/output.md	pending
OH_MY_HUMANIZE_MAIN-HZ-014	[ ]	unclaimed	agent_14	ohmyhumanize_main_1to1_20260619	14	file	rust-analyzer.toml		rust-analyzer.toml	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_14/output.md	pending
OH_MY_HUMANIZE_MAIN-HZ-015	[ ]	unclaimed	agent_15	ohmyhumanize_main_1to1_20260619	15	file	rust-toolchain.toml		rust-toolchain.toml	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_15/output.md	pending
OH_MY_HUMANIZE_MAIN-HZ-016	[ ]	unclaimed	agent_16	ohmyhumanize_main_1to1_20260619	16	file	rustfmt.toml		rustfmt.toml	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_16/output.md	pending
OH_MY_HUMANIZE_MAIN-HZ-017	[ ]	unclaimed	agent_17	ohmyhumanize_main_1to1_20260619	17	file	tsconfig.base.json		tsconfig.base.json	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_17/output.md	pending
OH_MY_HUMANIZE_MAIN-HZ-018	[ ]	unclaimed	agent_18	ohmyhumanize_main_1to1_20260619	18	file	tsconfig.tools.json		tsconfig.tools.json	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_18/output.md	pending
OH_MY_HUMANIZE_MAIN-HZ-019	[ ]	unclaimed	agent_19	ohmyhumanize_main_1to1_20260619	19	directory	crates/pi-ast		crates/pi-ast	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_19/output.md	pending
OH_MY_HUMANIZE_MAIN-HZ-020	[ ]	unclaimed	agent_20	ohmyhumanize_main_1to1_20260619	20	directory	crates/pi-iso		crates/pi-iso	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_20/output.md	pending
OH_MY_HUMANIZE_MAIN-HZ-021	[ ]	unclaimed	agent_21	ohmyhumanize_main_1to1_20260619	21	directory	crates/pi-natives		crates/pi-natives	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_21/output.md	pending
OH_MY_HUMANIZE_MAIN-HZ-022	[ ]	unclaimed	agent_22	ohmyhumanize_main_1to1_20260619	22	directory	crates/pi-shell		crates/pi-shell	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_22/output.md	pending
OH_MY_HUMANIZE_MAIN-HZ-023	[ ]	unclaimed	agent_23	ohmyhumanize_main_1to1_20260619	23	directory	docs/toolconv		docs/toolconv	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_23/output.md	pending
OH_MY_HUMANIZE_MAIN-HZ-024	[ ]	unclaimed	agent_24	ohmyhumanize_main_1to1_20260619	24	directory	docs/tools		docs/tools	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_24/output.md	pending
OH_MY_HUMANIZE_MAIN-HZ-025	[ ]	unclaimed	agent_25	ohmyhumanize_main_1to1_20260619	25	directory	packages/agent		packages/agent	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_25/output.md	pending
OH_MY_HUMANIZE_MAIN-HZ-026	[ ]	unclaimed	agent_26	ohmyhumanize_main_1to1_20260619	26	directory	packages/ai		packages/ai	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_26/output.md	pending
OH_MY_HUMANIZE_MAIN-HZ-027	[ ]	unclaimed	agent_27	ohmyhumanize_main_1to1_20260619	27	directory	packages/catalog		packages/catalog	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_27/output.md	pending
OH_MY_HUMANIZE_MAIN-HZ-028	[ ]	unclaimed	agent_28	ohmyhumanize_main_1to1_20260619	28	directory	packages/coding-agent		packages/coding-agent	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_28/output.md	pending
OH_MY_HUMANIZE_MAIN-HZ-029	[ ]	unclaimed	agent_29	ohmyhumanize_main_1to1_20260619	29	directory	packages/collab-web		packages/collab-web	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_29/output.md	pending
OH_MY_HUMANIZE_MAIN-HZ-030	[ ]	unclaimed	agent_30	ohmyhumanize_main_1to1_20260619	30	directory	packages/hashline		packages/hashline	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_30/output.md	pending
OH_MY_HUMANIZE_MAIN-HZ-031	[ ]	unclaimed	agent_01	ohmyhumanize_main_1to1_20260619	01	directory	packages/mnemopi		packages/mnemopi	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_01/output.md	pending
OH_MY_HUMANIZE_MAIN-HZ-032	[ ]	unclaimed	agent_02	ohmyhumanize_main_1to1_20260619	02	directory	packages/natives		packages/natives	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_02/output.md	pending
OH_MY_HUMANIZE_MAIN-HZ-033	[ ]	unclaimed	agent_03	ohmyhumanize_main_1to1_20260619	03	directory	packages/snapcompact		packages/snapcompact	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_03/output.md	pending
OH_MY_HUMANIZE_MAIN-HZ-034	[ ]	unclaimed	agent_04	ohmyhumanize_main_1to1_20260619	04	directory	packages/stats		packages/stats	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_04/output.md	pending
OH_MY_HUMANIZE_MAIN-HZ-035	[ ]	unclaimed	agent_05	ohmyhumanize_main_1to1_20260619	05	directory	packages/swarm-extension		packages/swarm-extension	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_05/output.md	pending
OH_MY_HUMANIZE_MAIN-HZ-036	[ ]	unclaimed	agent_06	ohmyhumanize_main_1to1_20260619	06	directory	packages/tui		packages/tui	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_06/output.md	pending
OH_MY_HUMANIZE_MAIN-HZ-037	[ ]	unclaimed	agent_07	ohmyhumanize_main_1to1_20260619	07	directory	packages/typescript-edit-benchmark		packages/typescript-edit-benchmark	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_07/output.md	pending
OH_MY_HUMANIZE_MAIN-HZ-038	[ ]	unclaimed	agent_08	ohmyhumanize_main_1to1_20260619	08	directory	packages/utils		packages/utils	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_08/output.md	pending
OH_MY_HUMANIZE_MAIN-HZ-039	[ ]	unclaimed	agent_09	ohmyhumanize_main_1to1_20260619	09	directory	packages/wire		packages/wire	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_09/output.md	pending
OH_MY_HUMANIZE_MAIN-HZ-040	[ ]	unclaimed	agent_10	ohmyhumanize_main_1to1_20260619	10	directory	python/omp-rpc		python/omp-rpc	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_10/output.md	pending
OH_MY_HUMANIZE_MAIN-HZ-041	[ ]	unclaimed	agent_11	ohmyhumanize_main_1to1_20260619	11	directory	python/robomp		python/robomp	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_11/output.md	pending
OH_MY_HUMANIZE_MAIN-HZ-042	[ ]	unclaimed	agent_12	ohmyhumanize_main_1to1_20260619	12	directory	scripts/install-tests		scripts/install-tests	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_12/output.md	pending
OH_MY_HUMANIZE_MAIN-HZ-043	[ ]	unclaimed	agent_13	ohmyhumanize_main_1to1_20260619	13	directory	scripts/session-stats		scripts/session-stats	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_13/output.md	pending
OH_MY_HUMANIZE_MAIN-HZ-044	[ ]	unclaimed	agent_14	ohmyhumanize_main_1to1_20260619	14	file	docs/ai-schema-normalize.md		docs/ai-schema-normalize.md	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_14/output.md	pending
OH_MY_HUMANIZE_MAIN-HZ-045	[ ]	unclaimed	agent_15	ohmyhumanize_main_1to1_20260619	15	file	docs/bash-tool-runtime.md		docs/bash-tool-runtime.md	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_15/output.md	pending
OH_MY_HUMANIZE_MAIN-HZ-046	[ ]	unclaimed	agent_16	ohmyhumanize_main_1to1_20260619	16	file	docs/blob-artifact-architecture.md		docs/blob-artifact-architecture.md	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_16/output.md	pending
OH_MY_HUMANIZE_MAIN-HZ-047	[ ]	unclaimed	agent_17	ohmyhumanize_main_1to1_20260619	17	file	docs/compaction.md		docs/compaction.md	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_17/output.md	pending
OH_MY_HUMANIZE_MAIN-HZ-048	[ ]	unclaimed	agent_18	ohmyhumanize_main_1to1_20260619	18	file	docs/custom-tools.md		docs/custom-tools.md	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_18/output.md	pending
OH_MY_HUMANIZE_MAIN-HZ-049	[ ]	unclaimed	agent_19	ohmyhumanize_main_1to1_20260619	19	file	docs/fs-scan-cache-architecture.md		docs/fs-scan-cache-architecture.md	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_19/output.md	pending
OH_MY_HUMANIZE_MAIN-HZ-050	[ ]	unclaimed	agent_20	ohmyhumanize_main_1to1_20260619	20	file	docs/handoff-generation-pipeline.md		docs/handoff-generation-pipeline.md	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_20/output.md	pending
OH_MY_HUMANIZE_MAIN-HZ-051	[ ]	unclaimed	agent_21	ohmyhumanize_main_1to1_20260619	21	file	docs/mcp-config.md		docs/mcp-config.md	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_21/output.md	pending
OH_MY_HUMANIZE_MAIN-HZ-052	[ ]	unclaimed	agent_22	ohmyhumanize_main_1to1_20260619	22	file	docs/mcp-protocol-transports.md		docs/mcp-protocol-transports.md	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_22/output.md	pending
OH_MY_HUMANIZE_MAIN-HZ-053	[ ]	unclaimed	agent_23	ohmyhumanize_main_1to1_20260619	23	file	docs/mcp-runtime-lifecycle.md		docs/mcp-runtime-lifecycle.md	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_23/output.md	pending
OH_MY_HUMANIZE_MAIN-HZ-054	[ ]	unclaimed	agent_24	ohmyhumanize_main_1to1_20260619	24	file	docs/mcp-server-tool-authoring.md		docs/mcp-server-tool-authoring.md	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_24/output.md	pending
OH_MY_HUMANIZE_MAIN-HZ-055	[ ]	unclaimed	agent_25	ohmyhumanize_main_1to1_20260619	25	file	docs/memory.md		docs/memory.md	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_25/output.md	pending
OH_MY_HUMANIZE_MAIN-HZ-056	[ ]	unclaimed	agent_26	ohmyhumanize_main_1to1_20260619	26	file	docs/mnemosyne-memory-backend.md		docs/mnemosyne-memory-backend.md	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_26/output.md	pending
OH_MY_HUMANIZE_MAIN-HZ-057	[ ]	unclaimed	agent_27	ohmyhumanize_main_1to1_20260619	27	file	docs/natives-addon-loader-runtime.md		docs/natives-addon-loader-runtime.md	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_27/output.md	pending
OH_MY_HUMANIZE_MAIN-HZ-058	[ ]	unclaimed	agent_28	ohmyhumanize_main_1to1_20260619	28	file	docs/natives-architecture.md		docs/natives-architecture.md	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_28/output.md	pending
OH_MY_HUMANIZE_MAIN-HZ-059	[ ]	unclaimed	agent_29	ohmyhumanize_main_1to1_20260619	29	file	docs/natives-binding-contract.md		docs/natives-binding-contract.md	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_29/output.md	pending
OH_MY_HUMANIZE_MAIN-HZ-060	[ ]	unclaimed	agent_30	ohmyhumanize_main_1to1_20260619	30	file	docs/natives-build-release-debugging.md		docs/natives-build-release-debugging.md	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_30/output.md	pending
OH_MY_HUMANIZE_MAIN-HZ-061	[ ]	unclaimed	agent_01	ohmyhumanize_main_1to1_20260619	01	file	docs/natives-media-system-utils.md		docs/natives-media-system-utils.md	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_01/output.md	pending
OH_MY_HUMANIZE_MAIN-HZ-062	[ ]	unclaimed	agent_02	ohmyhumanize_main_1to1_20260619	02	file	docs/natives-rust-task-cancellation.md		docs/natives-rust-task-cancellation.md	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_02/output.md	pending
OH_MY_HUMANIZE_MAIN-HZ-063	[ ]	unclaimed	agent_03	ohmyhumanize_main_1to1_20260619	03	file	docs/natives-shell-pty-process.md		docs/natives-shell-pty-process.md	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_03/output.md	pending
OH_MY_HUMANIZE_MAIN-HZ-064	[ ]	unclaimed	agent_04	ohmyhumanize_main_1to1_20260619	04	file	docs/natives-text-search-pipeline.md		docs/natives-text-search-pipeline.md	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_04/output.md	pending
OH_MY_HUMANIZE_MAIN-HZ-065	[ ]	unclaimed	agent_05	ohmyhumanize_main_1to1_20260619	05	file	docs/non-compaction-retry-policy.md		docs/non-compaction-retry-policy.md	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_05/output.md	pending
OH_MY_HUMANIZE_MAIN-HZ-066	[ ]	unclaimed	agent_06	ohmyhumanize_main_1to1_20260619	06	file	docs/notebook-tool-runtime.md		docs/notebook-tool-runtime.md	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_06/output.md	pending
OH_MY_HUMANIZE_MAIN-HZ-067	[ ]	unclaimed	agent_07	ohmyhumanize_main_1to1_20260619	07	file	docs/porting-to-natives.md		docs/porting-to-natives.md	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_07/output.md	pending
OH_MY_HUMANIZE_MAIN-HZ-068	[ ]	unclaimed	agent_08	ohmyhumanize_main_1to1_20260619	08	file	docs/resolve-tool-runtime.md		docs/resolve-tool-runtime.md	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_08/output.md	pending
OH_MY_HUMANIZE_MAIN-HZ-069	[ ]	unclaimed	agent_09	ohmyhumanize_main_1to1_20260619	09	file	docs/rulebook-matching-pipeline.md		docs/rulebook-matching-pipeline.md	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_09/output.md	pending
OH_MY_HUMANIZE_MAIN-HZ-070	[ ]	unclaimed	agent_10	ohmyhumanize_main_1to1_20260619	10	file	docs/session-operations-export-share-fork-resume.md		docs/session-operations-export-share-fork-resume.md	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_10/output.md	pending
OH_MY_HUMANIZE_MAIN-HZ-071	[ ]	unclaimed	agent_11	ohmyhumanize_main_1to1_20260619	11	file	docs/session-switching-and-recent-listing.md		docs/session-switching-and-recent-listing.md	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_11/output.md	pending
OH_MY_HUMANIZE_MAIN-HZ-072	[ ]	unclaimed	agent_12	ohmyhumanize_main_1to1_20260619	12	file	docs/session-tree-plan.md		docs/session-tree-plan.md	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_12/output.md	pending
OH_MY_HUMANIZE_MAIN-HZ-073	[ ]	unclaimed	agent_13	ohmyhumanize_main_1to1_20260619	13	file	docs/session.md		docs/session.md	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_13/output.md	pending
