item_id	checkbox_state	claim_state	assigned_agent	tmux_session	slot	path_type	path	dependencies	owned_path_scope	worker_output	master_status
OH_MY_HUMANIZE_MAIN-HZ-001	[x]	finished	agent_01	ohmyhumanize_main_1to1_20260619	01	directory	.		.	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_01/output.md	accepted
OH_MY_HUMANIZE_MAIN-HZ-002	[x]	finished	agent_02	ohmyhumanize_main_1to1_20260619	02	directory	crates		crates	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_02/output.md	accepted
OH_MY_HUMANIZE_MAIN-HZ-003	[x]	finished	agent_03	ohmyhumanize_main_1to1_20260619	03	directory	docs		docs	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_03/output.md	accepted
OH_MY_HUMANIZE_MAIN-HZ-004	[x]	finished	agent_04	ohmyhumanize_main_1to1_20260619	04	directory	infra		infra	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_04/output.md	accepted
OH_MY_HUMANIZE_MAIN-HZ-005	[x]	finished	agent_05	ohmyhumanize_main_1to1_20260619	05	directory	packages		packages	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_05/output.md	accepted
OH_MY_HUMANIZE_MAIN-HZ-006	[x]	finished	agent_06	ohmyhumanize_main_1to1_20260619	06	directory	python		python	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_06/output.md	accepted
OH_MY_HUMANIZE_MAIN-HZ-007	[x]	finished	agent_07	ohmyhumanize_main_1to1_20260619	07	directory	scripts		scripts	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_07/output.md	accepted
OH_MY_HUMANIZE_MAIN-HZ-008	[x]	finished	agent_08	ohmyhumanize_main_1to1_20260619	08	file	.fallowrc.jsonc		.fallowrc.jsonc	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_08/output.md	accepted
OH_MY_HUMANIZE_MAIN-HZ-009	[x]	finished	agent_09	ohmyhumanize_main_1to1_20260619	09	file	AGENTS.md		AGENTS.md	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_09/output.md	accepted
OH_MY_HUMANIZE_MAIN-HZ-010	[x]	finished	agent_10	ohmyhumanize_main_1to1_20260619	10	file	Cargo.toml		Cargo.toml	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_10/output.md	accepted
OH_MY_HUMANIZE_MAIN-HZ-011	[x]	finished	agent_11	ohmyhumanize_main_1to1_20260619	11	file	README.md		README.md	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_11/output.md	accepted
OH_MY_HUMANIZE_MAIN-HZ-012	[x]	finished	agent_12	ohmyhumanize_main_1to1_20260619	12	file	biome.json		biome.json	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_12/output.md	accepted
OH_MY_HUMANIZE_MAIN-HZ-013	[x]	finished	agent_13	ohmyhumanize_main_1to1_20260619	13	file	bunfig.toml		bunfig.toml	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_13/output.md	accepted
