item_id	path_type	path	bytes	sha16	depth	reason
OH_MY_HUMANIZE_MAIN-SKIP-001	directory	.github	0	-	1	directory only contains skipped non-core files
OH_MY_HUMANIZE_MAIN-SKIP-002	directory	.omp	0	-	1	no included core algorithm descendants
OH_MY_HUMANIZE_MAIN-SKIP-003	directory	assets	0	-	1	no included core algorithm descendants
OH_MY_HUMANIZE_MAIN-SKIP-004	directory	patches	0	-	1	no included core algorithm descendants
OH_MY_HUMANIZE_MAIN-SKIP-005	directory	types	0	-	1	no included core algorithm descendants
OH_MY_HUMANIZE_MAIN-SKIP-006	file	.gitattributes	1032	826fe4b36f70ae8f	0	outside the core algorithm subset
OH_MY_HUMANIZE_MAIN-SKIP-007	file	.gitignore	1124	c9cf16062aa66d59	0	metadata only; not algorithm behavior
OH_MY_HUMANIZE_MAIN-SKIP-008	file	Cargo.lock	123165	50722b6242bd5d33	0	dependency lockfile; skipped as generated/package metadata
OH_MY_HUMANIZE_MAIN-SKIP-009	file	Dockerfile	7167	2d319d04ff62d4d8	0	outside the core algorithm subset
OH_MY_HUMANIZE_MAIN-SKIP-010	file	Dockerfile.dockerignore	1388	daa9e778b0c7a2d5	0	outside the core algorithm subset
OH_MY_HUMANIZE_MAIN-SKIP-011	file	Dockerfile.robomp	3126	7d2ba9e71e2daf84	0	outside the core algorithm subset
OH_MY_HUMANIZE_MAIN-SKIP-012	file	Dockerfile.robomp.dockerignore	1817	e5ed7d15e3045b86	0	outside the core algorithm subset
OH_MY_HUMANIZE_MAIN-SKIP-013	file	LICENSE	1106	545636e19386d3d4	0	outside the core algorithm subset
OH_MY_HUMANIZE_MAIN-SKIP-014	file	bun.lock	148353	03ed125da94cd4c2	0	dependency lockfile; skipped as generated/package metadata
OH_MY_HUMANIZE_MAIN-SKIP-015	file	package.json	9977	74352f7dcba116aa	0	package-level build metadata; skipped unless workspace-level
OH_MY_HUMANIZE_MAIN-SKIP-016	file	tsconfig.json	124	967637649fe0dbe9	0	package-level build metadata; skipped unless workspace-level
OH_MY_HUMANIZE_MAIN-SKIP-017	directory	.github/ISSUE_TEMPLATE	0	-	2	no included core algorithm descendants
OH_MY_HUMANIZE_MAIN-SKIP-018	directory	.github/actions	0	-	2	no included core algorithm descendants
OH_MY_HUMANIZE_MAIN-SKIP-019	directory	.github/workflows	0	-	2	directory only contains skipped non-core files
OH_MY_HUMANIZE_MAIN-SKIP-020	directory	.omp/commands	0	-	2	no included core algorithm descendants
OH_MY_HUMANIZE_MAIN-SKIP-021	directory	.omp/skills	0	-	2	no included core algorithm descendants
OH_MY_HUMANIZE_MAIN-SKIP-022	directory	crates/brush-builtins-vendored	0	-	2	no included core algorithm descendants
OH_MY_HUMANIZE_MAIN-SKIP-023	directory	crates/brush-core-vendored	0	-	2	no included core algorithm descendants
