item_id	checkbox_state	claim_state	assigned_agent	tmux_session	slot	path_type	path	dependencies	owned_path_scope	worker_output	master_status
HZ-001	[x]	finished	agent_01	humanize_core_1to1_20260619	01	directory	.		.	research_runs/2026-06-19_humanize_core_1to1/agents/agent_01/output.md	accepted
HZ-002	[x]	finished	agent_02	humanize_core_1to1_20260619	02	directory	agents		agents	research_runs/2026-06-19_humanize_core_1to1/agents/agent_02/output.md	accepted
HZ-003	[x]	finished	agent_03	humanize_core_1to1_20260619	03	directory	commands		commands	research_runs/2026-06-19_humanize_core_1to1/agents/agent_03/output.md	accepted
HZ-004	[x]	finished	agent_04	humanize_core_1to1_20260619	04	directory	config		config	research_runs/2026-06-19_humanize_core_1to1/agents/agent_04/output.md	accepted
HZ-005	[x]	finished	agent_05	humanize_core_1to1_20260619	05	directory	docs		docs	research_runs/2026-06-19_humanize_core_1to1/agents/agent_05/output.md	accepted
HZ-006	[x]	finished	agent_06	humanize_core_1to1_20260619	06	directory	hooks		hooks	research_runs/2026-06-19_humanize_core_1to1/agents/agent_06/output.md	accepted
HZ-007	[x]	finished	agent_07	humanize_core_1to1_20260619	07	directory	prompt-template		prompt-template	research_runs/2026-06-19_humanize_core_1to1/agents/agent_07/output.md	accepted
HZ-008	[x]	finished	agent_08	humanize_core_1to1_20260619	08	directory	scripts		scripts	research_runs/2026-06-19_humanize_core_1to1/agents/agent_08/output.md	accepted
HZ-009	[x]	finished	agent_09	humanize_core_1to1_20260619	09	directory	skills		skills	research_runs/2026-06-19_humanize_core_1to1/agents/agent_09/output.md	accepted
HZ-010	[x]	finished	agent_10	humanize_core_1to1_20260619	10	directory	templates		templates	research_runs/2026-06-19_humanize_core_1to1/agents/agent_10/output.md	accepted
HZ-011	[x]	finished	agent_11	humanize_core_1to1_20260619	11	directory	tests		tests	research_runs/2026-06-19_humanize_core_1to1/agents/agent_11/output.md	accepted
HZ-012	[x]	finished	agent_12	humanize_core_1to1_20260619	12	file	README.md		README.md	research_runs/2026-06-19_humanize_core_1to1/agents/agent_12/output.md	accepted
HZ-013	[x]	finished	agent_13	humanize_core_1to1_20260619	13	directory	hooks/lib		hooks/lib	research_runs/2026-06-19_humanize_core_1to1/agents/agent_13/output.md	accepted
HZ-014	[x]	finished	agent_14	humanize_core_1to1_20260619	14	directory	prompt-template/block		prompt-template/block	research_runs/2026-06-19_humanize_core_1to1/agents/agent_14/output.md	accepted
HZ-015	[x]	finished	agent_15	humanize_core_1to1_20260619	15	directory	prompt-template/claude		prompt-template/claude	research_runs/2026-06-19_humanize_core_1to1/agents/agent_15/output.md	accepted
HZ-016	[x]	finished	agent_16	humanize_core_1to1_20260619	16	directory	prompt-template/codex		prompt-template/codex	research_runs/2026-06-19_humanize_core_1to1/agents/agent_16/output.md	accepted
HZ-017	[x]	finished	agent_17	humanize_core_1to1_20260619	17	directory	prompt-template/idea		prompt-template/idea	research_runs/2026-06-19_humanize_core_1to1/agents/agent_17/output.md	accepted
HZ-018	[x]	finished	agent_18	humanize_core_1to1_20260619	18	directory	prompt-template/plan		prompt-template/plan	research_runs/2026-06-19_humanize_core_1to1/agents/agent_18/output.md	accepted
HZ-019	[x]	finished	agent_19	humanize_core_1to1_20260619	19	directory	scripts/lib		scripts/lib	research_runs/2026-06-19_humanize_core_1to1/agents/agent_19/output.md	accepted
HZ-020	[x]	finished	agent_20	humanize_core_1to1_20260619	20	directory	skills/ask-codex		skills/ask-codex	research_runs/2026-06-19_humanize_core_1to1/agents/agent_20/output.md	accepted
HZ-021	[x]	finished	agent_21	humanize_core_1to1_20260619	21	directory	skills/ask-gemini		skills/ask-gemini	research_runs/2026-06-19_humanize_core_1to1/agents/agent_21/output.md	accepted
HZ-022	[x]	finished	agent_22	humanize_core_1to1_20260619	22	directory	skills/humanize		skills/humanize	research_runs/2026-06-19_humanize_core_1to1/agents/agent_22/output.md	accepted
HZ-023	[x]	finished	agent_23	humanize_core_1to1_20260619	23	directory	skills/humanize-gen-plan		skills/humanize-gen-plan	research_runs/2026-06-19_humanize_core_1to1/agents/agent_23/output.md	accepted
HZ-024	[x]	finished	agent_24	humanize_core_1to1_20260619	24	directory	skills/humanize-refine-plan		skills/humanize-refine-plan	research_runs/2026-06-19_humanize_core_1to1/agents/agent_24/output.md	accepted
HZ-025	[x]	finished	agent_25	humanize_core_1to1_20260619	25	directory	skills/humanize-rlcr		skills/humanize-rlcr	research_runs/2026-06-19_humanize_core_1to1/agents/agent_25/output.md	accepted
HZ-026	[x]	finished	agent_26	humanize_core_1to1_20260619	26	directory	tests/robustness		tests/robustness	research_runs/2026-06-19_humanize_core_1to1/agents/agent_26/output.md	accepted
HZ-027	[x]	finished	agent_27	humanize_core_1to1_20260619	27	file	agents/bitlesson-selector.md		agents/bitlesson-selector.md	research_runs/2026-06-19_humanize_core_1to1/agents/agent_27/output.md	accepted
HZ-028	[x]	finished	agent_28	humanize_core_1to1_20260619	28	file	agents/draft-relevance-checker.md		agents/draft-relevance-checker.md	research_runs/2026-06-19_humanize_core_1to1/agents/agent_28/output.md	accepted
HZ-029	[x]	finished	agent_29	humanize_core_1to1_20260619	29	file	agents/plan-compliance-checker.md		agents/plan-compliance-checker.md	research_runs/2026-06-19_humanize_core_1to1/agents/agent_29/output.md	accepted
HZ-030	[x]	finished	agent_30	humanize_core_1to1_20260619	30	file	agents/plan-understanding-quiz.md		agents/plan-understanding-quiz.md	research_runs/2026-06-19_humanize_core_1to1/agents/agent_30/output.md	accepted
HZ-031	[x]	finished	agent_01	humanize_core_1to1_20260619	01	file	commands/cancel-rlcr-loop.md		commands/cancel-rlcr-loop.md	research_runs/2026-06-19_humanize_core_1to1/agents/agent_01/output.md	accepted
HZ-032	[x]	finished	agent_02	humanize_core_1to1_20260619	02	file	commands/gen-idea.md		commands/gen-idea.md	research_runs/2026-06-19_humanize_core_1to1/agents/agent_02/output.md	accepted
HZ-033	[x]	finished	agent_03	humanize_core_1to1_20260619	03	file	commands/gen-plan.md		commands/gen-plan.md	research_runs/2026-06-19_humanize_core_1to1/agents/agent_03/output.md	accepted
HZ-034	[x]	finished	agent_04	humanize_core_1to1_20260619	04	file	commands/refine-plan.md		commands/refine-plan.md	research_runs/2026-06-19_humanize_core_1to1/agents/agent_04/output.md	accepted
HZ-035	[x]	finished	agent_05	humanize_core_1to1_20260619	05	file	commands/start-rlcr-loop.md		commands/start-rlcr-loop.md	research_runs/2026-06-19_humanize_core_1to1/agents/agent_05/output.md	accepted
HZ-036	[x]	finished	agent_06	humanize_core_1to1_20260619	06	file	config/codex-hooks.json		config/codex-hooks.json	research_runs/2026-06-19_humanize_core_1to1/agents/agent_06/output.md	accepted
HZ-037	[x]	finished	agent_07	humanize_core_1to1_20260619	07	file	config/default_config.json		config/default_config.json	research_runs/2026-06-19_humanize_core_1to1/agents/agent_07/output.md	accepted
HZ-038	[x]	finished	agent_08	humanize_core_1to1_20260619	08	file	docs/bitlesson.md		docs/bitlesson.md	research_runs/2026-06-19_humanize_core_1to1/agents/agent_08/output.md	accepted
HZ-039	[x]	finished	agent_09	humanize_core_1to1_20260619	09	file	docs/usage.md		docs/usage.md	research_runs/2026-06-19_humanize_core_1to1/agents/agent_09/output.md	accepted
HZ-040	[x]	finished	agent_10	humanize_core_1to1_20260619	10	file	hooks/check-todos-from-transcript.py		hooks/check-todos-from-transcript.py	research_runs/2026-06-19_humanize_core_1to1/agents/agent_10/output.md	accepted
HZ-041	[x]	finished	agent_11	humanize_core_1to1_20260619	11	file	hooks/hooks.json		hooks/hooks.json	research_runs/2026-06-19_humanize_core_1to1/agents/agent_11/output.md	accepted
HZ-042	[x]	finished	agent_12	humanize_core_1to1_20260619	12	file	hooks/loop-bash-validator.sh		hooks/loop-bash-validator.sh	research_runs/2026-06-19_humanize_core_1to1/agents/agent_12/output.md	accepted
HZ-043	[x]	finished	agent_13	humanize_core_1to1_20260619	13	file	hooks/loop-codex-stop-hook.sh		hooks/loop-codex-stop-hook.sh	research_runs/2026-06-19_humanize_core_1to1/agents/agent_13/output.md	accepted
HZ-044	[x]	finished	agent_14	humanize_core_1to1_20260619	14	file	hooks/loop-edit-validator.sh		hooks/loop-edit-validator.sh	research_runs/2026-06-19_humanize_core_1to1/agents/agent_14/output.md	accepted
HZ-045	[x]	finished	agent_15	humanize_core_1to1_20260619	15	file	hooks/loop-plan-file-validator.sh		hooks/loop-plan-file-validator.sh	research_runs/2026-06-19_humanize_core_1to1/agents/agent_15/output.md	accepted
HZ-046	[x]	finished	agent_16	humanize_core_1to1_20260619	16	file	hooks/loop-post-bash-hook.sh		hooks/loop-post-bash-hook.sh	research_runs/2026-06-19_humanize_core_1to1/agents/agent_16/output.md	accepted
HZ-047	[x]	finished	agent_17	humanize_core_1to1_20260619	17	file	hooks/loop-read-validator.sh		hooks/loop-read-validator.sh	research_runs/2026-06-19_humanize_core_1to1/agents/agent_17/output.md	accepted
HZ-048	[x]	finished	agent_18	humanize_core_1to1_20260619	18	file	hooks/loop-write-validator.sh		hooks/loop-write-validator.sh	research_runs/2026-06-19_humanize_core_1to1/agents/agent_18/output.md	accepted
HZ-049	[x]	finished	agent_19	humanize_core_1to1_20260619	19	file	scripts/ask-codex.sh		scripts/ask-codex.sh	research_runs/2026-06-19_humanize_core_1to1/agents/agent_19/output.md	accepted
HZ-050	[x]	finished	agent_20	humanize_core_1to1_20260619	20	file	scripts/ask-gemini.sh		scripts/ask-gemini.sh	research_runs/2026-06-19_humanize_core_1to1/agents/agent_20/output.md	accepted
HZ-051	[x]	finished	agent_21	humanize_core_1to1_20260619	21	file	scripts/bitlesson-init.sh		scripts/bitlesson-init.sh	research_runs/2026-06-19_humanize_core_1to1/agents/agent_21/output.md	accepted
